File Name: 06_Sample4_device1_It_150kV_VDrain1V_VGate1V_foil.dat
File Data: 16/11/2023	15:56:18
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.7099E-5	1.0000E+0	6.3574E-12
1.0000E+3	1.0000E+0	1.7055E-5	1.0000E+0	5.5051E-12
1.5000E+3	1.0000E+0	1.7013E-5	1.0000E+0	5.2750E-12
2.0000E+3	1.0000E+0	1.6992E-5	1.0000E+0	4.9269E-12
2.5000E+3	1.0000E+0	1.6952E-5	1.0000E+0	4.9257E-12
3.0000E+3	1.0000E+0	1.6916E-5	1.0000E+0	4.8733E-12
3.5000E+3	1.0000E+0	1.6892E-5	1.0000E+0	4.6659E-12
4.0000E+3	1.0000E+0	1.6852E-5	1.0000E+0	4.4870E-12
4.5000E+3	1.0000E+0	1.6832E-5	1.0000E+0	4.5073E-12
5.0000E+3	1.0000E+0	1.6804E-5	1.0000E+0	4.3881E-12
5.5000E+3	1.0000E+0	1.6778E-5	1.0000E+0	4.3500E-12
6.0000E+3	1.0000E+0	1.6771E-5	1.0000E+0	4.3225E-12
6.5000E+3	1.0000E+0	1.6743E-5	1.0000E+0	4.3321E-12
7.0000E+3	1.0000E+0	1.6709E-5	1.0000E+0	4.2033E-12
7.5000E+3	1.0000E+0	1.6705E-5	1.0000E+0	4.1628E-12
8.0000E+3	1.0000E+0	1.6687E-5	1.0000E+0	4.0615E-12
8.5000E+3	1.0000E+0	1.6666E-5	1.0000E+0	4.1580E-12
9.0000E+3	1.0000E+0	1.6633E-5	1.0000E+0	4.0138E-12
9.5000E+3	1.0000E+0	1.6630E-5	1.0000E+0	4.0221E-12
1.0000E+4	1.0000E+0	1.6593E-5	1.0000E+0	4.0162E-12
1.0500E+4	1.0000E+0	1.6588E-5	1.0000E+0	4.0186E-12
1.1000E+4	1.0000E+0	1.6544E-5	1.0000E+0	4.0102E-12
1.1500E+4	1.0000E+0	1.6494E-5	1.0000E+0	3.9697E-12
1.2000E+4	1.0000E+0	1.6482E-5	1.0000E+0	3.9911E-12
1.2500E+4	1.0000E+0	1.6446E-5	1.0000E+0	3.9792E-12
1.3000E+4	1.0000E+0	1.6453E-5	1.0000E+0	3.8457E-12
1.3500E+4	1.0000E+0	1.6420E-5	1.0000E+0	3.8827E-12
1.4000E+4	1.0000E+0	1.6370E-5	1.0000E+0	3.9971E-12
1.4500E+4	1.0000E+0	1.6352E-5	1.0000E+0	3.9864E-12
1.5000E+4	1.0000E+0	1.6300E-5	1.0000E+0	3.8517E-12
1.5500E+4	1.0000E+0	1.6268E-5	1.0000E+0	3.9184E-12
1.6000E+4	1.0000E+0	1.6244E-5	1.0000E+0	3.7456E-12
1.6500E+4	1.0000E+0	1.6227E-5	1.0000E+0	3.8290E-12
1.7000E+4	1.0000E+0	1.6206E-5	1.0000E+0	3.7336E-12
1.7500E+4	1.0000E+0	1.6171E-5	1.0000E+0	3.7551E-12
1.8000E+4	1.0000E+0	1.6137E-5	1.0000E+0	3.6752E-12
1.8500E+4	1.0000E+0	1.6129E-5	1.0000E+0	3.7670E-12
1.9000E+4	1.0000E+0	1.6088E-5	1.0000E+0	3.6681E-12
1.9500E+4	1.0000E+0	1.6049E-5	1.0000E+0	3.7169E-12
2.0000E+4	1.0000E+0	1.6024E-5	1.0000E+0	3.7587E-12
2.0500E+4	1.0000E+0	1.6019E-5	1.0000E+0	3.5679E-12
2.1000E+4	1.0000E+0	1.5985E-5	1.0000E+0	3.7503E-12
2.1500E+4	1.0000E+0	1.5974E-5	1.0000E+0	3.7289E-12
2.2000E+4	1.0000E+0	1.5950E-5	1.0000E+0	3.6180E-12
2.2500E+4	1.0000E+0	1.5898E-5	1.0000E+0	3.7682E-12
2.3000E+4	1.0000E+0	1.5880E-5	1.0000E+0	3.7110E-12
2.3500E+4	1.0000E+0	1.5869E-5	1.0000E+0	3.7110E-12
2.4000E+4	1.0000E+0	1.5821E-5	1.0000E+0	3.7610E-12
2.4500E+4	1.0000E+0	1.5829E-5	1.0000E+0	3.7062E-12
2.5000E+4	1.0000E+0	1.5782E-5	1.0000E+0	3.6943E-12
2.5500E+4	1.0000E+0	1.5764E-5	1.0000E+0	3.6085E-12
2.6000E+4	1.0000E+0	1.5754E-5	1.0000E+0	3.6418E-12
2.6500E+4	1.0000E+0	1.5741E-5	1.0000E+0	3.5679E-12
2.7000E+4	1.0000E+0	1.5724E-5	1.0000E+0	3.6216E-12
2.7500E+4	1.0000E+0	1.5713E-5	1.0000E+0	3.6681E-12
2.8000E+4	1.0000E+0	1.5677E-5	1.0000E+0	3.6287E-12
2.8500E+4	1.0000E+0	1.5658E-5	1.0000E+0	3.7670E-12
2.9000E+4	1.0000E+0	1.5651E-5	1.0000E+0	3.6287E-12
2.9500E+4	1.0000E+0	1.5629E-5	1.0000E+0	3.7038E-12
3.0000E+4	1.0000E+0	1.5592E-5	1.0000E+0	3.5667E-12
3.0500E+4	1.0000E+0	1.5596E-5	1.0000E+0	3.6156E-12
3.1000E+4	1.0000E+0	1.5577E-5	1.0000E+0	3.6490E-12
3.1500E+4	1.0000E+0	1.5555E-5	1.0000E+0	3.5596E-12
3.2000E+4	1.0000E+0	1.5535E-5	1.0000E+0	3.5667E-12
3.2500E+4	1.0000E+0	1.5520E-5	1.0000E+0	3.5727E-12
3.3000E+4	1.0000E+0	1.5502E-5	1.0000E+0	3.5358E-12
3.3500E+4	1.0000E+0	1.5510E-5	1.0000E+0	3.6049E-12
3.4000E+4	1.0000E+0	1.5469E-5	1.0000E+0	3.7205E-12
3.4500E+4	1.0000E+0	1.5443E-5	1.0000E+0	3.5465E-12
3.5000E+4	1.0000E+0	1.5420E-5	1.0000E+0	3.6621E-12
3.5500E+4	1.0000E+0	1.5398E-5	1.0000E+0	3.6502E-12
3.6000E+4	1.0000E+0	1.5352E-5	1.0000E+0	3.6097E-12
3.6500E+4	1.0000E+0	1.5313E-5	1.0000E+0	3.5012E-12
3.7000E+4	1.0000E+0	1.5313E-5	1.0000E+0	3.4487E-12
3.7500E+4	1.0000E+0	1.5311E-5	1.0000E+0	3.5620E-12
3.8000E+4	1.0000E+0	1.5275E-5	1.0000E+0	3.5667E-12
3.8500E+4	1.0000E+0	1.5233E-5	1.0000E+0	3.5942E-12
3.9000E+4	1.0000E+0	1.5229E-5	1.0000E+0	3.4976E-12
3.9500E+4	1.0000E+0	1.5209E-5	1.0000E+0	3.6025E-12
4.0000E+4	1.0000E+0	1.5186E-5	1.0000E+0	3.5429E-12
4.0500E+4	1.0000E+0	1.5156E-5	1.0000E+0	3.5179E-12
4.1000E+4	1.0000E+0	1.5141E-5	1.0000E+0	3.4976E-12
4.1500E+4	1.0000E+0	1.5132E-5	1.0000E+0	3.4523E-12
4.2000E+4	1.0000E+0	1.5109E-5	1.0000E+0	3.5441E-12
4.2500E+4	1.0000E+0	1.5085E-5	1.0000E+0	3.4416E-12
4.3000E+4	1.0000E+0	1.5067E-5	1.0000E+0	3.4678E-12
4.3500E+4	1.0000E+0	1.5039E-5	1.0000E+0	3.4738E-12
4.4000E+4	1.0000E+0	1.5026E-5	1.0000E+0	3.5095E-12
4.4500E+4	1.0000E+0	1.5011E-5	1.0000E+0	3.4630E-12
4.5000E+4	1.0000E+0	1.4976E-5	1.0000E+0	3.4618E-12
4.5500E+4	1.0000E+0	1.4969E-5	1.0000E+0	3.5596E-12
4.6000E+4	1.0000E+0	1.4963E-5	1.0000E+0	3.5763E-12
4.6500E+4	1.0000E+0	1.4929E-5	1.0000E+0	3.5691E-12
4.7000E+4	1.0000E+0	1.4916E-5	1.0000E+0	3.6383E-12
4.7500E+4	1.0000E+0	1.4874E-5	1.0000E+0	3.6740E-12
4.8000E+4	1.0000E+0	1.4859E-5	1.0000E+0	3.6514E-12
4.8500E+4	1.0000E+0	1.4840E-5	1.0000E+0	3.5024E-12
4.9000E+4	1.0000E+0	1.4808E-5	1.0000E+0	3.5429E-12
4.9500E+4	1.0000E+0	1.4792E-5	1.0000E+0	3.5238E-12
5.0000E+4	1.0000E+0	1.4770E-5	1.0000E+0	3.5191E-12
5.0500E+4	1.0000E+0	1.4755E-5	1.0000E+0	3.5047E-12
5.1000E+4	1.0000E+0	1.4744E-5	1.0000E+0	3.5489E-12
5.1500E+4	1.0000E+0	1.4724E-5	1.0000E+0	3.5298E-12
5.2000E+4	1.0000E+0	1.4704E-5	1.0000E+0	3.6824E-12
5.2500E+4	1.0000E+0	1.4694E-5	1.0000E+0	3.5918E-12
5.3000E+4	1.0000E+0	1.4679E-5	1.0000E+0	3.4964E-12
5.3500E+4	1.0000E+0	1.4643E-5	1.0000E+0	3.6800E-12
5.4000E+4	1.0000E+0	1.4639E-5	1.0000E+0	3.5644E-12
5.4500E+4	1.0000E+0	1.4616E-5	1.0000E+0	3.5310E-12
5.5000E+4	1.0000E+0	1.4612E-5	1.0000E+0	3.4082E-12
