File Name: 00_Sample6_device1_trfSat_dark_vert.dat
File Data: 16/11/2023	10:21:34
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.9296E-7	-5.0000E+1	-4.1076E-11
1.0000E+3	1.0000E+0	1.8678E-7	-4.9500E+1	-3.1794E-11
1.5000E+3	1.0000E+0	1.8288E-7	-4.9000E+1	-2.8692E-11
2.0000E+3	1.0000E+0	1.7941E-7	-4.8500E+1	-2.5641E-11
2.5000E+3	1.0000E+0	1.7732E-7	-4.8000E+1	-2.2277E-11
3.0000E+3	1.0000E+0	1.7494E-7	-4.7500E+1	-1.9697E-11
3.5000E+3	1.0000E+0	1.7315E-7	-4.7000E+1	-1.6977E-11
4.0000E+3	1.0000E+0	1.7119E-7	-4.6500E+1	-1.5571E-11
4.5000E+3	1.0000E+0	1.7014E-7	-4.6000E+1	-1.4073E-11
5.0000E+3	1.0000E+0	1.6843E-7	-4.5500E+1	-1.2194E-11
5.5000E+3	1.0000E+0	1.6767E-7	-4.5000E+1	-1.1293E-11
6.0000E+3	1.0000E+0	1.6638E-7	-4.4500E+1	-1.0292E-11
6.5000E+3	1.0000E+0	1.6515E-7	-4.4000E+1	-9.3579E-12
7.0000E+3	1.0000E+0	1.6397E-7	-4.3500E+1	-8.9025E-12
7.5000E+3	1.0000E+0	1.6265E-7	-4.3000E+1	-8.3280E-12
8.0000E+3	1.0000E+0	1.6237E-7	-4.2500E+1	-7.4172E-12
8.5000E+3	1.0000E+0	1.6159E-7	-4.2000E+1	-6.5637E-12
9.0000E+3	1.0000E+0	1.6088E-7	-4.1500E+1	-5.7971E-12
9.5000E+3	1.0000E+0	1.6070E-7	-4.1000E+1	-5.7650E-12
1.0000E+4	1.0000E+0	1.6073E-7	-4.0500E+1	-4.9734E-12
1.0500E+4	1.0000E+0	1.5984E-7	-4.0000E+1	-4.4477E-12
1.1000E+4	1.0000E+0	1.5968E-7	-3.9500E+1	-4.0257E-12
1.1500E+4	1.0000E+0	1.5881E-7	-3.9000E+1	-3.4273E-12
1.2000E+4	1.0000E+0	1.5913E-7	-3.8500E+1	-3.1865E-12
1.2500E+4	1.0000E+0	1.5884E-7	-3.8000E+1	-2.8431E-12
1.3000E+4	1.0000E+0	1.5873E-7	-3.7500E+1	-2.4748E-12
1.3500E+4	1.0000E+0	1.5881E-7	-3.7000E+1	-2.1636E-12
1.4000E+4	1.0000E+0	1.5842E-7	-3.6500E+1	-1.8621E-12
1.4500E+4	1.0000E+0	1.5817E-7	-3.6000E+1	-1.7846E-12
1.5000E+4	1.0000E+0	1.5827E-7	-3.5500E+1	-1.6248E-12
1.5500E+4	1.0000E+0	1.5800E-7	-3.5000E+1	-1.6189E-12
1.6000E+4	1.0000E+0	1.5813E-7	-3.4500E+1	-1.4532E-12
1.6500E+4	1.0000E+0	1.5818E-7	-3.4000E+1	-1.1694E-12
1.7000E+4	1.0000E+0	1.5830E-7	-3.3500E+1	-1.1945E-12
1.7500E+4	1.0000E+0	1.5799E-7	-3.3000E+1	-9.7394E-13
1.8000E+4	1.0000E+0	1.5804E-7	-3.2500E+1	-9.2983E-13
1.8500E+4	1.0000E+0	1.5738E-7	-3.2000E+1	-8.4519E-13
1.9000E+4	1.0000E+0	1.5762E-7	-3.1500E+1	-6.6042E-13
1.9500E+4	1.0000E+0	1.5799E-7	-3.1000E+1	-7.2241E-13
2.0000E+4	1.0000E+0	1.5791E-7	-3.0500E+1	-6.7473E-13
2.0500E+4	1.0000E+0	1.5823E-7	-3.0000E+1	-6.1512E-13
2.1000E+4	1.0000E+0	1.5808E-7	-2.9500E+1	-4.1366E-13
2.1500E+4	1.0000E+0	1.5834E-7	-2.9000E+1	-5.3406E-13
2.2000E+4	1.0000E+0	1.5840E-7	-2.8500E+1	-4.2558E-13
2.2500E+4	1.0000E+0	1.5855E-7	-2.8000E+1	-5.8651E-13
2.3000E+4	1.0000E+0	1.5860E-7	-2.7500E+1	-3.8505E-13
2.3500E+4	1.0000E+0	1.5848E-7	-2.7000E+1	-3.4332E-13
2.4000E+4	1.0000E+0	1.5828E-7	-2.6500E+1	-4.3035E-13
2.4500E+4	1.0000E+0	1.5882E-7	-2.6000E+1	-3.6597E-13
2.5000E+4	1.0000E+0	1.5843E-7	-2.5500E+1	-5.3167E-13
2.5500E+4	1.0000E+0	1.5825E-7	-2.5000E+1	-4.2915E-13
2.6000E+4	1.0000E+0	1.5868E-7	-2.4500E+1	-3.9577E-13
2.6500E+4	1.0000E+0	1.5907E-7	-2.4000E+1	-2.5392E-13
2.7000E+4	1.0000E+0	1.5854E-7	-2.3500E+1	-3.6478E-13
2.7500E+4	1.0000E+0	1.5858E-7	-2.3000E+1	-3.5644E-13
2.8000E+4	1.0000E+0	1.5833E-7	-2.2500E+1	-2.8133E-13
2.8500E+4	1.0000E+0	1.5830E-7	-2.2000E+1	-3.0637E-13
2.9000E+4	1.0000E+0	1.5863E-7	-2.1500E+1	-3.9577E-13
2.9500E+4	1.0000E+0	1.5906E-7	-2.1000E+1	-3.1710E-13
3.0000E+4	1.0000E+0	1.5908E-7	-2.0500E+1	-2.9445E-13
3.0500E+4	1.0000E+0	1.5921E-7	-2.0000E+1	-1.0586E-12
3.1000E+4	1.0000E+0	1.5900E-7	-1.9500E+1	-4.1366E-13
3.1500E+4	1.0000E+0	1.5872E-7	-1.9000E+1	-4.0889E-13
3.2000E+4	1.0000E+0	1.5873E-7	-1.8500E+1	-3.0637E-13
3.2500E+4	1.0000E+0	1.5915E-7	-1.8000E+1	-2.7776E-13
3.3000E+4	1.0000E+0	1.5927E-7	-1.7500E+1	-2.5988E-13
3.3500E+4	1.0000E+0	1.5926E-7	-1.7000E+1	-2.8133E-13
3.4000E+4	1.0000E+0	1.5907E-7	-1.6500E+1	-2.7657E-13
3.4500E+4	1.0000E+0	1.5933E-7	-1.6000E+1	-2.4080E-13
3.5000E+4	1.0000E+0	1.5905E-7	-1.5500E+1	-2.2173E-13
3.5500E+4	1.0000E+0	1.5877E-7	-1.5000E+1	-2.7895E-13
3.6000E+4	1.0000E+0	1.5915E-7	-1.4500E+1	-2.7418E-13
3.6500E+4	1.0000E+0	1.5958E-7	-1.4000E+1	-2.2173E-13
3.7000E+4	1.0000E+0	1.5892E-7	-1.3500E+1	-2.5272E-13
3.7500E+4	1.0000E+0	1.5989E-7	-1.3000E+1	-2.8372E-13
3.8000E+4	1.0000E+0	1.5978E-7	-1.2500E+1	-2.7060E-13
3.8500E+4	1.0000E+0	1.5982E-7	-1.2000E+1	-1.5140E-13
3.9000E+4	1.0000E+0	1.5973E-7	-1.1500E+1	-1.8120E-13
3.9500E+4	1.0000E+0	1.5989E-7	-1.1000E+1	-3.0756E-13
4.0000E+4	1.0000E+0	1.5996E-7	-1.0500E+1	-2.1815E-13
4.0500E+4	1.0000E+0	1.5976E-7	-1.0000E+1	-2.9922E-13
4.1000E+4	1.0000E+0	1.6007E-7	-9.5000E+0	-1.3590E-13
4.1500E+4	1.0000E+0	1.6003E-7	-9.0000E+0	-2.6822E-13
4.2000E+4	1.0000E+0	1.5992E-7	-8.5000E+0	-2.5153E-13
4.2500E+4	1.0000E+0	1.6005E-7	-8.0000E+0	-2.7537E-13
4.3000E+4	1.0000E+0	1.6031E-7	-7.5000E+0	-1.7643E-13
4.3500E+4	1.0000E+0	1.6019E-7	-7.0000E+0	-1.0848E-13
4.4000E+4	1.0000E+0	1.5998E-7	-6.5000E+0	-1.6332E-13
4.4500E+4	1.0000E+0	1.6015E-7	-6.0000E+0	-2.2054E-13
4.5000E+4	1.0000E+0	1.5990E-7	-5.5000E+0	-2.2650E-13
4.5500E+4	1.0000E+0	1.5974E-7	-5.0000E+0	-5.5194E-13
4.6000E+4	1.0000E+0	1.6000E-7	-4.5000E+0	-4.6134E-13
4.6500E+4	1.0000E+0	1.5964E-7	-4.0000E+0	-4.7207E-13
4.7000E+4	1.0000E+0	1.5971E-7	-3.5000E+0	-4.7565E-13
4.7500E+4	1.0000E+0	1.5961E-7	-3.0000E+0	-4.6492E-13
4.8000E+4	1.0000E+0	1.5988E-7	-2.5000E+0	-4.5299E-13
4.8500E+4	1.0000E+0	1.5954E-7	-2.0000E+0	-6.2704E-13
4.9000E+4	1.0000E+0	1.5978E-7	-1.5000E+0	-4.8637E-13
4.9500E+4	1.0000E+0	1.5969E-7	-1.0000E+0	-4.5896E-13
5.0000E+4	1.0000E+0	1.5984E-7	-5.0000E-1	-5.1618E-13
5.0500E+4	1.0000E+0	1.6074E-7	0.0000E+0	-5.8293E-13
5.1000E+4	1.0000E+0	1.6046E-7	5.0000E-1	-4.3511E-13
5.1500E+4	1.0000E+0	1.6059E-7	1.0000E+0	-5.2929E-13
5.2000E+4	1.0000E+0	1.6087E-7	1.5000E+0	-5.1856E-13
5.2500E+4	1.0000E+0	1.6082E-7	2.0000E+0	-4.4346E-13
5.3000E+4	1.0000E+0	1.6048E-7	2.5000E+0	-3.2544E-13
5.3500E+4	1.0000E+0	1.6081E-7	3.0000E+0	-4.7803E-13
5.4000E+4	1.0000E+0	1.6077E-7	3.5000E+0	-5.4121E-13
5.4500E+4	1.0000E+0	1.6084E-7	4.0000E+0	-4.9830E-13
5.5000E+4	1.0000E+0	1.6075E-7	4.5000E+0	-4.3035E-13
