File Name: 10_Sample6_device1_trfSat_dark_vert_foil.dat
File Data: 17/11/2023	13:42:06
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.7940E-10	-5.0000E+1	-2.8350E-10
1.0000E+3	1.0000E+0	1.0940E-10	-4.9500E+1	-2.5016E-10
1.5000E+3	1.0000E+0	5.2923E-11	-4.9000E+1	-1.1977E-10
2.0000E+3	1.0000E+0	3.1790E-11	-4.8500E+1	-1.0756E-10
2.5000E+3	1.0000E+0	1.8376E-11	-4.8000E+1	-9.7330E-11
3.0000E+3	1.0000E+0	8.7452E-12	-4.7500E+1	-9.0709E-11
3.5000E+3	1.0000E+0	1.9979E-12	-4.7000E+1	-8.8449E-11
4.0000E+3	1.0000E+0	-2.6965E-12	-4.6500E+1	-8.5261E-11
4.5000E+3	1.0000E+0	-6.4969E-12	-4.6000E+1	-8.1152E-11
5.0000E+3	1.0000E+0	-3.9411E-12	-4.5500E+1	-8.4761E-11
5.5000E+3	1.0000E+0	-2.7077E-11	-4.5000E+1	8.0777E-11
6.0000E+3	1.0000E+0	-1.3769E-11	-4.4500E+1	-6.8147E-11
6.5000E+3	1.0000E+0	-1.5305E-11	-4.4000E+1	-6.4859E-11
7.0000E+3	1.0000E+0	-1.6643E-11	-4.3500E+1	-6.1551E-11
7.5000E+3	1.0000E+0	-1.7792E-11	-4.3000E+1	-5.7186E-11
8.0000E+3	1.0000E+0	-1.8742E-11	-4.2500E+1	-5.4129E-11
8.5000E+3	1.0000E+0	-1.9569E-11	-4.2000E+1	-5.1965E-11
9.0000E+3	1.0000E+0	-2.0444E-11	-4.1500E+1	-4.9539E-11
9.5000E+3	1.0000E+0	-2.1002E-11	-4.1000E+1	-4.7905E-11
1.0000E+4	1.0000E+0	-2.1306E-11	-4.0500E+1	-4.4213E-11
1.0500E+4	1.0000E+0	-2.1751E-11	-4.0000E+1	-4.2750E-11
1.1000E+4	1.0000E+0	-2.2012E-11	-3.9500E+1	-3.8223E-11
1.1500E+4	1.0000E+0	-2.2183E-11	-3.9000E+1	-3.6165E-11
1.2000E+4	1.0000E+0	-2.2475E-11	-3.8500E+1	-3.0980E-11
1.2500E+4	1.0000E+0	-2.2405E-11	-3.8000E+1	-2.7665E-11
1.3000E+4	1.0000E+0	-2.2186E-11	-3.7500E+1	-2.4846E-11
1.3500E+4	1.0000E+0	-2.2130E-11	-3.7000E+1	-2.2142E-11
1.4000E+4	1.0000E+0	-2.1846E-11	-3.6500E+1	-1.8662E-11
1.4500E+4	1.0000E+0	-2.1392E-11	-3.6000E+1	-1.5874E-11
1.5000E+4	1.0000E+0	-2.0745E-11	-3.5500E+1	-1.2531E-11
1.5500E+4	1.0000E+0	-1.9785E-11	-3.5000E+1	-1.0501E-11
1.6000E+4	1.0000E+0	-1.8443E-11	-3.4500E+1	-7.8297E-12
1.6500E+4	1.0000E+0	-1.6873E-11	-3.4000E+1	-5.6446E-12
1.7000E+4	1.0000E+0	-1.4598E-11	-3.3500E+1	-2.9051E-12
1.7500E+4	1.0000E+0	-1.2271E-11	-3.3000E+1	-1.0467E-12
1.8000E+4	1.0000E+0	-8.8084E-12	-3.2500E+1	1.2183E-12
1.8500E+4	1.0000E+0	-4.7886E-12	-3.2000E+1	2.8467E-12
1.9000E+4	1.0000E+0	8.1658E-13	-3.1500E+1	5.5981E-12
1.9500E+4	1.0000E+0	7.2765E-12	-3.1000E+1	7.4542E-12
2.0000E+4	1.0000E+0	2.0719E-11	-3.0500E+1	9.0373E-12
2.0500E+4	1.0000E+0	2.4629E-11	-3.0000E+1	3.6216E-11
2.1000E+4	1.0000E+0	2.9285E-11	-2.9500E+1	3.7864E-11
2.1500E+4	1.0000E+0	5.1353E-11	-2.9000E+1	1.4815E-11
2.2000E+4	1.0000E+0	6.7190E-11	-2.8500E+1	1.6624E-11
2.2500E+4	1.0000E+0	9.0055E-11	-2.8000E+1	1.8081E-11
2.3000E+4	1.0000E+0	1.1380E-10	-2.7500E+1	1.9900E-11
2.3500E+4	1.0000E+0	1.4777E-10	-2.7000E+1	2.1635E-11
2.4000E+4	1.0000E+0	1.8344E-10	-2.6500E+1	2.2986E-11
2.4500E+4	1.0000E+0	2.3077E-10	-2.6000E+1	2.4670E-11
2.5000E+4	1.0000E+0	2.8151E-10	-2.5500E+1	2.6234E-11
2.5500E+4	1.0000E+0	3.3397E-10	-2.5000E+1	2.7996E-11
2.6000E+4	1.0000E+0	3.8531E-10	-2.4500E+1	2.9105E-11
2.6500E+4	1.0000E+0	4.6266E-10	-2.4000E+1	3.0230E-11
2.7000E+4	1.0000E+0	5.4620E-10	-2.3500E+1	3.2098E-11
2.7500E+4	1.0000E+0	6.4364E-10	-2.3000E+1	3.3218E-11
