File Name: 11_Sample6_device1_It_150kV_500uA_VDrain1V_VGate1V.dat
File Data: 17/11/2023	13:49:10
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	7.4157E-7	1.0000E+0	-6.5446E-12
1.0000E+3	1.0000E+0	7.4124E-7	1.0000E+0	6.4123E-12
1.5000E+3	1.0000E+0	7.4087E-7	1.0000E+0	5.6672E-12
2.0000E+3	1.0000E+0	7.4133E-7	1.0000E+0	4.8876E-12
2.5000E+3	1.0000E+0	7.4127E-7	1.0000E+0	5.0020E-12
3.0000E+3	1.0000E+0	7.4098E-7	1.0000E+0	4.8590E-12
3.5000E+3	1.0000E+0	7.4059E-7	1.0000E+0	4.2331E-12
4.0000E+3	1.0000E+0	7.3881E-7	1.0000E+0	4.4978E-12
4.5000E+3	1.0000E+0	7.3967E-7	1.0000E+0	4.3762E-12
5.0000E+3	1.0000E+0	7.3990E-7	1.0000E+0	3.6442E-12
5.5000E+3	1.0000E+0	7.3900E-7	1.0000E+0	4.5288E-12
6.0000E+3	1.0000E+0	7.4071E-7	1.0000E+0	4.4763E-12
6.5000E+3	1.0000E+0	7.4064E-7	1.0000E+0	4.5764E-12
7.0000E+3	1.0000E+0	7.3950E-7	1.0000E+0	4.2009E-12
7.5000E+3	1.0000E+0	7.4036E-7	1.0000E+0	4.1556E-12
8.0000E+3	1.0000E+0	7.4077E-7	1.0000E+0	3.6859E-12
8.5000E+3	1.0000E+0	7.4154E-7	1.0000E+0	3.7003E-12
9.0000E+3	1.0000E+0	7.4249E-7	1.0000E+0	3.8505E-12
9.5000E+3	1.0000E+0	7.4238E-7	1.0000E+0	3.8588E-12
1.0000E+4	1.0000E+0	7.3920E-7	1.0000E+0	3.7980E-12
1.0500E+4	1.0000E+0	7.3999E-7	1.0000E+0	3.3009E-12
1.1000E+4	1.0000E+0	7.3947E-7	1.0000E+0	3.6216E-12
1.1500E+4	1.0000E+0	7.3916E-7	1.0000E+0	3.4595E-12
1.2000E+4	1.0000E+0	7.3917E-7	1.0000E+0	3.5739E-12
1.2500E+4	1.0000E+0	7.3964E-7	1.0000E+0	3.1042E-12
1.3000E+4	1.0000E+0	7.3752E-7	1.0000E+0	3.6645E-12
