File Name: 21_Sample6_device1_It_150kV_500uA_VDrain1V_VGate-2V.dat
File Data: 17/11/2023	14:31:50
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.4006E-7	-2.0000E+0	-4.1428E-11
1.0000E+3	1.0000E+0	2.4300E-7	-2.0000E+0	-2.8539E-11
1.5000E+3	1.0000E+0	2.4391E-7	-2.0000E+0	-2.7032E-11
2.0000E+3	1.0000E+0	2.4473E-7	-2.0000E+0	-2.5451E-11
2.5000E+3	1.0000E+0	2.4568E-7	-2.0000E+0	-2.4862E-11
3.0000E+3	1.0000E+0	2.4627E-7	-2.0000E+0	-2.3950E-11
3.5000E+3	1.0000E+0	2.4739E-7	-2.0000E+0	-2.3655E-11
4.0000E+3	1.0000E+0	2.4684E-7	-2.0000E+0	-2.3407E-11
4.5000E+3	1.0000E+0	2.4749E-7	-2.0000E+0	-2.3209E-11
5.0000E+3	1.0000E+0	2.4819E-7	-2.0000E+0	-2.2713E-11
5.5000E+3	1.0000E+0	2.4826E-7	-2.0000E+0	-2.2485E-11
6.0000E+3	1.0000E+0	2.4900E-7	-2.0000E+0	-2.2187E-11
6.5000E+3	1.0000E+0	2.4875E-7	-2.0000E+0	-2.2061E-11
7.0000E+3	1.0000E+0	2.4913E-7	-2.0000E+0	-2.2209E-11
7.5000E+3	1.0000E+0	2.4916E-7	-2.0000E+0	-2.1981E-11
8.0000E+3	1.0000E+0	2.4942E-7	-2.0000E+0	-2.1706E-11
8.5000E+3	1.0000E+0	2.4919E-7	-2.0000E+0	-2.1900E-11
9.0000E+3	1.0000E+0	2.4960E-7	-2.0000E+0	-2.1647E-11
9.5000E+3	1.0000E+0	2.4968E-7	-2.0000E+0	-2.1837E-11
1.0000E+4	1.0000E+0	2.4945E-7	-2.0000E+0	-2.1741E-11
1.0500E+4	1.0000E+0	2.4938E-7	-2.0000E+0	-2.1410E-11
1.1000E+4	1.0000E+0	2.4959E-7	-2.0000E+0	-2.1409E-11
1.1500E+4	1.0000E+0	2.4985E-7	-2.0000E+0	-2.1392E-11
1.2000E+4	1.0000E+0	2.5060E-7	-2.0000E+0	-2.1429E-11
1.2500E+4	1.0000E+0	2.5024E-7	-2.0000E+0	-2.1167E-11
1.3000E+4	1.0000E+0	2.5057E-7	-2.0000E+0	-2.1286E-11
1.3500E+4	1.0000E+0	2.4994E-7	-2.0000E+0	-2.1237E-11
1.4000E+4	1.0000E+0	2.5065E-7	-2.0000E+0	-2.1249E-11
1.4500E+4	1.0000E+0	2.5114E-7	-2.0000E+0	-2.1427E-11
1.5000E+4	1.0000E+0	2.5119E-7	-2.0000E+0	-2.1247E-11
1.5500E+4	1.0000E+0	2.5124E-7	-2.0000E+0	-2.1306E-11
1.6000E+4	1.0000E+0	2.5077E-7	-2.0000E+0	-2.1371E-11
1.6500E+4	1.0000E+0	2.5134E-7	-2.0000E+0	-2.1253E-11
1.7000E+4	1.0000E+0	2.5117E-7	-2.0000E+0	-2.1136E-11
1.7500E+4	1.0000E+0	2.5123E-7	-2.0000E+0	-2.1335E-11
1.8000E+4	1.0000E+0	2.5050E-7	-2.0000E+0	-2.1124E-11
1.8500E+4	1.0000E+0	2.5068E-7	-2.0000E+0	-2.1315E-11
1.9000E+4	1.0000E+0	2.5075E-7	-2.0000E+0	-2.0989E-11
1.9500E+4	1.0000E+0	2.5076E-7	-2.0000E+0	-2.1603E-11
2.0000E+4	1.0000E+0	2.5065E-7	-2.0000E+0	-2.1460E-11
2.0500E+4	1.0000E+0	2.5127E-7	-2.0000E+0	-2.1045E-11
2.1000E+4	1.0000E+0	2.5081E-7	-2.0000E+0	-2.1331E-11
2.1500E+4	1.0000E+0	2.5070E-7	-2.0000E+0	-2.0970E-11
2.2000E+4	1.0000E+0	2.5103E-7	-2.0000E+0	-2.0792E-11
2.2500E+4	1.0000E+0	2.5158E-7	-2.0000E+0	-2.0966E-11
2.3000E+4	1.0000E+0	2.5189E-7	-2.0000E+0	-2.0763E-11
2.3500E+4	1.0000E+0	2.5247E-7	-2.0000E+0	-2.0883E-11
2.4000E+4	1.0000E+0	2.5136E-7	-2.0000E+0	-2.0950E-11
2.4500E+4	1.0000E+0	2.5176E-7	-2.0000E+0	-2.0667E-11
2.5000E+4	1.0000E+0	2.5201E-7	-2.0000E+0	-2.0913E-11
2.5500E+4	1.0000E+0	2.5179E-7	-2.0000E+0	-2.1110E-11
2.6000E+4	1.0000E+0	2.5106E-7	-2.0000E+0	-2.1001E-11
2.6500E+4	1.0000E+0	2.5044E-7	-2.0000E+0	-2.0949E-11
2.7000E+4	1.0000E+0	2.5048E-7	-2.0000E+0	-2.1107E-11
2.7500E+4	1.0000E+0	2.5037E-7	-2.0000E+0	-2.0714E-11
2.8000E+4	1.0000E+0	2.5068E-7	-2.0000E+0	-2.0713E-11
2.8500E+4	1.0000E+0	2.4976E-7	-2.0000E+0	-2.1142E-11
2.9000E+4	1.0000E+0	2.5030E-7	-2.0000E+0	-2.1025E-11
2.9500E+4	1.0000E+0	2.5033E-7	-2.0000E+0	-2.0851E-11
3.0000E+4	1.0000E+0	2.4929E-7	-2.0000E+0	-2.1086E-11
3.0500E+4	1.0000E+0	2.4906E-7	-2.0000E+0	-2.1046E-11
3.1000E+4	1.0000E+0	2.4958E-7	-2.0000E+0	-2.1056E-11
3.1500E+4	1.0000E+0	2.5012E-7	-2.0000E+0	-2.1094E-11
3.2000E+4	1.0000E+0	2.4975E-7	-2.0000E+0	-2.0951E-11
3.2500E+4	1.0000E+0	2.4949E-7	-2.0000E+0	-2.1081E-11
3.3000E+4	1.0000E+0	2.4971E-7	-2.0000E+0	-2.0860E-11
3.3500E+4	1.0000E+0	2.5054E-7	-2.0000E+0	-2.0850E-11
3.4000E+4	1.0000E+0	2.4995E-7	-2.0000E+0	-2.0961E-11
3.4500E+4	1.0000E+0	2.5109E-7	-2.0000E+0	-2.1157E-11
3.5000E+4	1.0000E+0	2.5089E-7	-2.0000E+0	-2.1267E-11
3.5500E+4	1.0000E+0	2.5083E-7	-2.0000E+0	-2.1251E-11
3.6000E+4	1.0000E+0	2.5055E-7	-2.0000E+0	-2.1075E-11
3.6500E+4	1.0000E+0	2.5061E-7	-2.0000E+0	-2.0753E-11
3.7000E+4	1.0000E+0	2.5072E-7	-2.0000E+0	-2.0993E-11
3.7500E+4	1.0000E+0	2.5008E-7	-2.0000E+0	-2.0996E-11
3.8000E+4	1.0000E+0	2.4998E-7	-2.0000E+0	-2.1118E-11
3.8500E+4	1.0000E+0	2.4976E-7	-2.0000E+0	-2.1033E-11
3.9000E+4	1.0000E+0	2.4996E-7	-2.0000E+0	-2.0943E-11
3.9500E+4	1.0000E+0	2.4957E-7	-2.0000E+0	-2.0980E-11
4.0000E+4	1.0000E+0	2.5102E-7	-2.0000E+0	-2.0938E-11
4.0500E+4	1.0000E+0	2.5048E-7	-2.0000E+0	-2.1082E-11
4.1000E+4	1.0000E+0	2.4967E-7	-2.0000E+0	-2.1166E-11
4.1500E+4	1.0000E+0	2.4965E-7	-2.0000E+0	-2.1299E-11
4.2000E+4	1.0000E+0	2.4936E-7	-2.0000E+0	-2.0647E-11
4.2500E+4	1.0000E+0	2.4992E-7	-2.0000E+0	-2.0768E-11
4.3000E+4	1.0000E+0	2.4971E-7	-2.0000E+0	-2.0992E-11
4.3500E+4	1.0000E+0	2.5017E-7	-2.0000E+0	-2.0869E-11
4.4000E+4	1.0000E+0	2.5016E-7	-2.0000E+0	-2.1093E-11
4.4500E+4	1.0000E+0	2.4981E-7	-2.0000E+0	-2.0876E-11
4.5000E+4	1.0000E+0	2.5031E-7	-2.0000E+0	-2.0465E-11
4.5500E+4	1.0000E+0	2.5065E-7	-2.0000E+0	-2.0720E-11
4.6000E+4	1.0000E+0	2.4994E-7	-2.0000E+0	-2.0617E-11
4.6500E+4	1.0000E+0	2.5013E-7	-2.0000E+0	-2.0691E-11
4.7000E+4	1.0000E+0	2.4997E-7	-2.0000E+0	-2.0709E-11
