File Name: 00_Sample8_device1_trfSat_dark_horizontal.dat
File Data: 15/11/2023	15:05:49
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	6.7217E-10	-5.0000E+1	-1.0785E-9
1.0000E+3	1.0000E+0	3.8227E-10	-4.9500E+1	-4.9162E-10
1.5000E+3	1.0000E+0	3.0992E-10	-4.9000E+1	-2.3901E-10
2.0000E+3	1.0000E+0	2.3200E-10	-4.8500E+1	-1.6782E-10
2.5000E+3	1.0000E+0	1.5990E-10	-4.8000E+1	-1.4239E-10
3.0000E+3	1.0000E+0	1.1903E-10	-4.7500E+1	-9.2458E-11
3.5000E+3	1.0000E+0	7.8845E-11	-4.7000E+1	-5.5665E-11
4.0000E+3	1.0000E+0	5.8682E-11	-4.6500E+1	-3.7172E-11
4.5000E+3	1.0000E+0	4.0025E-11	-4.6000E+1	-2.0098E-11
5.0000E+3	1.0000E+0	2.8938E-11	-4.5500E+1	-8.5819E-12
5.5000E+3	1.0000E+0	2.1845E-11	-4.5000E+1	-1.3590E-12
6.0000E+3	1.0000E+0	1.4175E-11	-4.4500E+1	5.5563E-12
6.5000E+3	1.0000E+0	6.6865E-12	-4.4000E+1	1.1884E-11
7.0000E+3	1.0000E+0	1.7202E-12	-4.3500E+1	1.8145E-11
7.5000E+3	1.0000E+0	-2.0873E-12	-4.3000E+1	2.2441E-11
8.0000E+3	1.0000E+0	-6.4528E-12	-4.2500E+1	2.6698E-11
8.5000E+3	1.0000E+0	-9.4760E-12	-4.2000E+1	3.0211E-11
9.0000E+3	1.0000E+0	-1.2573E-11	-4.1500E+1	3.2994E-11
9.5000E+3	1.0000E+0	-1.5489E-11	-4.1000E+1	3.5666E-11
1.0000E+4	1.0000E+0	-1.7300E-11	-4.0500E+1	3.8132E-11
1.0500E+4	1.0000E+0	-1.9078E-11	-4.0000E+1	3.9537E-11
1.1000E+4	1.0000E+0	-2.0105E-11	-3.9500E+1	4.1628E-11
1.1500E+4	1.0000E+0	-2.1390E-11	-3.9000E+1	4.3460E-11
1.2000E+4	1.0000E+0	-2.2312E-11	-3.8500E+1	4.4712E-11
1.2500E+4	1.0000E+0	-2.3159E-11	-3.8000E+1	4.6414E-11
1.3000E+4	1.0000E+0	-2.4073E-11	-3.7500E+1	4.8145E-11
1.3500E+4	1.0000E+0	-2.3806E-11	-3.7000E+1	4.7643E-11
1.4000E+4	1.0000E+0	-2.4662E-11	-3.6500E+1	4.9388E-11
1.4500E+4	1.0000E+0	-2.4413E-11	-3.6000E+1	5.0234E-11
1.5000E+4	1.0000E+0	-1.8717E-11	-3.5500E+1	4.6719E-11
1.5500E+4	1.0000E+0	-4.2348E-11	-3.5000E+1	3.5644E-10
1.6000E+4	1.0000E+0	-2.5257E-11	-3.4500E+1	5.2116E-11
1.6500E+4	1.0000E+0	-2.5405E-11	-3.4000E+1	5.3778E-11
1.7000E+4	1.0000E+0	-2.5371E-11	-3.3500E+1	5.3570E-11
1.7500E+4	1.0000E+0	-2.5349E-11	-3.3000E+1	5.4697E-11
1.8000E+4	1.0000E+0	-2.5352E-11	-3.2500E+1	5.5560E-11
1.8500E+4	1.0000E+0	-2.4927E-11	-3.2000E+1	5.6685E-11
1.9000E+4	1.0000E+0	-2.4983E-11	-3.1500E+1	5.7238E-11
1.9500E+4	1.0000E+0	-2.4269E-11	-3.1000E+1	5.8823E-11
2.0000E+4	1.0000E+0	-2.3876E-11	-3.0500E+1	5.9788E-11
