File Name: 00_Sample9_device3_trfSat_dark_hor.dat
File Data: 16/11/2023	11:37:31
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	-2.1577E-13	-5.0000E+1	9.7038E-10
1.0000E+3	1.0000E+0	-8.8692E-13	-4.9500E+1	1.0923E-9
1.5000E+3	1.0000E+0	-1.0323E-12	-4.9000E+1	1.1145E-9
2.0000E+3	1.0000E+0	-1.0717E-12	-4.8500E+1	1.1620E-9
2.5000E+3	1.0000E+0	-1.1253E-12	-4.8000E+1	1.1267E-9
3.0000E+3	1.0000E+0	-1.2124E-12	-4.7500E+1	1.0722E-9
3.5000E+3	1.0000E+0	-1.2696E-12	-4.7000E+1	1.0924E-9
4.0000E+3	1.0000E+0	-1.1754E-12	-4.6500E+1	1.0554E-9
4.5000E+3	1.0000E+0	-1.2875E-12	-4.6000E+1	1.0381E-9
5.0000E+3	1.0000E+0	-1.2982E-12	-4.5500E+1	1.0194E-9
5.5000E+3	1.0000E+0	-1.2720E-12	-4.5000E+1	1.0435E-9
6.0000E+3	1.0000E+0	-1.2958E-12	-4.4500E+1	1.0300E-9
6.5000E+3	1.0000E+0	-1.3351E-12	-4.4000E+1	1.0388E-9
7.0000E+3	1.0000E+0	-1.3745E-12	-4.3500E+1	1.1045E-9
7.5000E+3	1.0000E+0	-1.3912E-12	-4.3000E+1	1.1356E-9
8.0000E+3	1.0000E+0	-1.3816E-12	-4.2500E+1	1.1148E-9
8.5000E+3	1.0000E+0	-1.2386E-12	-4.2000E+1	1.0245E-9
9.0000E+3	1.0000E+0	-1.4150E-12	-4.1500E+1	9.5638E-10
9.5000E+3	1.0000E+0	-1.2755E-12	-4.1000E+1	1.0307E-9
1.0000E+4	1.0000E+0	-1.4496E-12	-4.0500E+1	1.0452E-9
1.0500E+4	1.0000E+0	-1.3959E-12	-4.0000E+1	1.1457E-9
1.1000E+4	1.0000E+0	-1.3733E-12	-3.9500E+1	1.1575E-9
1.1500E+4	1.0000E+0	-1.3936E-12	-3.9000E+1	1.1519E-9
1.2000E+4	1.0000E+0	-1.4079E-12	-3.8500E+1	1.1047E-9
1.2500E+4	1.0000E+0	-1.4150E-12	-3.8000E+1	1.0392E-9
1.3000E+4	1.0000E+0	-1.3566E-12	-3.7500E+1	1.0581E-9
1.3500E+4	1.0000E+0	-1.4090E-12	-3.7000E+1	1.1282E-9
1.4000E+4	1.0000E+0	-1.3208E-12	-3.6500E+1	1.1941E-9
1.4500E+4	1.0000E+0	-1.4365E-12	-3.6000E+1	1.1460E-9
1.5000E+4	1.0000E+0	-1.4889E-12	-3.5500E+1	1.1700E-9
1.5500E+4	1.0000E+0	-1.6534E-12	-3.5000E+1	1.1288E-9
1.6000E+4	1.0000E+0	-1.5783E-12	-3.4500E+1	1.0555E-9
1.6500E+4	1.0000E+0	-1.6487E-12	-3.4000E+1	1.0458E-9
1.7000E+4	1.0000E+0	-1.6475E-12	-3.3500E+1	9.8888E-10
1.7500E+4	1.0000E+0	-1.6570E-12	-3.3000E+1	9.6392E-10
1.8000E+4	1.0000E+0	-1.6713E-12	-3.2500E+1	1.0144E-9
1.8500E+4	1.0000E+0	-1.6677E-12	-3.2000E+1	9.2416E-10
1.9000E+4	1.0000E+0	-1.7357E-12	-3.1500E+1	9.2248E-10
1.9500E+4	1.0000E+0	-1.6415E-12	-3.1000E+1	9.5500E-10
2.0000E+4	1.0000E+0	-1.6260E-12	-3.0500E+1	9.3153E-10
2.0500E+4	1.0000E+0	-1.6558E-12	-3.0000E+1	9.2030E-10
2.1000E+4	1.0000E+0	-1.6820E-12	-2.9500E+1	8.9150E-10
2.1500E+4	1.0000E+0	-1.5843E-12	-2.9000E+1	9.0740E-10
2.2000E+4	1.0000E+0	-1.6642E-12	-2.8500E+1	9.4482E-10
2.2500E+4	1.0000E+0	-1.6272E-12	-2.8000E+1	9.6822E-10
2.3000E+4	1.0000E+0	-1.7011E-12	-2.7500E+1	9.9170E-10
