File Name: Samèl10_device6_prova_4_noRad.dat
File Data: 10/11/2023	11:49:45
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.5971E-6	-5.0000E+1	-1.0011E-3
6.0000E+2	1.0000E+0	8.5987E-6	-4.9500E+1	-1.0011E-3
1.1000E+3	1.0000E+0	8.6036E-6	-4.9000E+1	-1.0010E-3
1.6000E+3	1.0000E+0	8.6070E-6	-4.8500E+1	-1.0010E-3
2.1000E+3	1.0000E+0	8.6088E-6	-4.8000E+1	-1.0010E-3
2.6000E+3	1.0000E+0	8.6103E-6	-4.7500E+1	-1.0010E-3
3.1000E+3	1.0000E+0	8.6093E-6	-4.7000E+1	-1.0010E-3
3.6000E+3	1.0000E+0	8.6128E-6	-4.6500E+1	-1.0010E-3
4.1000E+3	1.0000E+0	8.6205E-6	-4.6000E+1	-1.0010E-3
4.6000E+3	1.0000E+0	8.6206E-6	-4.5500E+1	-1.0010E-3
5.1000E+3	1.0000E+0	8.6242E-6	-4.5000E+1	-1.0010E-3
5.6000E+3	1.0000E+0	8.6254E-6	-4.4500E+1	-1.0010E-3
6.1000E+3	1.0000E+0	8.6251E-6	-4.4000E+1	-1.0009E-3
6.6000E+3	1.0000E+0	8.6275E-6	-4.3500E+1	-1.0010E-3
7.1000E+3	1.0000E+0	8.6266E-6	-4.3000E+1	-1.0010E-3
7.6000E+3	1.0000E+0	8.6274E-6	-4.2500E+1	-1.0010E-3
8.1000E+3	1.0000E+0	8.6262E-6	-4.2000E+1	-1.0010E-3
8.6000E+3	1.0000E+0	8.6277E-6	-4.1500E+1	-1.0010E-3
9.1000E+3	1.0000E+0	8.6314E-6	-4.1000E+1	-1.0010E-3
9.6000E+3	1.0000E+0	8.6355E-6	-4.0500E+1	-1.0010E-3
1.0100E+4	1.0000E+0	8.6321E-6	-4.0000E+1	-1.0010E-3
1.0600E+4	1.0000E+0	8.6337E-6	-3.9500E+1	-1.0010E-3
1.1100E+4	1.0000E+0	8.6343E-6	-3.9000E+1	-1.0010E-3
1.1600E+4	1.0000E+0	8.6324E-6	-3.8500E+1	-1.0010E-3
1.2100E+4	1.0000E+0	8.6341E-6	-3.8000E+1	-1.0010E-3
1.2600E+4	1.0000E+0	8.6358E-6	-3.7500E+1	-1.0010E-3
1.3100E+4	1.0000E+0	8.6366E-6	-3.7000E+1	-1.0010E-3
1.3600E+4	1.0000E+0	8.6409E-6	-3.6500E+1	-1.0010E-3
1.4100E+4	1.0000E+0	8.6416E-6	-3.6000E+1	-1.0009E-3
1.4600E+4	1.0000E+0	8.6435E-6	-3.5500E+1	-1.0010E-3
1.5100E+4	1.0000E+0	8.6424E-6	-3.5000E+1	-1.0010E-3
1.5600E+4	1.0000E+0	8.6427E-6	-3.4500E+1	-1.0010E-3
1.6100E+4	1.0000E+0	8.6461E-6	-3.4000E+1	-1.0010E-3
1.6600E+4	1.0000E+0	8.6440E-6	-3.3500E+1	-1.0009E-3
1.7100E+4	1.0000E+0	8.6478E-6	-3.3000E+1	-1.0010E-3
1.7600E+4	1.0000E+0	8.6511E-6	-3.2500E+1	-1.0010E-3
1.8100E+4	1.0000E+0	8.6528E-6	-3.2000E+1	-1.0010E-3
1.8600E+4	1.0000E+0	8.6496E-6	-3.1500E+1	-1.0010E-3
1.9100E+4	1.0000E+0	8.6474E-6	-3.1000E+1	-1.0010E-3
1.9600E+4	1.0000E+0	8.6486E-6	-3.0500E+1	-1.0010E-3
2.0100E+4	1.0000E+0	8.6466E-6	-3.0000E+1	-1.0010E-3
2.0600E+4	1.0000E+0	8.6480E-6	-2.9500E+1	-1.0010E-3
2.1100E+4	1.0000E+0	8.6524E-6	-2.9000E+1	-1.0010E-3
2.1600E+4	1.0000E+0	8.6533E-6	-2.8500E+1	-1.0010E-3
2.2100E+4	1.0000E+0	8.6512E-6	-2.8000E+1	-1.0010E-3
2.2600E+4	1.0000E+0	8.6547E-6	-2.7500E+1	-1.0010E-3
2.3100E+4	1.0000E+0	8.6546E-6	-2.7000E+1	-1.0010E-3
2.3600E+4	1.0000E+0	8.6589E-6	-2.6500E+1	-1.0010E-3
2.4100E+4	1.0000E+0	8.6581E-6	-2.6000E+1	-1.0010E-3
2.4600E+4	1.0000E+0	8.6537E-6	-2.5500E+1	-1.0010E-3
2.5100E+4	1.0000E+0	8.6573E-6	-2.5000E+1	-1.0010E-3
2.5600E+4	1.0000E+0	8.6589E-6	-2.4500E+1	-1.0010E-3
2.6100E+4	1.0000E+0	8.6629E-6	-2.4000E+1	-1.0010E-3
2.6600E+4	1.0000E+0	8.6582E-6	-2.3500E+1	-1.0010E-3
2.7100E+4	1.0000E+0	8.6598E-6	-2.3000E+1	-1.0010E-3
2.7600E+4	1.0000E+0	8.6639E-6	-2.2500E+1	-1.0010E-3
2.8100E+4	1.0000E+0	8.6640E-6	-2.2000E+1	-1.0010E-3
2.8600E+4	1.0000E+0	8.6654E-6	-2.1500E+1	-1.0010E-3
2.9100E+4	1.0000E+0	8.6663E-6	-2.1000E+1	-1.0010E-3
2.9600E+4	1.0000E+0	8.6726E-6	-2.0500E+1	-1.0010E-3
3.0100E+4	1.0000E+0	8.6655E-6	-2.0000E+1	-1.0010E-3
3.0600E+4	1.0000E+0	8.6649E-6	-1.9500E+1	-1.0010E-3
3.1100E+4	1.0000E+0	8.6654E-6	-1.9000E+1	-1.0010E-3
3.1600E+4	1.0000E+0	8.6639E-6	-1.8500E+1	-1.0009E-3
3.2100E+4	1.0000E+0	8.6669E-6	-1.8000E+1	-1.0010E-3
3.2600E+4	1.0000E+0	8.6739E-6	-1.7500E+1	-1.0010E-3
3.3100E+4	1.0000E+0	8.6725E-6	-1.7000E+1	-1.0010E-3
3.3600E+4	1.0000E+0	8.6726E-6	-1.6500E+1	-1.0010E-3
3.4100E+4	1.0000E+0	8.6719E-6	-1.6000E+1	-1.0010E-3
3.4600E+4	1.0000E+0	8.6706E-6	-1.5500E+1	-1.0010E-3
3.5100E+4	1.0000E+0	8.6689E-6	-1.5000E+1	-1.0010E-3
3.5600E+4	1.0000E+0	8.6721E-6	-1.4500E+1	-1.0010E-3
3.6100E+4	1.0000E+0	8.6738E-6	-1.4000E+1	-1.0010E-3
3.6600E+4	1.0000E+0	8.6718E-6	-1.3500E+1	-1.0010E-3
3.7100E+4	1.0000E+0	8.6702E-6	-1.3000E+1	-1.0010E-3
3.7600E+4	1.0000E+0	8.6735E-6	-1.2500E+1	-1.0010E-3
3.8100E+4	1.0000E+0	8.6706E-6	-1.2000E+1	-1.0010E-3
3.8600E+4	1.0000E+0	8.6701E-6	-1.1500E+1	-1.0010E-3
3.9100E+4	1.0000E+0	8.6743E-6	-1.1000E+1	-1.0010E-3
3.9600E+4	1.0000E+0	8.6788E-6	-1.0500E+1	-1.0010E-3
4.0100E+4	1.0000E+0	8.6821E-6	-1.0000E+1	-1.0010E-3
4.0600E+4	1.0000E+0	8.6792E-6	-9.5000E+0	-1.0010E-3
4.1100E+4	1.0000E+0	8.6826E-6	-9.0000E+0	-1.0010E-3
4.1600E+4	1.0000E+0	8.6835E-6	-8.5000E+0	-1.0010E-3
4.2100E+4	1.0000E+0	8.6815E-6	-8.0000E+0	-1.0010E-3
4.2600E+4	1.0000E+0	8.6849E-6	-7.5000E+0	-1.0010E-3
4.3100E+4	1.0000E+0	8.6766E-6	-7.0000E+0	-1.0010E-3
