File Name: prova output.dat
File Data: 10/11/2023	12:38:56
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	0.0000E+0	1.0002E-2	-5.0000E+1	-1.0001E-2
5.0000E+2	5.0000E-2	1.0001E-2	-5.0000E+1	-1.0000E-2
1.0000E+3	1.0000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
1.5000E+3	1.5000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
2.0000E+3	2.0000E-1	1.0000E-2	-5.0000E+1	-1.0000E-2
2.5000E+3	2.5000E-1	1.0000E-2	-5.0000E+1	-1.0000E-2
3.0000E+3	3.0000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
3.5000E+3	3.5000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
4.0000E+3	4.0000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
4.5000E+3	4.5000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
5.0000E+3	5.0000E-1	1.0001E-2	-5.0000E+1	-1.0000E-2
5.5000E+3	5.5000E-1	1.0000E-2	-5.0000E+1	-1.0000E-2
