File Name: prova_2_noRad.dat
File Data: 10/11/2023	11:33:31
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	3.5282E-10	-5.0000E+1	-1.5667E-8
6.0000E+2	1.0000E+0	1.8726E-10	-4.9500E+1	-1.2902E-8
1.1000E+3	1.0000E+0	1.1143E-10	-4.9000E+1	-1.1837E-8
1.6000E+3	1.0000E+0	6.2445E-11	-4.8500E+1	-1.1279E-8
2.1000E+3	1.0000E+0	3.9961E-11	-4.8000E+1	-1.0922E-8
2.6000E+3	1.0000E+0	2.0981E-11	-4.7500E+1	-1.0575E-8
3.1000E+3	1.0000E+0	7.2610E-12	-4.7000E+1	-1.0167E-8
3.6000E+3	1.0000E+0	-5.8472E-12	-4.6500E+1	-1.0052E-8
4.1000E+3	1.0000E+0	-1.8750E-11	-4.6000E+1	-9.8684E-9
4.6000E+3	1.0000E+0	-3.4308E-11	-4.5500E+1	-9.6683E-9
5.1000E+3	1.0000E+0	-2.3415E-11	-4.5000E+1	-9.4389E-9
5.6000E+3	1.0000E+0	-1.9882E-11	-4.4500E+1	-9.1021E-9
6.1000E+3	1.0000E+0	-2.6498E-11	-4.4000E+1	-8.7114E-9
6.6000E+3	1.0000E+0	-3.4556E-11	-4.3500E+1	-8.6772E-9
7.1000E+3	1.0000E+0	-2.8915E-11	-4.3000E+1	-8.9196E-9
7.6000E+3	1.0000E+0	-3.0651E-11	-4.2500E+1	-8.7910E-9
8.1000E+3	1.0000E+0	-3.2147E-11	-4.2000E+1	-8.5909E-9
8.6000E+3	1.0000E+0	-3.3310E-11	-4.1500E+1	-8.4761E-9
9.1000E+3	1.0000E+0	-3.4293E-11	-4.1000E+1	-8.3724E-9
9.6000E+3	1.0000E+0	-3.5189E-11	-4.0500E+1	-8.2391E-9
1.0100E+4	1.0000E+0	-3.5938E-11	-4.0000E+1	-8.1582E-9
1.0600E+4	1.0000E+0	-3.6468E-11	-3.9500E+1	-8.0241E-9
1.1100E+4	1.0000E+0	-3.7346E-11	-3.9000E+1	-7.8014E-9
1.1600E+4	1.0000E+0	-3.7981E-11	-3.8500E+1	-7.6856E-9
1.2100E+4	1.0000E+0	-3.8447E-11	-3.8000E+1	-7.5992E-9
1.2600E+4	1.0000E+0	-3.9321E-11	-3.7500E+1	-7.3096E-9
1.3100E+4	1.0000E+0	-4.0456E-11	-3.7000E+1	-7.2053E-9
1.3600E+4	1.0000E+0	-4.1765E-11	-3.6500E+1	-7.1675E-9
1.4100E+4	1.0000E+0	-4.2605E-11	-3.6000E+1	-6.9566E-9
1.4600E+4	1.0000E+0	-4.3235E-11	-3.5500E+1	-6.7646E-9
1.5100E+4	1.0000E+0	-4.3769E-11	-3.5000E+1	-6.5379E-9
1.5600E+4	1.0000E+0	-4.4199E-11	-3.4500E+1	-6.4917E-9
1.6100E+4	1.0000E+0	-4.4743E-11	-3.4000E+1	-6.4519E-9
1.6600E+4	1.0000E+0	-4.5273E-11	-3.3500E+1	-6.3716E-9
1.7100E+4	1.0000E+0	-4.5731E-11	-3.3000E+1	-6.3300E-9
1.7600E+4	1.0000E+0	-4.5966E-11	-3.2500E+1	-6.1141E-9
1.8100E+4	1.0000E+0	-4.6090E-11	-3.2000E+1	-6.0929E-9
1.8600E+4	1.0000E+0	-4.6465E-11	-3.1500E+1	-6.0028E-9
1.9100E+4	1.0000E+0	-4.6725E-11	-3.1000E+1	-5.8861E-9
1.9600E+4	1.0000E+0	-4.7176E-11	-3.0500E+1	-5.7372E-9
2.0100E+4	1.0000E+0	-4.7295E-11	-3.0000E+1	-5.8078E-9
2.0600E+4	1.0000E+0	-4.7686E-11	-2.9500E+1	-5.5589E-9
2.1100E+4	1.0000E+0	-3.9345E-11	-2.9000E+1	-5.4927E-9
2.1600E+4	1.0000E+0	-6.4631E-11	-2.8500E+1	-5.1584E-9
2.2100E+4	1.0000E+0	-4.8944E-11	-2.8000E+1	-5.4933E-9
2.2600E+4	1.0000E+0	-4.8995E-11	-2.7500E+1	-5.4147E-9
2.3100E+4	1.0000E+0	-4.9113E-11	-2.7000E+1	-5.2765E-9
2.3600E+4	1.0000E+0	-4.9412E-11	-2.6500E+1	-5.1669E-9
2.4100E+4	1.0000E+0	-4.9961E-11	-2.6000E+1	-5.0956E-9
2.4600E+4	1.0000E+0	-5.0424E-11	-2.5500E+1	-4.9793E-9
2.5100E+4	1.0000E+0	-5.0558E-11	-2.5000E+1	-4.8856E-9
2.5600E+4	1.0000E+0	-5.1054E-11	-2.4500E+1	-4.8299E-9
2.6100E+4	1.0000E+0	-5.1331E-11	-2.4000E+1	-4.6906E-9
2.6600E+4	1.0000E+0	-5.1731E-11	-2.3500E+1	-4.6099E-9
2.7100E+4	1.0000E+0	-5.2193E-11	-2.3000E+1	-4.5022E-9
2.7600E+4	1.0000E+0	-5.2285E-11	-2.2500E+1	-4.3874E-9
2.8100E+4	1.0000E+0	-5.2418E-11	-2.2000E+1	-4.3171E-9
2.8600E+4	1.0000E+0	-5.2538E-11	-2.1500E+1	-4.2318E-9
2.9100E+4	1.0000E+0	-5.2741E-11	-2.1000E+1	-4.1504E-9
2.9600E+4	1.0000E+0	-5.2964E-11	-2.0500E+1	-4.0650E-9
3.0100E+4	1.0000E+0	-5.2900E-11	-2.0000E+1	-3.9502E-9
3.0600E+4	1.0000E+0	-5.3197E-11	-1.9500E+1	-3.8247E-9
3.1100E+4	1.0000E+0	-5.3288E-11	-1.9000E+1	-3.7403E-9
3.1600E+4	1.0000E+0	-5.3649E-11	-1.8500E+1	-3.6374E-9
3.2100E+4	1.0000E+0	-5.3750E-11	-1.8000E+1	-3.5606E-9
3.2600E+4	1.0000E+0	-5.4034E-11	-1.7500E+1	-3.4686E-9
3.3100E+4	1.0000E+0	-5.4187E-11	-1.7000E+1	-3.3886E-9
3.3600E+4	1.0000E+0	-5.4399E-11	-1.6500E+1	-3.2719E-9
3.4100E+4	1.0000E+0	-5.4851E-11	-1.6000E+1	-3.1559E-9
3.4600E+4	1.0000E+0	-5.4762E-11	-1.5500E+1	-3.0320E-9
3.5100E+4	1.0000E+0	-5.4671E-11	-1.5000E+1	-2.8813E-9
3.5600E+4	1.0000E+0	-5.4526E-11	-1.4500E+1	-2.6920E-9
3.6100E+4	1.0000E+0	-4.7391E-11	-1.4000E+1	-2.5156E-9
3.6600E+4	1.0000E+0	-7.0349E-11	-1.3500E+1	-1.9547E-9
3.7100E+4	1.0000E+0	-5.4611E-11	-1.3000E+1	-2.3053E-9
3.7600E+4	1.0000E+0	-5.4334E-11	-1.2500E+1	-2.2019E-9
3.8100E+4	1.0000E+0	-5.4140E-11	-1.2000E+1	-2.0993E-9
3.8600E+4	1.0000E+0	-5.4272E-11	-1.1500E+1	-2.0036E-9
3.9100E+4	1.0000E+0	-5.4263E-11	-1.1000E+1	-1.8960E-9
3.9600E+4	1.0000E+0	-5.4382E-11	-1.0500E+1	-1.8259E-9
4.0100E+4	1.0000E+0	-5.4250E-11	-1.0000E+1	-1.8457E-9
4.0600E+4	1.0000E+0	-5.4565E-11	-9.5000E+0	-1.7127E-9
4.1100E+4	1.0000E+0	-5.4623E-11	-9.0000E+0	-1.5482E-9
4.1600E+4	1.0000E+0	-5.4814E-11	-8.5000E+0	-1.3942E-9
4.2100E+4	1.0000E+0	-5.4836E-11	-8.0000E+0	-1.3047E-9
4.2600E+4	1.0000E+0	-5.5160E-11	-7.5000E+0	-1.2427E-9
4.3100E+4	1.0000E+0	-5.5217E-11	-7.0000E+0	-1.1694E-9
4.3600E+4	1.0000E+0	-5.5178E-11	-6.5000E+0	-1.0912E-9
4.4100E+4	1.0000E+0	-5.5033E-11	-6.0000E+0	-9.7962E-10
4.4600E+4	1.0000E+0	-5.5305E-11	-5.5000E+0	-8.6729E-10
4.5100E+4	1.0000E+0	-5.5097E-11	-5.0000E+0	-7.7810E-10
4.5600E+4	1.0000E+0	-5.5087E-11	-4.5000E+0	-6.6171E-10
4.6100E+4	1.0000E+0	-5.5125E-11	-4.0000E+0	-5.6610E-10
4.6600E+4	1.0000E+0	-5.5164E-11	-3.5000E+0	-4.5298E-10
4.7100E+4	1.0000E+0	-5.5183E-11	-3.0000E+0	-3.5938E-10
4.7600E+4	1.0000E+0	-5.5157E-11	-2.5000E+0	-2.7380E-10
4.8100E+4	1.0000E+0	-5.5360E-11	-2.0000E+0	-1.8853E-10
4.8600E+4	1.0000E+0	-5.5385E-11	-1.5000E+0	-1.0916E-10
4.9100E+4	1.0000E+0	-5.5354E-11	-1.0000E+0	-2.7238E-11
4.9600E+4	1.0000E+0	-5.5273E-11	-5.0000E-1	5.3504E-11
5.0100E+4	1.0000E+0	-5.5417E-11	0.0000E+0	1.4497E-10
5.0600E+4	1.0000E+0	-5.5515E-11	5.0000E-1	2.5056E-10
5.1100E+4	1.0000E+0	-4.9462E-11	1.0000E+0	3.6727E-10
5.1600E+4	1.0000E+0	-5.6026E-11	1.5000E+0	4.9756E-10
5.2100E+4	1.0000E+0	-6.2770E-11	2.0000E+0	6.2082E-10
5.2600E+4	1.0000E+0	-5.5807E-11	2.5000E+0	7.4770E-10
5.3100E+4	1.0000E+0	-5.5548E-11	3.0000E+0	8.8432E-10
5.3600E+4	1.0000E+0	-5.5619E-11	3.5000E+0	1.0096E-9
5.4100E+4	1.0000E+0	-5.5526E-11	4.0000E+0	1.1356E-9
5.4600E+4	1.0000E+0	-5.5597E-11	4.5000E+0	1.2690E-9
5.5100E+4	1.0000E+0	-5.5713E-11	5.0000E+0	1.4278E-9
5.5600E+4	1.0000E+0	-5.5592E-11	5.5000E+0	1.5857E-9
5.6100E+4	1.0000E+0	-5.5656E-11	6.0000E+0	1.7046E-9
5.6600E+4	1.0000E+0	-5.5534E-11	6.5000E+0	1.8722E-9
5.7100E+4	1.0000E+0	-5.5431E-11	7.0000E+0	2.0319E-9
5.7600E+4	1.0000E+0	-5.5537E-11	7.5000E+0	2.1914E-9
5.8100E+4	1.0000E+0	-5.5573E-11	8.0000E+0	2.3435E-9
5.8600E+4	1.0000E+0	-5.5533E-11	8.5000E+0	2.4729E-9
5.9100E+4	1.0000E+0	-5.5481E-11	9.0000E+0	2.6131E-9
5.9600E+4	1.0000E+0	-5.5716E-11	9.5000E+0	2.7293E-9
6.0100E+4	1.0000E+0	-5.5594E-11	1.0000E+1	2.8749E-9
