File Name: prova_noRad.dat
File Data: 10/11/2023	11:27:49
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.7460E-10	-5.0000E+1	-1.2524E-8
7.0000E+2	1.0000E+0	1.2710E-10	-4.9500E+1	-9.7146E-9
1.2000E+3	1.0000E+0	9.2442E-11	-4.9000E+1	-9.2417E-9
1.7000E+3	1.0000E+0	8.4091E-11	-4.8500E+1	-9.2435E-9
2.2000E+3	1.0000E+0	8.0317E-11	-4.8000E+1	-8.7935E-9
2.7000E+3	1.0000E+0	7.5824E-11	-4.7500E+1	-8.4922E-9
3.2000E+3	1.0000E+0	5.5745E-11	-4.7000E+1	-8.3149E-9
3.7000E+3	1.0000E+0	3.1539E-11	-4.6500E+1	-8.3332E-9
4.2000E+3	1.0000E+0	1.2821E-11	-4.6000E+1	-8.0610E-9
4.7000E+3	1.0000E+0	-3.1507E-12	-4.5500E+1	-8.0568E-9
5.2000E+3	1.0000E+0	-2.0171E-11	-4.5000E+1	-7.8393E-9
5.7000E+3	1.0000E+0	-3.3150E-11	-4.4500E+1	-7.8013E-9
6.2000E+3	1.0000E+0	-1.9450E-11	-4.4000E+1	-6.3429E-9
6.7000E+3	1.0000E+0	-2.2779E-11	-4.3500E+1	-6.6961E-9
7.2000E+3	1.0000E+0	-2.6478E-11	-4.3000E+1	-6.6343E-9
7.7000E+3	1.0000E+0	-2.9185E-11	-4.2500E+1	-6.6224E-9
8.2000E+3	1.0000E+0	-3.0375E-11	-4.2000E+1	-6.5109E-9
8.7000E+3	1.0000E+0	-3.1185E-11	-4.1500E+1	-6.4219E-9
9.2000E+3	1.0000E+0	-3.2129E-11	-4.1000E+1	-6.3189E-9
9.7000E+3	1.0000E+0	-3.2877E-11	-4.0500E+1	-6.2511E-9
1.0200E+4	1.0000E+0	-3.3492E-11	-4.0000E+1	-6.1715E-9
