File Name: 00_Sample10_device6_trfSat_dark_begin.dat
File Data: 21/11/2023	13:37:39
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.0216E-10	-5.0000E+1	-1.0008E-3
1.0000E+3	1.0000E+0	9.3563E-11	-4.9500E+1	-1.0008E-3
1.5000E+3	1.0000E+0	9.3609E-11	-4.9000E+1	-1.0008E-3
2.0000E+3	1.0000E+0	9.2134E-11	-4.8500E+1	-1.0007E-3
2.5000E+3	1.0000E+0	9.0619E-11	-4.8000E+1	-1.0008E-3
3.0000E+3	1.0000E+0	8.9716E-11	-4.7500E+1	-1.0008E-3
3.5000E+3	1.0000E+0	8.7472E-11	-4.7000E+1	-1.0008E-3
4.0000E+3	1.0000E+0	8.5808E-11	-4.6500E+1	-1.0007E-3
4.5000E+3	1.0000E+0	8.5723E-11	-4.6000E+1	-1.0007E-3
5.0000E+3	1.0000E+0	8.7091E-11	-4.5500E+1	-1.0008E-3
5.5000E+3	1.0000E+0	8.6900E-11	-4.5000E+1	-1.0007E-3
6.0000E+3	1.0000E+0	8.7222E-11	-4.4500E+1	-1.0008E-3
6.5000E+3	1.0000E+0	8.6436E-11	-4.4000E+1	-1.0007E-3
7.0000E+3	1.0000E+0	8.6392E-11	-4.3500E+1	-1.0008E-3
7.5000E+3	1.0000E+0	8.5343E-11	-4.3000E+1	-1.0008E-3
8.0000E+3	1.0000E+0	8.5292E-11	-4.2500E+1	-1.0007E-3
8.5000E+3	1.0000E+0	8.6834E-11	-4.2000E+1	-1.0007E-3
9.0000E+3	1.0000E+0	8.7158E-11	-4.1500E+1	-1.0007E-3
9.5000E+3	1.0000E+0	8.8639E-11	-4.1000E+1	-1.0007E-3
1.0000E+4	1.0000E+0	8.8412E-11	-4.0500E+1	-1.0007E-3
1.0500E+4	1.0000E+0	8.7403E-11	-4.0000E+1	-1.0008E-3
1.1000E+4	1.0000E+0	8.6887E-11	-3.9500E+1	-1.0007E-3
1.1500E+4	1.0000E+0	8.5491E-11	-3.9000E+1	-1.0007E-3
1.2000E+4	1.0000E+0	8.5629E-11	-3.8500E+1	-1.0007E-3
1.2500E+4	1.0000E+0	8.5938E-11	-3.8000E+1	-1.0007E-3
1.3000E+4	1.0000E+0	8.4704E-11	-3.7500E+1	-1.0007E-3
1.3500E+4	1.0000E+0	8.4429E-11	-3.7000E+1	-1.0007E-3
1.4000E+4	1.0000E+0	8.4752E-11	-3.6500E+1	-1.0007E-3
1.4500E+4	1.0000E+0	8.3780E-11	-3.6000E+1	-1.0007E-3
1.5000E+4	1.0000E+0	8.4789E-11	-3.5500E+1	-1.0007E-3
1.5500E+4	1.0000E+0	8.3506E-11	-3.5000E+1	-1.0007E-3
1.6000E+4	1.0000E+0	8.4913E-11	-3.4500E+1	-1.0007E-3
1.6500E+4	1.0000E+0	8.4145E-11	-3.4000E+1	-1.0007E-3
1.7000E+4	1.0000E+0	8.3941E-11	-3.3500E+1	-1.0007E-3
1.7500E+4	1.0000E+0	8.3242E-11	-3.3000E+1	-1.0007E-3
1.8000E+4	1.0000E+0	8.4722E-11	-3.2500E+1	-1.0007E-3
1.8500E+4	1.0000E+0	8.3698E-11	-3.2000E+1	-1.0007E-3
1.9000E+4	1.0000E+0	8.4186E-11	-3.1500E+1	-1.0007E-3
1.9500E+4	1.0000E+0	8.2891E-11	-3.1000E+1	-1.0007E-3
2.0000E+4	1.0000E+0	8.1234E-11	-3.0500E+1	-1.0007E-3
2.0500E+4	1.0000E+0	8.2310E-11	-3.0000E+1	-1.0007E-3
2.1000E+4	1.0000E+0	8.1435E-11	-2.9500E+1	-1.0007E-3
2.1500E+4	1.0000E+0	8.2464E-11	-2.9000E+1	-1.0007E-3
2.2000E+4	1.0000E+0	8.1971E-11	-2.8500E+1	-1.0007E-3
2.2500E+4	1.0000E+0	8.1443E-11	-2.8000E+1	-1.0007E-3
2.3000E+4	1.0000E+0	8.1735E-11	-2.7500E+1	-1.0007E-3
2.3500E+4	1.0000E+0	8.0931E-11	-2.7000E+1	-1.0006E-3
2.4000E+4	1.0000E+0	8.0584E-11	-2.6500E+1	-1.0006E-3
2.4500E+4	1.0000E+0	7.9371E-11	-2.6000E+1	-1.0007E-3
2.5000E+4	1.0000E+0	7.9199E-11	-2.5500E+1	-1.0007E-3
2.5500E+4	1.0000E+0	8.1128E-11	-2.5000E+1	-1.0006E-3
2.6000E+4	1.0000E+0	8.0490E-11	-2.4500E+1	-1.0006E-3
2.6500E+4	1.0000E+0	8.2343E-11	-2.4000E+1	-1.0006E-3
2.7000E+4	1.0000E+0	8.3039E-11	-2.3500E+1	-1.0007E-3
2.7500E+4	1.0000E+0	8.1164E-11	-2.3000E+1	-1.0007E-3
2.8000E+4	1.0000E+0	8.0801E-11	-2.2500E+1	-1.0007E-3
2.8500E+4	1.0000E+0	8.1742E-11	-2.2000E+1	-1.0007E-3
2.9000E+4	1.0000E+0	7.7996E-11	-2.1500E+1	-1.0007E-3
2.9500E+4	1.0000E+0	8.0035E-11	-2.1000E+1	-1.0007E-3
3.0000E+4	1.0000E+0	7.9372E-11	-2.0500E+1	-1.0007E-3
3.0500E+4	1.0000E+0	7.9685E-11	-2.0000E+1	-1.0006E-3
3.1000E+4	1.0000E+0	7.9533E-11	-1.9500E+1	-1.0007E-3
3.1500E+4	1.0000E+0	7.9560E-11	-1.9000E+1	-1.0006E-3
3.2000E+4	1.0000E+0	7.8272E-11	-1.8500E+1	-1.0006E-3
3.2500E+4	1.0000E+0	7.6945E-11	-1.8000E+1	-1.0006E-3
3.3000E+4	1.0000E+0	7.6091E-11	-1.7500E+1	-1.0006E-3
3.3500E+4	1.0000E+0	7.6736E-11	-1.7000E+1	-1.0007E-3
3.4000E+4	1.0000E+0	7.8218E-11	-1.6500E+1	-1.0006E-3
3.4500E+4	1.0000E+0	7.7617E-11	-1.6000E+1	-1.0007E-3
3.5000E+4	1.0000E+0	7.6157E-11	-1.5500E+1	-1.0007E-3
3.5500E+4	1.0000E+0	7.6076E-11	-1.5000E+1	-1.0007E-3
3.6000E+4	1.0000E+0	7.5029E-11	-1.4500E+1	-1.0007E-3
3.6500E+4	1.0000E+0	7.6598E-11	-1.4000E+1	-1.0007E-3
3.7000E+4	1.0000E+0	7.5985E-11	-1.3500E+1	-1.0007E-3
3.7500E+4	1.0000E+0	7.6511E-11	-1.3000E+1	-1.0007E-3
3.8000E+4	1.0000E+0	7.7019E-11	-1.2500E+1	-1.0007E-3
3.8500E+4	1.0000E+0	7.8726E-11	-1.2000E+1	-1.0007E-3
3.9000E+4	1.0000E+0	7.7484E-11	-1.1500E+1	-1.0007E-3
3.9500E+4	1.0000E+0	7.9941E-11	-1.1000E+1	-1.0007E-3
4.0000E+4	1.0000E+0	7.8921E-11	-1.0500E+1	-1.0007E-3
4.0500E+4	1.0000E+0	7.7714E-11	-1.0000E+1	-1.0007E-3
4.1000E+4	1.0000E+0	7.5539E-11	-9.5000E+0	-1.0007E-3
4.1500E+4	1.0000E+0	7.5874E-11	-9.0000E+0	-1.0007E-3
4.2000E+4	1.0000E+0	7.6346E-11	-8.5000E+0	-1.0007E-3
4.2500E+4	1.0000E+0	7.5387E-11	-8.0000E+0	-1.0007E-3
4.3000E+4	1.0000E+0	7.5698E-11	-7.5000E+0	-1.0007E-3
4.3500E+4	1.0000E+0	7.3477E-11	-7.0000E+0	-1.0007E-3
4.4000E+4	1.0000E+0	7.5747E-11	-6.5000E+0	-1.0007E-3
4.4500E+4	1.0000E+0	7.6922E-11	-6.0000E+0	-1.0007E-3
4.5000E+4	1.0000E+0	7.6673E-11	-5.5000E+0	-1.0007E-3
