File Name: 05_Sample12_device3_It_150kV_VDrain1V_VGate40V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 21/11/2023;15:10:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);IDrain_without_peaks (A);IGate (A);;;Time_100uA (s);IDrain (A);;;IDrain_fit (A);;delta I (A);;;Time_200uA (s);IDrain (A);Fit (A);delta I (A);;Time_300uA (s);IDrain (A);Fit (A);delta I (A);;Time_400uA (s);IDrain_with_peaks (A);Fit (A);delta I (A);;Time_500uA (s);IDrain_with_peaks (A);Fit (A);delta I (A)
0.00E+00;1.00E+00;8.13E-07;4.00E+01;6.53E-10;;;0;8.13E-07;6.53E-10;;;300;8.09E-09;8.04E-11;;8.16E-09;;-6.244E-11;;;400;4.68E-09;4.65E-09;2.59E-11;;500;3.49E-09;3.52E-09;-3.71E-11;;600;3.10E-09;3.25E-09;-1.52E-10;;700;2.69E-09;2.80E-09;-1.0971E-10
1.00E+03;1.00E+00;7.62E-07;4.00E+01;3.96E-10;;;1;7.62E-07;3.96E-10;;;300.5;8.13E-09;8.00E-11;;8.13E-09;;5.9E-12;;;400.5;4.62E-09;4.65E-09;-3.28E-11;;500.5;3.54E-09;3.52E-09;1.43E-11;;600.5;3.08E-09;3.25E-09;-1.67E-10;;700.5;2.76E-09;2.80E-09;-3.898E-11
1.50E+03;1.00E+00;7.40E-07;4.00E+01;3.49E-10;;;1.5;7.40E-07;3.49E-10;;;301;8.14E-09;8.05E-11;;8.10E-09;;4.112E-11;;;401;4.60E-09;4.64E-09;-4.78E-11;;501;3.54E-09;3.52E-09;1.51E-11;;601;3.13E-09;3.25E-09;-1.20E-10;;701;2.78E-09;2.80E-09;-2.035E-11
2.00E+03;1.00E+00;7.19E-07;4.00E+01;3.06E-10;;;2;7.19E-07;3.06E-10;;;301.5;8.03E-09;8.09E-11;;8.07E-09;;-3.81E-11;;;401.5;4.57E-09;4.64E-09;-6.60E-11;;501.5;3.53E-09;3.52E-09;1.64E-12;;601.5;3.12E-09;3.24E-09;-1.22E-10;;701.5;2.75E-09;2.80E-09;-5.061E-11
2.50E+03;1.00E+00;7.05E-07;4.00E+01;2.72E-10;;;2.5;7.05E-07;2.72E-10;;;302;8.09E-09;8.09E-11;;8.04E-09;;5.876E-11;;;402;4.58E-09;4.63E-09;-4.86E-11;;502;3.62E-09;3.53E-09;9.40E-11;;602;3.10E-09;3.24E-09;-1.42E-10;;702;2.73E-09;2.80E-09;-6.528E-11
3.00E+03;1.00E+00;6.88E-07;4.00E+01;2.45E-10;;;3;6.88E-07;2.45E-10;;;302.5;7.95E-09;8.09E-11;;8.01E-09;;-5.521E-11;;;402.5;4.64E-09;4.63E-09;1.41E-11;;502.5;3.57E-09;3.53E-09;4.69E-11;;602.5;3.17E-09;3.24E-09;-7.40E-11;;702.5;2.76E-09;2.80E-09;-4.285E-11
3.50E+03;1.00E+00;6.75E-07;4.00E+01;2.23E-10;;;3.5;6.75E-07;2.23E-10;;;303;7.93E-09;8.03E-11;;7.98E-09;;-4.211E-11;;;403;4.51E-09;4.62E-09;-1.09E-10;;503;3.50E-09;3.53E-09;-2.91E-11;;603;3.17E-09;3.24E-09;-7.12E-11;;703;2.73E-09;2.80E-09;-7.222E-11
4.00E+03;1.00E+00;6.66E-07;4.00E+01;2.09E-10;;;4;6.66E-07;2.09E-10;;;303.5;7.86E-09;8.07E-11;;7.95E-09;;-8.184E-11;;;403.5;4.56E-09;4.62E-09;-5.85E-11;;503.5;3.57E-09;3.53E-09;4.44E-11;;603.5;3.12E-09;3.24E-09;-1.13E-10;;703.5;2.77E-09;2.80E-09;-2.568E-11
4.50E+03;1.00E+00;6.54E-07;4.00E+01;1.96E-10;;;4.5;6.54E-07;1.96E-10;;;304;7.85E-09;8.06E-11;;7.92E-09;;-6.529E-11;;;404;4.56E-09;4.61E-09;-4.94E-11;;504;3.60E-09;3.53E-09;7.67E-11;;604;3.09E-09;3.23E-09;-1.43E-10;;704;2.78E-09;2.80E-09;-1.635E-11
5.00E+03;1.00E+00;6.47E-07;4.00E+01;1.85E-10;;;5;6.47E-07;1.85E-10;;;304.5;7.91E-09;8.00E-11;;7.89E-09;;2.592E-11;;;404.5;4.54E-09;4.60E-09;-6.45E-11;;504.5;3.50E-09;3.53E-09;-2.91E-11;;604.5;3.14E-09;3.23E-09;-8.66E-11;;704.5;2.84E-09;2.80E-09;3.968E-11
