File Name: 07_Sample12_device3_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;9:25:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;Time (s);IDrain (A);Time_dark (s);IDrain (A);ExpFit (A);;ExpFit (A) (for all time scale);;;delta I (A);;;;Time_100uA (s);IDrain_raw (A);Fit (A);delta I (A);;Time_200uA (s);IDrain_raw (A);Fit (A);delta I (A);;Time_300uA (s);IDrain_raw (A);FIt (A);delta I (A);;Time_400uA (s);IDrain_raw (A);Fit (A);delta I (A);;Time_500uA (s);IDrain_raw (A);Fit (A);delta I (A)
0.00E+00;1.00E+00;3.07E-06;5.00E+01;1.05E-09;;;;0;3.07E-06;300;1.78E-07;1,76691E-7;;1.12E-06;;;1.95E-06;;;;300;1.78E-07;1.77E-07;1.89E-09;;442.00;7.52E-08;7.38E-08;1.38E-09;;592.00;3.85E-08;3.93E-08;-7.70E-10;;708.00;2.55E-08;2.57E-08;-2.84E-10;;811.00;1.79E-08;1.79E-08;1.95E-11
1.00E+03;1.00E+00;2.92E-06;5.00E+01;7.93E-10;;;;1;2.92E-06;300.5;1.77E-07;1,76167E-7;;1.12E-06;;;1.80E-06;;;;300.5;1.77E-07;1.76E-07;7.61E-10;;442.50;7.52E-08;7.37E-08;1.50E-09;;592.50;3.85E-08;3.92E-08;-7.60E-10;;708.50;2.55E-08;2.57E-08;-1.29E-10;;811.50;1.79E-08;1.79E-08;5.43E-11
1.50E+03;1.00E+00;2.85E-06;5.00E+01;7.13E-10;;;;1.5;2.85E-06;301;1.75E-07;1,75644E-7;;1.11E-06;;;1.74E-06;;;;301;1.75E-07;1.76E-07;-7.70E-11;;443.00;7.39E-08;7.36E-08;3.59E-10;;593.00;3.87E-08;3.92E-08;-4.74E-10;;709.00;2.55E-08;2.56E-08;-7.99E-11;;812.00;1.77E-08;1.79E-08;-1.60E-10
2.00E+03;1.00E+00;2.80E-06;5.00E+01;6.59E-10;;;;2;2.80E-06;301.5;1.76E-07;1,75123E-7;;1.11E-06;;;1.69E-06;;;;301.5;1.76E-07;1.75E-07;4.34E-10;;443.50;7.42E-08;7.34E-08;7.36E-10;;593.50;3.83E-08;3.91E-08;-8.27E-10;;709.50;2.54E-08;2.56E-08;-1.38E-10;;812.50;1.79E-08;1.78E-08;1.13E-11
2.50E+03;1.00E+00;2.77E-06;5.00E+01;6.12E-10;;;;2.5;2.77E-06;302;1.75E-07;1,74604E-7;;1.11E-06;;;1.67E-06;;;;302;1.75E-07;1.75E-07;5.14E-10;;444.00;7.41E-08;7.33E-08;7.65E-10;;594.00;3.86E-08;3.90E-08;-4.15E-10;;710.00;2.51E-08;2.55E-08;-4.01E-10;;813.00;1.79E-08;1.78E-08;7.74E-11
3.00E+03;1.00E+00;2.70E-06;5.00E+01;5.76E-10;;;;3;2.70E-06;302.5;1.74E-07;1,74086E-7;;1.10E-06;;;1.60E-06;;;;302.5;1.74E-07;1.74E-07;-8.00E-12;;444.50;7.35E-08;7.32E-08;2.69E-10;;594.50;3.85E-08;3.90E-08;-4.83E-10;;710.50;2.52E-08;2.54E-08;-2.72E-10;;813.50;1.79E-08;1.78E-08;6.66E-11
3.50E+03;1.00E+00;2.67E-06;5.00E+01;5.45E-10;;;;3.5;2.67E-06;303;1.74E-07;1,7357E-7;;1.10E-06;;;1.57E-06;;;;303;1.74E-07;1.74E-07;2.10E-10;;445.00;7.36E-08;7.31E-08;5.47E-10;;595.00;3.85E-08;3.89E-08;-3.60E-10;;711.00;2.50E-08;2.54E-08;-4.26E-10;;814.00;1.78E-08;1.78E-08;7.99E-11
4.00E+03;1.00E+00;2.64E-06;5.00E+01;5.20E-10;;;;4;2.64E-06;303.5;1.73E-07;1,73056E-7;;1.10E-06;;;1.55E-06;;;;303.5;1.73E-07;1.73E-07;-3.74E-10;;445.50;7.31E-08;7.29E-08;1.39E-10;;595.50;3.83E-08;3.88E-08;-4.99E-10;;711.50;3.03E-08;2.53E-08;4.96E-09;;814.50;1.79E-08;1.77E-08;1.38E-10
4.50E+03;1.00E+00;2.61E-06;5.00E+01;5.00E-10;;;;4.5;2.61E-06;304;1.72E-07;1,72543E-7;;1.09E-06;;;1.51E-06;;;;304;1.72E-07;1.73E-07;-6.79E-10;;446.00;7.33E-08;7.28E-08;4.47E-10;;596.00;3.86E-08;3.87E-08;-1.58E-10;;712.00;3.03E-08;2.53E-08;5.06E-09;;815.00;1.77E-08;1.77E-08;4.06E-11
5.00E+03;1.00E+00;2.57E-06;5.00E+01;4.82E-10;;;;5;2.57E-06;304.5;1.71E-07;1,72032E-7;;1.09E-06;;;1.48E-06;;;;304.5;1.71E-07;1.72E-07;-1.01E-09;;446.50;7.29E-08;7.27E-08;1.71E-10;;596.50;3.86E-08;3.87E-08;-5.25E-11;;712.50;3.00E-08;2.52E-08;4.82E-09;;815.50;1.94E-08;1.77E-08;1.71E-09
5.50E+03;1.00E+00;2.54E-06;5.00E+01;4.66E-10;;;;5.5;2.54E-06;305;1.73E-07;1,71523E-7;;1.09E-06;;;1.46E-06;;;;305;1.73E-07;1.72E-07;1.06E-09;;447.00;7.27E-08;7.26E-08;1.23E-10;;597.00;3.85E-08;3.86E-08;-1.02E-10;;713.00;3.02E-08;2.51E-08;5.04E-09;;816.00;2.17E-08;1.76E-08;4.03E-09
6.00E+03;1.00E+00;2.52E-06;5.00E+01;4.51E-10;;;;6;2.52E-06;305.5;1.72E-07;1,71015E-7;;1.08E-06;;;1.43E-06;;;;305.5;1.72E-07;1.71E-07;4.90E-10;;447.50;7.22E-08;7.24E-08;-2.04E-10;;597.50;3.82E-08;3.85E-08;-3.11E-10;;713.50;3.02E-08;2.51E-08;5.10E-09;;816.50;2.15E-08;1.76E-08;3.86E-09
