File Name: 00_Sample12_Device4_trfSat_dark_begin.dat;;;;;;;;;
File Data: 22/11/2023;9:55:38;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;2.06E-10;-5.00E+01;-5.05E-09;;;;2.0554E-10;5.0485E-09
1.00E+03;1.00E+00;1.70E-10;-4.95E+01;-4.92E-09;;;;1.7013E-10;4.9171E-09
1.50E+03;1.00E+00;1.46E-10;-4.90E+01;-4.91E-09;;;;1.4599E-10;4.9112E-09
2.00E+03;1.00E+00;1.87E-10;-4.85E+01;-4.56E-09;;;;1.8652E-10;4.5572E-09
2.50E+03;1.00E+00;1.68E-10;-4.80E+01;-4.28E-09;;;;1.6797E-10;4.2844E-09
3.00E+03;1.00E+00;1.57E-10;-4.75E+01;-4.03E-09;;;;1.569E-10;4.027E-09
3.50E+03;1.00E+00;1.38E-10;-4.70E+01;-4.08E-09;;;;1.3784E-10;4.0825E-09
4.00E+03;1.00E+00;1.45E-10;-4.65E+01;-3.74E-09;;;;1.4453E-10;3.7355E-09
4.50E+03;1.00E+00;1.60E-10;-4.60E+01;-3.67E-09;;;;1.6026E-10;3.671E-09
5.00E+03;1.00E+00;1.58E-10;-4.55E+01;-3.69E-09;;;;1.5788E-10;3.69E-09
5.50E+03;1.00E+00;1.72E-10;-4.50E+01;-3.50E-09;;;;1.7222E-10;3.4975E-09
6.00E+03;1.00E+00;1.58E-10;-4.45E+01;-3.29E-09;;;;1.5825E-10;3.2891E-09
6.50E+03;1.00E+00;1.32E-10;-4.40E+01;-3.13E-09;;;;1.3206E-10;3.1316E-09
7.00E+03;1.00E+00;1.19E-10;-4.35E+01;-3.14E-09;;;;1.1922E-10;3.1425E-09
7.50E+03;1.00E+00;1.26E-10;-4.30E+01;-3.02E-09;;;;1.2637E-10;3.0227E-09
8.00E+03;1.00E+00;1.51E-10;-4.25E+01;-2.94E-09;;;;1.5112E-10;2.9372E-09
8.50E+03;1.00E+00;1.35E-10;-4.20E+01;-2.77E-09;;;;1.3521E-10;2.7704E-09
9.00E+03;1.00E+00;1.47E-10;-4.15E+01;-2.68E-09;;;;1.4746E-10;2.6774E-09
9.50E+03;1.00E+00;1.36E-10;-4.10E+01;-2.55E-09;;;;1.3601E-10;2.5543E-09
1.00E+04;1.00E+00;1.38E-10;-4.05E+01;-2.46E-09;;;;1.3778E-10;2.4604E-09
1.05E+04;1.00E+00;1.27E-10;-4.00E+01;-2.32E-09;;;;1.2747E-10;2.3197E-09
1.10E+04;1.00E+00;1.27E-10;-3.95E+01;-2.23E-09;;;;1.2693E-10;2.2257E-09
1.15E+04;1.00E+00;1.32E-10;-3.90E+01;-2.16E-09;;;;1.3159E-10;2.1641E-09
1.20E+04;1.00E+00;1.25E-10;-3.85E+01;-2.04E-09;;;;1.2478E-10;2.0373E-09
1.25E+04;1.00E+00;1.25E-10;-3.80E+01;-1.97E-09;;;;1.2549E-10;1.9748E-09
1.30E+04;1.00E+00;1.18E-10;-3.75E+01;-1.88E-09;;;;1.1782E-10;1.8776E-09
1.35E+04;1.00E+00;1.16E-10;-3.70E+01;-1.80E-09;;;;1.1606E-10;1.8009E-09
1.40E+04;1.00E+00;1.18E-10;-3.65E+01;-1.74E-09;;;;1.1837E-10;1.7378E-09
1.45E+04;1.00E+00;1.20E-10;-3.60E+01;-1.65E-09;;;;1.2048E-10;1.6466E-09
1.50E+04;1.00E+00;1.19E-10;-3.55E+01;-1.57E-09;;;;1.1856E-10;1.5698E-09
1.55E+04;1.00E+00;8.20E-11;-3.50E+01;-1.02E-09;;;;8.1981E-11;1.0238E-09
1.60E+04;1.00E+00;1.08E-10;-3.45E+01;-1.35E-09;;;;1.0798E-10;1.3549E-09
1.65E+04;1.00E+00;1.11E-10;-3.40E+01;-1.27E-09;;;;1.1074E-10;1.273E-09
1.70E+04;1.00E+00;9.98E-11;-3.35E+01;-1.18E-09;;;;9.9844E-11;1.1758E-09
1.75E+04;1.00E+00;1.04E-10;-3.30E+01;-1.11E-09;;;;1.0387E-10;1.1113E-09
1.80E+04;1.00E+00;9.45E-11;-3.25E+01;-1.03E-09;;;;9.4488E-11;1.0252E-09
1.85E+04;1.00E+00;1.03E-10;-3.20E+01;-9.51E-10;;;;1.0286E-10;9.5125E-10
1.90E+04;1.00E+00;9.47E-11;-3.15E+01;-8.64E-10;;;;9.4691E-11;8.6356E-10
1.95E+04;1.00E+00;9.99E-11;-3.10E+01;-8.14E-10;;;;9.9919E-11;8.1435E-10
2.00E+04;1.00E+00;9.37E-11;-3.05E+01;-7.45E-10;;;;9.367E-11;7.4451E-10
2.05E+04;1.00E+00;9.12E-11;-3.00E+01;-6.91E-10;;;;9.1188E-11;6.9078E-10
2.10E+04;1.00E+00;8.71E-11;-2.95E+01;-6.31E-10;;;;8.7142E-11;6.3109E-10
2.15E+04;1.00E+00;8.52E-11;-2.90E+01;-5.57E-10;;;;8.5232E-11;5.5724E-10
2.20E+04;1.00E+00;8.66E-11;-2.85E+01;-5.23E-10;;;;8.6633E-11;5.2301E-10
2.25E+04;1.00E+00;8.46E-11;-2.80E+01;-4.67E-10;;;;8.4599E-11;4.6698E-10
2.30E+04;1.00E+00;8.37E-11;-2.75E+01;-4.30E-10;;;;8.3652E-11;4.2968E-10
2.35E+04;1.00E+00;7.77E-11;-2.70E+01;-3.90E-10;;;;7.7709E-11;3.8968E-10
2.40E+04;1.00E+00;7.75E-11;-2.65E+01;-3.52E-10;;;;7.7511E-11;3.5208E-10
2.45E+04;1.00E+00;7.69E-11;-2.60E+01;-3.20E-10;;;;7.6861E-11;3.1958E-10
2.50E+04;1.00E+00;7.40E-11;-2.55E+01;-3.07E-10;;;;7.4041E-11;3.072E-10
2.55E+04;1.00E+00;7.51E-11;-2.50E+01;-2.91E-10;;;;7.5117E-11;2.9129E-10
2.60E+04;1.00E+00;7.39E-11;-2.45E+01;-2.74E-10;;;;7.3855E-11;2.7422E-10
2.65E+04;1.00E+00;7.82E-11;-2.40E+01;-2.54E-10;;;;7.8239E-11;2.5427E-10
2.70E+04;1.00E+00;7.86E-11;-2.35E+01;-2.28E-10;;;;7.8591E-11;2.276E-10
2.75E+04;1.00E+00;7.66E-11;-2.30E+01;-1.96E-10;;;;7.6575E-11;1.9579E-10
2.80E+04;1.00E+00;7.47E-11;-2.25E+01;-1.69E-10;;;;7.4698E-11;1.6862E-10
2.85E+04;1.00E+00;7.58E-11;-2.20E+01;-1.48E-10;;;;7.5833E-11;1.4812E-10
2.90E+04;1.00E+00;7.64E-11;-2.15E+01;-1.25E-10;;;;7.6383E-11;1.2476E-10
2.95E+04;1.00E+00;7.90E-11;-2.10E+01;-1.01E-10;;;;7.897E-11;1.0112E-10
3.00E+04;1.00E+00;9.05E-11;-2.05E+01;-8.39E-11;;;;9.0492E-11;8.3935E-11
3.05E+04;1.00E+00;8.79E-11;-2.00E+01;-3.23E-11;;;;8.7895E-11;3.2301E-11
3.10E+04;1.00E+00;8.33E-11;-1.95E+01;-8.64E-12;;;;8.3262E-11;8.6355E-12
3.15E+04;1.00E+00;8.85E-11;-1.90E+01;-1.79E-11;;;;8.8476E-11;1.7899E-11
3.20E+04;1.00E+00;9.27E-11;-1.85E+01;-6.10E-12;;;;9.2738E-11;6.1047E-12
3.25E+04;1.00E+00;1.03E-10;-1.80E+01;4.97E-12;;;;1.0328E-10;4.9722E-12
3.30E+04;1.00E+00;1.11E-10;-1.75E+01;1.67E-11;;;;1.1134E-10;1.6694E-11
3.35E+04;1.00E+00;1.19E-10;-1.70E+01;2.49E-11;;;;1.1916E-10;2.4903E-11
3.40E+04;1.00E+00;1.36E-10;-1.65E+01;3.22E-11;;;;1.3648E-10;3.2169E-11
3.45E+04;1.00E+00;1.53E-10;-1.60E+01;3.86E-11;;;;1.5256E-10;3.855E-11
3.50E+04;1.00E+00;1.74E-10;-1.55E+01;4.30E-11;;;;1.7406E-10;4.3025E-11
3.55E+04;1.00E+00;2.07E-10;-1.50E+01;4.71E-11;;;;2.0743E-10;4.7127E-11
3.60E+04;1.00E+00;2.24E-10;-1.45E+01;5.09E-11;;;;2.2394E-10;5.0883E-11
3.65E+04;1.00E+00;2.55E-10;-1.40E+01;6.14E-11;;;;2.5536E-10;6.1445E-11
3.70E+04;1.00E+00;3.13E-10;-1.35E+01;8.17E-11;;;;3.1334E-10;8.1704E-11
3.75E+04;1.00E+00;3.15E-10;-1.30E+01;1.03E-10;;;;3.146E-10;1.0312E-10
3.80E+04;1.00E+00;3.47E-10;-1.25E+01;1.22E-10;;;;3.4723E-10;1.2239E-10
3.85E+04;1.00E+00;3.95E-10;-1.20E+01;1.41E-10;;;;3.9496E-10;1.4076E-10
3.90E+04;1.00E+00;4.58E-10;-1.15E+01;1.57E-10;;;;4.5767E-10;1.5721E-10
3.95E+04;1.00E+00;5.54E-10;-1.10E+01;1.78E-10;;;;5.538E-10;1.7846E-10
4.00E+04;1.00E+00;6.36E-10;-1.05E+01;1.87E-10;;;;6.3551E-10;1.8749E-10
4.05E+04;1.00E+00;7.54E-10;-1.00E+01;1.99E-10;;;;7.5364E-10;1.9946E-10
4.10E+04;1.00E+00;8.29E-10;-9.50E+00;2.12E-10;;;;8.2907E-10;2.1195E-10
4.15E+04;1.00E+00;9.21E-10;-9.00E+00;2.11E-10;;;;9.2123E-10;2.1082E-10
4.20E+04;1.00E+00;1.10E-09;-8.50E+00;2.27E-10;;;;1.1039E-09;2.2685E-10
4.25E+04;1.00E+00;1.31E-09;-8.00E+00;2.63E-10;;;;1.3145E-09;2.6328E-10
4.30E+04;1.00E+00;1.44E-09;-7.50E+00;2.45E-10;;;;1.4418E-09;2.4535E-10
4.35E+04;1.00E+00;1.68E-09;-7.00E+00;2.76E-10;;;;1.6768E-09;2.7625E-10
4.40E+04;1.00E+00;2.22E-09;-6.50E+00;3.00E-10;;;;2.2196E-09;2.9985E-10
4.45E+04;1.00E+00;2.54E-09;-6.00E+00;2.71E-10;;;;2.5365E-09;2.7098E-10
4.50E+04;1.00E+00;2.96E-09;-5.50E+00;2.83E-10;;;;2.9621E-09;2.825E-10
4.55E+04;1.00E+00;3.33E-09;-5.00E+00;2.78E-10;;;;3.3328E-09;2.7825E-10
4.60E+04;1.00E+00;3.55E-09;-4.50E+00;3.74E-10;;;;3.5546E-09;3.7368E-10
4.65E+04;1.00E+00;4.30E-09;-4.00E+00;3.13E-10;;;;4.2982E-09;3.1307E-10
4.70E+04;1.00E+00;4.74E-09;-3.50E+00;3.13E-10;;;;4.7353E-09;3.1335E-10
4.75E+04;1.00E+00;5.35E-09;-3.00E+00;3.24E-10;;;;5.3532E-09;3.2425E-10
4.80E+04;1.00E+00;6.31E-09;-2.50E+00;3.39E-10;;;;6.3096E-09;3.3852E-10
4.85E+04;1.00E+00;6.97E-09;-2.00E+00;3.43E-10;;;;6.9671E-09;3.4349E-10
4.90E+04;1.00E+00;8.28E-09;-1.50E+00;3.64E-10;;;;8.2845E-09;3.643E-10
4.95E+04;1.00E+00;8.29E-09;-1.00E+00;4.52E-10;;;;8.2944E-09;4.5199E-10
5.00E+04;1.00E+00;8.68E-09;-5.00E-01;3.94E-10;;;;8.6779E-09;3.938E-10
5.05E+04;1.00E+00;9.88E-09;0.00E+00;4.11E-10;;;;9.8809E-09;4.106E-10
5.10E+04;1.00E+00;1.20E-08;5.00E-01;4.38E-10;;;;1.1958E-08;4.384E-10
5.15E+04;1.00E+00;1.28E-08;1.00E+00;4.52E-10;;;;1.278E-08;4.5221E-10
5.20E+04;1.00E+00;1.37E-08;1.50E+00;4.74E-10;;;;1.369E-08;4.7367E-10
5.25E+04;1.00E+00;1.57E-08;2.00E+00;4.60E-10;;;;1.5662E-08;4.5968E-10
5.30E+04;1.00E+00;1.67E-08;2.50E+00;4.24E-10;;;;1.6684E-08;4.2402E-10
5.35E+04;1.00E+00;1.87E-08;3.00E+00;4.79E-10;;;;1.8728E-08;4.7936E-10
5.40E+04;1.00E+00;2.15E-08;3.50E+00;4.94E-10;;;;2.15E-08;4.9363E-10
5.45E+04;1.00E+00;2.46E-08;4.00E+00;4.57E-10;;;;2.4569E-08;4.5716E-10
5.50E+04;1.00E+00;2.59E-08;4.50E+00;4.64E-10;;;;2.5934E-08;4.6368E-10
5.55E+04;1.00E+00;2.78E-08;5.00E+00;4.51E-10;;;;2.7814E-08;4.5128E-10
5.60E+04;1.00E+00;2.94E-08;5.50E+00;4.71E-10;;;;2.9428E-08;4.7062E-10
5.65E+04;1.00E+00;3.40E-08;6.00E+00;4.52E-10;;;;3.3964E-08;4.5178E-10
5.70E+04;1.00E+00;3.67E-08;6.50E+00;4.60E-10;;;;3.6731E-08;4.5958E-10
5.75E+04;1.00E+00;4.01E-08;7.00E+00;4.79E-10;;;;4.0121E-08;4.7864E-10
5.80E+04;1.00E+00;4.70E-08;7.50E+00;4.70E-10;;;;4.6986E-08;4.6993E-10
5.85E+04;1.00E+00;5.28E-08;8.00E+00;4.92E-10;;;;5.2779E-08;4.9153E-10
5.90E+04;1.00E+00;5.83E-08;8.50E+00;5.07E-10;;;;5.8253E-08;5.0696E-10
5.95E+04;1.00E+00;6.40E-08;9.00E+00;4.75E-10;;;;6.4038E-08;4.7471E-10
6.00E+04;1.00E+00;6.69E-08;9.50E+00;4.73E-10;;;;6.6881E-08;4.7275E-10
6.05E+04;1.00E+00;6.89E-08;1.00E+01;4.72E-10;;;;6.8908E-08;4.7186E-10
6.10E+04;1.00E+00;7.22E-08;1.05E+01;5.96E-10;;;;7.2193E-08;5.9646E-10
6.15E+04;1.00E+00;7.75E-08;1.10E+01;4.78E-10;;;;7.7509E-08;4.7777E-10
6.20E+04;1.00E+00;8.49E-08;1.15E+01;4.96E-10;;;;8.4883E-08;4.9609E-10
6.25E+04;1.00E+00;9.50E-08;1.20E+01;4.95E-10;;;;9.5037E-08;4.9523E-10
6.30E+04;1.00E+00;1.01E-07;1.25E+01;6.03E-10;;;;1.0066E-07;6.0307E-10
6.40E+04;1.00E+00;1.12E-07;1.30E+01;3.92E-10;;;;1.124E-07;3.9235E-10
6.45E+04;1.00E+00;1.17E-07;1.35E+01;4.27E-10;;;;1.1654E-07;4.266E-10
6.50E+04;1.00E+00;1.18E-07;1.40E+01;4.44E-10;;;;1.1751E-07;4.4399E-10
6.55E+04;1.00E+00;1.21E-07;1.45E+01;4.54E-10;;;;1.2121E-07;4.5414E-10
