File Name: 03_Sample12_device4_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;10:49:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);Idrain(A);;;Time_100uA (s);IDrain_dark (A);;;Time_100uA (s);IDrain_raw (A);Fit (A);dI_100uA (A);;;Time_200uA_dark (s);IDrain_dark(A);;Time_200_raw(s);IDrain_raw(A);;;;Time_400uA_raw (s);IDrain_raw(A);Fit (A);dI (A);;Time_400uA_dark (s);;;;Time_500uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_500uA_dark (s);;;;Time_300uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_300uA_dark (s);
0.00E+00;1.00E+00;2.84E-06;5.00E+01;1.81E-09;;;0.00;2.84E-06;;;300;7.20E-07;;;300.00;7.20E-07;7.11E-07;9.16E-09;;;;;;600.00;4.45E-07;;;;1000.00;2.79E-07;2.88E-07;-9.36E-09;;1006.00;2.86E-07;;;1200.00;2.69E-07;2.70E-07;-1.16E-09;;1203.00;2.68E-07;;;800.00;3.44E-07;3.32E-07;1.13E-08;;807.00;3.37E-07
1.00E+03;1.00E+00;2.88E-06;5.00E+01;9.16E-10;;;1.00;2.88E-06;;;300.5;7.20E-07;;;300.50;7.20E-07;7.10E-07;9.98E-09;;;;;;600.50;4.43E-07;;;;1000.50;2.78E-07;2.88E-07;-1.03E-08;;1021.00;3.09E-07;;;1200.50;2.69E-07;2.71E-07;-1.55E-09;;1220.00;2.94E-07;;;800.50;3.42E-07;3.33E-07;9.42E-09;;827.00;3.40E-07
1.50E+03;1.00E+00;2.86E-06;5.00E+01;6.61E-10;;;1.50;2.86E-06;;;301;7.15E-07;;;301.00;7.15E-07;7.10E-07;5.07E-09;;;;;;601.00;4.43E-07;;;;1001.00;2.82E-07;2.89E-07;-6.29E-09;;1042.00;3.25E-07;;;1201.00;2.70E-07;2.71E-07;-1.56E-09;;1240.00;3.14E-07;;;801.00;3.41E-07;3.33E-07;8.74E-09;;847.00;3.47E-07
2.00E+03;1.00E+00;2.84E-06;5.00E+01;5.23E-10;;;2.00;2.84E-06;;;301.5;7.18E-07;;;301.50;7.18E-07;7.09E-07;9.07E-09;;;;;;601.50;4.44E-07;;;;1001.50;2.84E-07;2.89E-07;-4.76E-09;;1062.00;3.36E-07;;;1201.50;2.71E-07;2.72E-07;-7.99E-10;;1259.00;3.24E-07;;;801.50;3.38E-07;3.33E-07;4.62E-09;;867.00;3.56E-07
2.50E+03;1.00E+00;2.82E-06;5.00E+01;4.23E-10;;;2.50;2.82E-06;;;302;7.23E-07;;;302.00;7.23E-07;7.09E-07;1.45E-08;;;;;;602.00;4.44E-07;;;;1002.00;2.84E-07;2.89E-07;-5.14E-09;;1080.00;3.45E-07;;;1202.00;2.70E-07;2.72E-07;-2.18E-09;;1279.00;3.46E-07;;;802.00;3.40E-07;3.33E-07;6.57E-09;;884.00;3.63E-07
3.00E+03;1.00E+00;2.79E-06;5.00E+01;3.70E-10;;;3.00;2.79E-06;;;302.5;7.20E-07;;;302.50;7.20E-07;7.08E-07;1.13E-08;;;;;;602.50;4.46E-07;;;;1002.50;2.84E-07;2.90E-07;-6.31E-09;;;;;;1202.50;2.68E-07;2.73E-07;-5.05E-09;;;;;;802.50;3.41E-07;3.33E-07;7.29E-09;;;
3.50E+03;1.00E+00;2.76E-06;5.00E+01;2.95E-10;;;3.50;2.76E-06;;;303;7.19E-07;;;303.00;7.19E-07;7.08E-07;1.09E-08;;;;;;603.00;4.45E-07;;;;1003.00;2.85E-07;2.90E-07;-5.19E-09;;;;;;1203.00;2.68E-07;2.73E-07;-5.10E-09;;;;;;803.00;3.37E-07;3.33E-07;3.91E-09;;;
4.00E+03;1.00E+00;2.74E-06;5.00E+01;2.62E-10;;;4.00;2.74E-06;;;303.5;7.18E-07;;;303.50;7.18E-07;7.07E-07;1.05E-08;;;;;;603.50;4.44E-07;;;;1003.50;2.84E-07;2.91E-07;-6.69E-09;;;;;;1203.50;2.71E-07;2.74E-07;-3.23E-09;;;;;;803.50;3.36E-07;3.34E-07;2.06E-09;;;
4.50E+03;1.00E+00;2.72E-06;5.00E+01;2.49E-10;;;4.50;2.72E-06;;;304;7.16E-07;;;304.00;7.16E-07;7.07E-07;8.73E-09;;;;;;604.00;4.43E-07;;;;1004.00;2.85E-07;2.91E-07;-6.48E-09;;;;;;1204.00;2.68E-07;2.74E-07;-6.30E-09;;;;;;804.00;3.39E-07;3.34E-07;5.30E-09;;;
5.00E+03;1.00E+00;2.69E-06;5.00E+01;2.17E-10;;;5.00;2.69E-06;;;304.5;7.16E-07;;;304.50;7.16E-07;7.07E-07;9.78E-09;;;;;;604.50;4.44E-07;;;;1004.50;2.84E-07;2.91E-07;-7.32E-09;;;;;;1204.50;1.77E-07;2.75E-07;-9.81E-08;;;;;;804.50;3.44E-07;3.34E-07;9.67E-09;;;
5.50E+03;1.00E+00;2.66E-06;5.00E+01;1.90E-10;;;5.50;2.66E-06;;;305;7.15E-07;;;305.00;7.15E-07;7.06E-07;9.19E-09;;;;;;605.00;4.42E-07;;;;1005.00;2.85E-07;2.92E-07;-6.49E-09;;;;;;1205.00;1.05E-07;2.75E-07;-1.71E-07;;;;;;805.00;3.43E-07;3.34E-07;8.47E-09;;;
6.00E+03;1.00E+00;2.63E-06;5.00E+01;1.82E-10;;;6.00;2.63E-06;;;305.5;7.15E-07;;;305.50;7.15E-07;7.06E-07;9.24E-09;;;;;;605.50;4.43E-07;;;;1005.50;2.86E-07;2.92E-07;-5.85E-09;;;;;;1205.50;9.76E-08;2.76E-07;-1.78E-07;;;;;;805.50;3.41E-07;3.34E-07;6.43E-09;;;
6.50E+03;1.00E+00;2.61E-06;5.00E+01;1.66E-10;;;6.50;2.61E-06;;;306;7.09E-07;;;306.00;7.09E-07;7.05E-07;4.28E-09;;;;;;606.00;4.40E-07;;;;1006.00;2.86E-07;2.93E-07;-6.40E-09;;;;;;1206.00;9.49E-08;2.76E-07;-1.81E-07;;;;;;806.00;3.39E-07;3.34E-07;4.43E-09;;;
7.00E+03;1.00E+00;2.57E-06;5.00E+01;1.08E-10;;;7.00;2.57E-06;;;306.5;7.11E-07;;;306.50;7.11E-07;7.05E-07;6.30E-09;;;;;;606.50;4.39E-07;;;;1006.50;2.46E-07;2.93E-07;-4.68E-08;;;;;;1206.50;9.97E-08;2.77E-07;-1.77E-07;;;;;;806.50;3.39E-07;3.35E-07;3.89E-09;;;
7.50E+03;1.00E+00;2.55E-06;5.00E+01;1.17E-10;;;7.50;2.55E-06;;;307;7.08E-07;;;307.00;7.08E-07;7.04E-07;3.71E-09;;;;;;607.00;4.40E-07;;;;1007.00;1.52E-07;2.93E-07;-1.41E-07;;;;;;1207.50;1.07E-07;2.78E-07;-1.70E-07;;;;;;807.00;3.37E-07;3.35E-07;2.30E-09;;;
8.00E+03;1.00E+00;2.53E-06;5.00E+01;1.69E-10;;;8.00;2.53E-06;;;307.5;7.09E-07;;;307.50;7.09E-07;7.04E-07;5.14E-09;;;;;;607.50;4.39E-07;;;;1007.50;1.28E-07;2.94E-07;-1.66E-07;;;;;;1208.00;1.00E-07;2.78E-07;-1.78E-07;;;;;;807.50;3.37E-07;3.35E-07;2.50E-09;;;
8.50E+03;1.00E+00;2.51E-06;5.00E+01;1.45E-10;;;8.50;2.51E-06;;;308;7.06E-07;;;308.00;7.06E-07;7.03E-07;2.52E-09;;;;;;608.00;4.40E-07;;;;1008.00;1.24E-07;2.94E-07;-1.70E-07;;;;;;1208.50;9.97E-08;2.79E-07;-1.79E-07;;;;;;808.00;3.14E-07;3.35E-07;-2.15E-08;;;
9.00E+03;1.00E+00;2.49E-06;5.00E+01;1.40E-10;;;9.00;2.49E-06;;;308.5;7.08E-07;;;308.50;7.08E-07;7.03E-07;5.36E-09;;;;;;608.50;4.39E-07;;;;1008.50;1.23E-07;2.94E-07;-1.72E-07;;;;;;1209.00;1.02E-07;2.79E-07;-1.77E-07;;;;;;808.50;2.27E-07;3.35E-07;-1.09E-07;;;
