File Name: 00_Sample14_device2_trfSat_dark_vertical.dat
File Data: 15/11/2023	14:30:22
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	5.5715E-11	-5.0000E+1	-1.2456E-6
1.0000E+3	1.0000E+0	-1.3838E-10	-4.9500E+1	-2.7910E-6
1.5000E+3	1.0000E+0	4.7950E-11	-4.9000E+1	-1.1080E-6
2.0000E+3	1.0000E+0	1.1169E-11	-4.8500E+1	-5.0097E-7
2.5000E+3	1.0000E+0	-2.5887E-11	-4.8000E+1	-2.7372E-7
3.0000E+3	1.0000E+0	-1.2469E-12	-4.7500E+1	-1.0436E-6
3.5000E+3	1.0000E+0	-3.5152E-10	-4.7000E+1	-1.0252E-6
4.0000E+3	1.0000E+0	1.6821E-10	-4.6500E+1	-3.1642E-6
4.5000E+3	1.0000E+0	1.0260E-10	-4.6000E+1	-1.4154E-6
5.0000E+3	1.0000E+0	-8.3168E-11	-4.5500E+1	-1.2791E-6
5.5000E+3	1.0000E+0	1.7393E-11	-4.5000E+1	-1.2558E-6
6.5000E+3	1.0000E+0	-1.7564E-10	-4.4500E+1	-6.1475E-7
7.0000E+3	1.0000E+0	-2.0815E-10	-4.4000E+1	-1.6685E-6
7.5000E+3	1.0000E+0	6.4857E-11	-4.3500E+1	-2.3317E-6
8.0000E+3	1.0000E+0	-6.6255E-11	-4.3000E+1	-5.0291E-7
8.5000E+3	1.0000E+0	-1.0592E-11	-4.2500E+1	-8.3765E-7
9.0000E+3	1.0000E+0	8.3995E-12	-4.2000E+1	-1.0409E-6
1.0000E+4	1.0000E+0	-1.4632E-11	-4.1500E+1	-1.1116E-6
1.0500E+4	1.0000E+0	7.7157E-11	-4.1000E+1	-1.6530E-6
1.1000E+4	1.0000E+0	3.9610E-11	-4.0500E+1	-1.2479E-6
1.1500E+4	1.0000E+0	4.5904E-11	-4.0000E+1	-1.4255E-6
1.2000E+4	1.0000E+0	1.1662E-10	-3.9500E+1	-7.6185E-7
1.2500E+4	1.0000E+0	9.4829E-11	-3.9000E+1	-1.9459E-7
1.3000E+4	1.0000E+0	1.3514E-10	-3.8500E+1	-1.5407E-7
