File Name: 13_Sample14_device2_trfSat_dark_final.dat;;;;;;;;
File Data: 22/11/2023;12:46:02;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;8.74E-11;-5.00E+01;-8.49E-11;;;8.7402E-11;8.4941E-11
1.00E+03;1.00E+00;7.67E-11;-4.95E+01;-3.81E-11;;;7.6693E-11;3.8069E-11
1.50E+03;1.00E+00;5.36E-11;-4.90E+01;1.73E-11;;;5.3573E-11;1.7349E-11
2.00E+03;1.00E+00;5.18E-11;-4.85E+01;2.03E-11;;;5.1838E-11;2.026E-11
2.50E+03;1.00E+00;4.94E-11;-4.80E+01;2.17E-11;;;4.9438E-11;2.1693E-11
3.00E+03;1.00E+00;4.78E-11;-4.75E+01;2.40E-11;;;4.7815E-11;2.4014E-11
3.50E+03;1.00E+00;4.62E-11;-4.70E+01;2.55E-11;;;4.6175E-11;2.5473E-11
4.00E+03;1.00E+00;4.42E-11;-4.65E+01;2.68E-11;;;4.4167E-11;2.6832E-11
4.50E+03;1.00E+00;4.27E-11;-4.60E+01;2.79E-11;;;4.274E-11;2.7941E-11
5.00E+03;1.00E+00;4.16E-11;-4.55E+01;2.93E-11;;;4.1561E-11;2.927E-11
5.50E+03;1.00E+00;4.12E-11;-4.50E+01;3.00E-11;;;4.1168E-11;3.0026E-11
6.00E+03;1.00E+00;4.05E-11;-4.45E+01;3.06E-11;;;4.05E-11;3.0593E-11
6.50E+03;1.00E+00;3.99E-11;-4.40E+01;3.16E-11;;;3.9943E-11;3.1555E-11
7.00E+03;1.00E+00;3.96E-11;-4.35E+01;3.20E-11;;;3.9562E-11;3.1951E-11
7.50E+03;1.00E+00;3.90E-11;-4.30E+01;3.29E-11;;;3.9005E-11;3.2859E-11
8.00E+03;1.00E+00;3.84E-11;-4.25E+01;3.40E-11;;;3.836E-11;3.3985E-11
8.50E+03;1.00E+00;3.83E-11;-4.20E+01;3.42E-11;;;3.8313E-11;3.4217E-11
9.00E+03;1.00E+00;3.91E-11;-4.15E+01;3.41E-11;;;3.9135E-11;3.4119E-11
9.50E+03;1.00E+00;3.86E-11;-4.10E+01;3.44E-11;;;3.8571E-11;3.4423E-11
1.00E+04;1.00E+00;3.87E-11;-4.05E+01;3.46E-11;;;3.8717E-11;3.4584E-11
1.05E+04;1.00E+00;3.81E-11;-4.00E+01;3.54E-11;;;3.8079E-11;3.5381E-11
1.10E+04;1.00E+00;3.98E-11;-3.95E+01;3.58E-11;;;3.9804E-11;3.5827E-11
1.15E+04;1.00E+00;4.06E-11;-3.90E+01;3.51E-11;;;4.0596E-11;3.5051E-11
1.20E+04;1.00E+00;3.97E-11;-3.85E+01;3.58E-11;;;3.9736E-11;3.5838E-11
1.25E+04;1.00E+00;4.03E-11;-3.80E+01;3.74E-11;;;4.0302E-11;3.7446E-11
1.30E+04;1.00E+00;4.13E-11;-3.75E+01;3.79E-11;;;4.1294E-11;3.7946E-11
1.35E+04;1.00E+00;4.33E-11;-3.70E+01;3.79E-11;;;4.3314E-11;3.7857E-11
1.40E+04;1.00E+00;4.61E-11;-3.65E+01;3.77E-11;;;4.6127E-11;3.7733E-11
1.45E+04;1.00E+00;4.65E-11;-3.60E+01;3.84E-11;;;4.6538E-11;3.8437E-11
1.50E+04;1.00E+00;5.46E-11;-3.55E+01;3.63E-11;;;5.4591E-11;3.6335E-11
1.55E+04;1.00E+00;3.64E-11;-3.50E+01;1.79E-10;;;3.6391E-11;1.7927E-10
1.60E+04;1.00E+00;5.78E-11;-3.45E+01;4.13E-11;;;5.7836E-11;4.1267E-11
1.65E+04;1.00E+00;6.43E-11;-3.40E+01;4.24E-11;;;6.4268E-11;4.2416E-11
1.70E+04;1.00E+00;7.30E-11;-3.35E+01;4.25E-11;;;7.3017E-11;4.2522E-11
1.75E+04;1.00E+00;8.47E-11;-3.30E+01;4.32E-11;;;8.4703E-11;4.3216E-11
1.80E+04;1.00E+00;9.96E-11;-3.25E+01;4.36E-11;;;9.9646E-11;4.3563E-11
1.85E+04;1.00E+00;1.21E-10;-3.20E+01;4.42E-11;;;1.2135E-10;4.424E-11
1.90E+04;1.00E+00;1.49E-10;-3.15E+01;4.48E-11;;;1.4934E-10;4.4818E-11
1.95E+04;1.00E+00;1.85E-10;-3.10E+01;4.53E-11;;;1.8462E-10;4.5329E-11
2.00E+04;1.00E+00;2.31E-10;-3.05E+01;4.62E-11;;;2.3054E-10;4.6221E-11
2.05E+04;1.00E+00;2.89E-10;-3.00E+01;4.59E-11;;;2.8874E-10;4.5863E-11
2.10E+04;1.00E+00;3.56E-10;-2.95E+01;4.66E-11;;;3.5583E-10;4.6589E-11
2.15E+04;1.00E+00;4.14E-10;-2.90E+01;4.66E-11;;;4.1358E-10;4.6562E-11
2.20E+04;1.00E+00;5.23E-10;-2.85E+01;4.72E-11;;;5.2345E-10;4.7205E-11
2.25E+04;1.00E+00;6.37E-10;-2.80E+01;4.76E-11;;;6.3717E-10;4.7625E-11
2.30E+04;1.00E+00;8.05E-10;-2.75E+01;4.76E-11;;;8.0535E-10;4.7582E-11
2.35E+04;1.00E+00;9.54E-10;-2.70E+01;4.81E-11;;;9.5446E-10;4.8102E-11
2.40E+04;1.00E+00;1.16E-09;-2.65E+01;4.84E-11;;;1.1646E-09;4.8433E-11
2.45E+04;1.00E+00;1.47E-09;-2.60E+01;4.80E-11;;;1.4742E-09;4.7956E-11
2.50E+04;1.00E+00;1.76E-09;-2.55E+01;4.87E-11;;;1.7574E-09;4.8671E-11
2.55E+04;1.00E+00;2.14E-09;-2.50E+01;4.86E-11;;;2.1369E-09;4.8562E-11
2.60E+04;1.00E+00;2.62E-09;-2.45E+01;4.90E-11;;;2.6208E-09;4.8994E-11
2.65E+04;1.00E+00;3.19E-09;-2.40E+01;4.93E-11;;;3.194E-09;4.93E-11
2.70E+04;1.00E+00;4.07E-09;-2.35E+01;4.95E-11;;;4.066E-09;4.9498E-11
2.75E+04;1.00E+00;4.77E-09;-2.30E+01;4.97E-11;;;4.7717E-09;4.9661E-11
2.80E+04;1.00E+00;5.81E-09;-2.25E+01;4.98E-11;;;5.8113E-09;4.9829E-11
2.85E+04;1.00E+00;7.10E-09;-2.20E+01;5.02E-11;;;7.101E-09;5.0175E-11
2.90E+04;1.00E+00;8.43E-09;-2.15E+01;5.03E-11;;;8.4259E-09;5.0283E-11
2.95E+04;1.00E+00;1.03E-08;-2.10E+01;5.06E-11;;;1.0297E-08;5.0592E-11
3.00E+04;1.00E+00;1.23E-08;-2.05E+01;5.01E-11;;;1.233E-08;5.0116E-11
3.05E+04;1.00E+00;1.47E-08;-2.00E+01;7.17E-11;;;1.4701E-08;7.1673E-11
3.10E+04;1.00E+00;1.78E-08;-1.95E+01;7.24E-11;;;1.7805E-08;7.2432E-11
3.15E+04;1.00E+00;2.08E-08;-1.90E+01;5.11E-11;;;2.0781E-08;5.1067E-11
3.20E+04;1.00E+00;2.41E-08;-1.85E+01;5.13E-11;;;2.4101E-08;5.1261E-11
3.25E+04;1.00E+00;2.82E-08;-1.80E+01;5.14E-11;;;2.822E-08;5.141E-11
3.30E+04;1.00E+00;3.29E-08;-1.75E+01;5.17E-11;;;3.2923E-08;5.1663E-11
3.35E+04;1.00E+00;3.84E-08;-1.70E+01;5.17E-11;;;3.8356E-08;5.1688E-11
3.40E+04;1.00E+00;4.48E-08;-1.65E+01;5.18E-11;;;4.484E-08;5.1847E-11
3.45E+04;1.00E+00;5.10E-08;-1.60E+01;5.21E-11;;;5.0979E-08;5.208E-11
3.50E+04;1.00E+00;5.91E-08;-1.55E+01;5.23E-11;;;5.9082E-08;5.231E-11
3.55E+04;1.00E+00;6.70E-08;-1.50E+01;5.25E-11;;;6.7042E-08;5.2479E-11
3.60E+04;1.00E+00;7.65E-08;-1.45E+01;5.24E-11;;;7.6508E-08;5.2398E-11
3.65E+04;1.00E+00;8.74E-08;-1.40E+01;5.26E-11;;;8.7411E-08;5.2644E-11
3.70E+04;1.00E+00;9.83E-08;-1.35E+01;5.27E-11;;;9.834E-08;5.2724E-11
3.75E+04;1.00E+00;1.11E-07;-1.30E+01;5.31E-11;;;1.1141E-07;5.313E-11
3.80E+04;1.00E+00;1.25E-07;-1.25E+01;6.21E-11;;;1.2458E-07;6.2088E-11
3.85E+04;1.00E+00;1.41E-07;-1.20E+01;5.30E-11;;;1.4071E-07;5.3047E-11
3.90E+04;1.00E+00;1.57E-07;-1.15E+01;5.32E-11;;;1.5662E-07;5.3177E-11
3.95E+04;1.00E+00;1.74E-07;-1.10E+01;5.33E-11;;;1.742E-07;5.3283E-11
4.00E+04;1.00E+00;1.93E-07;-1.05E+01;5.35E-11;;;1.9339E-07;5.3482E-11
4.05E+04;1.00E+00;2.16E-07;-1.00E+01;5.34E-11;;;2.1583E-07;5.342E-11
4.10E+04;1.00E+00;2.40E-07;-9.50E+00;5.38E-11;;;2.4031E-07;5.3774E-11
4.15E+04;1.00E+00;2.65E-07;-9.00E+00;5.36E-11;;;2.6526E-07;5.3638E-11
4.20E+04;1.00E+00;2.93E-07;-8.50E+00;5.39E-11;;;2.9331E-07;5.3899E-11
4.25E+04;1.00E+00;3.21E-07;-8.00E+00;5.40E-11;;;3.2137E-07;5.3952E-11
4.30E+04;1.00E+00;3.53E-07;-7.50E+00;5.41E-11;;;3.5283E-07;5.4061E-11
4.35E+04;1.00E+00;3.87E-07;-7.00E+00;5.42E-11;;;3.8653E-07;5.419E-11
4.40E+04;1.00E+00;4.24E-07;-6.50E+00;5.42E-11;;;4.2353E-07;5.4201E-11
4.45E+04;1.00E+00;4.61E-07;-6.00E+00;5.42E-11;;;4.6127E-07;5.4234E-11
4.50E+04;1.00E+00;5.03E-07;-5.50E+00;5.45E-11;;;5.0258E-07;5.4505E-11
4.55E+04;1.00E+00;5.46E-07;-5.00E+00;4.44E-11;;;5.4649E-07;4.4385E-11
4.60E+04;1.00E+00;5.93E-07;-4.50E+00;1.89E-10;;;0.000000593;1.8921E-10
4.65E+04;1.00E+00;6.40E-07;-4.00E+00;5.46E-11;;;6.3954E-07;5.4613E-11
4.70E+04;1.00E+00;6.91E-07;-3.50E+00;5.51E-11;;;6.9138E-07;5.5066E-11
4.75E+04;1.00E+00;7.51E-07;-3.00E+00;5.50E-11;;;7.5075E-07;5.4969E-11
4.80E+04;1.00E+00;8.09E-07;-2.50E+00;5.51E-11;;;8.0934E-07;5.5111E-11
4.85E+04;1.00E+00;8.72E-07;-2.00E+00;5.52E-11;;;8.7167E-07;5.5189E-11
4.90E+04;1.00E+00;9.38E-07;-1.50E+00;5.53E-11;;;9.384E-07;5.5324E-11
4.95E+04;1.00E+00;1.00E-06;-1.00E+00;5.54E-11;;;1.0049E-06;5.535E-11
5.00E+04;1.00E+00;1.08E-06;-5.00E-01;6.46E-11;;;1.0774E-06;6.4648E-11
5.05E+04;1.00E+00;1.15E-06;0.00E+00;5.55E-11;;;1.1545E-06;5.5461E-11
5.10E+04;1.00E+00;1.24E-06;5.00E-01;5.58E-11;;;1.2363E-06;5.5814E-11
5.15E+04;1.00E+00;1.32E-06;1.00E+00;5.57E-11;;;1.3168E-06;5.5671E-11
5.20E+04;1.00E+00;1.40E-06;1.50E+00;5.59E-11;;;1.4001E-06;5.5859E-11
5.25E+04;1.00E+00;1.49E-06;2.00E+00;5.58E-11;;;1.4938E-06;5.5791E-11
5.30E+04;1.00E+00;1.59E-06;2.50E+00;5.65E-11;;;1.5861E-06;5.6474E-11
5.35E+04;1.00E+00;1.68E-06;3.00E+00;5.61E-11;;;1.6842E-06;5.6096E-11
5.40E+04;1.00E+00;1.78E-06;3.50E+00;5.62E-11;;;0.000001782;5.619E-11
5.45E+04;1.00E+00;1.89E-06;4.00E+00;5.63E-11;;;0.000001885;5.626E-11
5.50E+04;1.00E+00;1.99E-06;4.50E+00;5.67E-11;;;0.00000199;5.6748E-11
5.55E+04;1.00E+00;2.10E-06;5.00E+00;5.65E-11;;;2.1047E-06;5.6509E-11
5.60E+04;1.00E+00;2.22E-06;5.50E+00;5.65E-11;;;2.2224E-06;5.6506E-11
5.65E+04;1.00E+00;2.34E-06;6.00E+00;5.66E-11;;;2.3407E-06;5.6555E-11
5.70E+04;1.00E+00;2.47E-06;6.50E+00;5.67E-11;;;2.4654E-06;5.669E-11
5.75E+04;1.00E+00;2.59E-06;7.00E+00;5.67E-11;;;2.5926E-06;5.6733E-11
5.80E+04;1.00E+00;2.73E-06;7.50E+00;5.68E-11;;;2.7258E-06;5.6799E-11
5.85E+04;1.00E+00;2.86E-06;8.00E+00;5.69E-11;;;2.8648E-06;5.6943E-11
5.90E+04;1.00E+00;3.00E-06;8.50E+00;5.70E-11;;;2.9976E-06;5.7023E-11
5.95E+04;1.00E+00;3.14E-06;9.00E+00;5.70E-11;;;3.1427E-06;5.6969E-11
6.00E+04;1.00E+00;3.29E-06;9.50E+00;5.70E-11;;;3.2904E-06;5.7E-11
6.05E+04;1.00E+00;3.43E-06;1.00E+01;5.34E-11;;;3.4345E-06;5.3388E-11
6.10E+04;1.00E+00;3.59E-06;1.05E+01;1.93E-10;;;3.5899E-06;1.925E-10
6.15E+04;1.00E+00;3.75E-06;1.10E+01;5.74E-11;;;3.7532E-06;5.7396E-11
6.20E+04;1.00E+00;3.90E-06;1.15E+01;5.74E-11;;;0.000003901;5.7378E-11
6.25E+04;1.00E+00;4.07E-06;1.20E+01;5.74E-11;;;4.0693E-06;5.7372E-11
6.30E+04;1.00E+00;4.24E-06;1.25E+01;5.75E-11;;;4.2407E-06;5.7528E-11
6.35E+04;1.00E+00;4.41E-06;1.30E+01;5.76E-11;;;4.4076E-06;5.761E-11
6.40E+04;1.00E+00;4.59E-06;1.35E+01;5.77E-11;;;4.5882E-06;5.7703E-11
6.45E+04;1.00E+00;4.77E-06;1.40E+01;5.78E-11;;;4.7689E-06;5.7825E-11
6.50E+04;1.00E+00;4.95E-06;1.45E+01;5.79E-11;;;4.9528E-06;5.7903E-11
6.55E+04;1.00E+00;5.14E-06;1.50E+01;5.81E-11;;;5.1363E-06;5.8054E-11
6.60E+04;1.00E+00;5.34E-06;1.55E+01;5.79E-11;;;5.3392E-06;5.7894E-11
6.65E+04;1.00E+00;5.52E-06;1.60E+01;5.81E-11;;;5.5239E-06;5.8137E-11
6.70E+04;1.00E+00;5.72E-06;1.65E+01;5.82E-11;;;5.7184E-06;5.8198E-11
6.75E+04;1.00E+00;5.92E-06;1.70E+01;5.82E-11;;;5.9213E-06;5.8165E-11
6.80E+04;1.00E+00;6.12E-06;1.75E+01;5.83E-11;;;6.1218E-06;5.8284E-11
6.85E+04;1.00E+00;6.34E-06;1.80E+01;5.82E-11;;;0.000006335;5.8244E-11
6.90E+04;1.00E+00;6.54E-06;1.85E+01;5.85E-11;;;6.5438E-06;5.8458E-11
6.95E+04;1.00E+00;6.75E-06;1.90E+01;5.83E-11;;;6.7549E-06;5.8318E-11
7.00E+04;1.00E+00;6.96E-06;1.95E+01;5.86E-11;;;6.9639E-06;5.8588E-11
7.05E+04;1.00E+00;7.18E-06;2.00E+01;5.87E-11;;;7.1824E-06;5.8684E-11
7.10E+04;1.00E+00;7.40E-06;2.05E+01;6.03E-11;;;7.4038E-06;6.0331E-11
7.15E+04;1.00E+00;7.63E-06;2.10E+01;5.89E-11;;;7.6303E-06;5.8941E-11
7.20E+04;1.00E+00;7.86E-06;2.15E+01;5.87E-11;;;7.8648E-06;5.8745E-11
7.25E+04;1.00E+00;8.09E-06;2.20E+01;5.95E-11;;;8.0928E-06;5.9515E-11
7.30E+04;1.00E+00;8.33E-06;2.25E+01;5.89E-11;;;8.3316E-06;5.8887E-11
7.35E+04;1.00E+00;8.57E-06;2.30E+01;5.90E-11;;;8.5667E-06;5.8963E-11
7.40E+04;1.00E+00;8.81E-06;2.35E+01;5.92E-11;;;8.8082E-06;5.9217E-11
7.45E+04;1.00E+00;9.06E-06;2.40E+01;5.91E-11;;;0.000009058;5.9115E-11
7.50E+04;1.00E+00;9.29E-06;2.45E+01;5.92E-11;;;9.2908E-06;5.9222E-11
7.55E+04;1.00E+00;9.54E-06;2.50E+01;5.86E-11;;;9.5356E-06;5.8578E-11
7.60E+04;1.00E+00;9.80E-06;2.55E+01;8.03E-11;;;9.7954E-06;8.0288E-11
7.65E+04;1.00E+00;1.00E-05;2.60E+01;8.06E-11;;;0.000010047;8.0596E-11
7.70E+04;1.00E+00;1.03E-05;2.65E+01;6.84E-11;;;0.000010287;6.8444E-11
7.75E+04;1.00E+00;1.05E-05;2.70E+01;5.96E-11;;;0.000010537;5.9645E-11
7.80E+04;1.00E+00;1.08E-05;2.75E+01;5.99E-11;;;0.000010799;5.9854E-11
7.85E+04;1.00E+00;1.11E-05;2.80E+01;5.99E-11;;;0.000011066;5.9899E-11
7.90E+04;1.00E+00;1.13E-05;2.85E+01;6.02E-11;;;0.000011333;6.0229E-11
7.95E+04;1.00E+00;1.16E-05;2.90E+01;6.02E-11;;;0.000011591;6.0198E-11
8.00E+04;1.00E+00;1.19E-05;2.95E+01;6.00E-11;;;0.000011854;5.9963E-11
8.05E+04;1.00E+00;1.21E-05;3.00E+01;6.01E-11;;;0.000012118;6.0118E-11
8.10E+04;1.00E+00;1.24E-05;3.05E+01;6.02E-11;;;0.000012387;6.017E-11
8.15E+04;1.00E+00;1.26E-05;3.10E+01;6.01E-11;;;0.000012647;6.0086E-11
8.20E+04;1.00E+00;1.29E-05;3.15E+01;6.03E-11;;;0.000012919;6.0322E-11
8.25E+04;1.00E+00;1.32E-05;3.20E+01;6.08E-11;;;0.000013188;6.0785E-11
8.30E+04;1.00E+00;1.35E-05;3.25E+01;6.06E-11;;;0.000013456;6.0643E-11
8.35E+04;1.00E+00;1.37E-05;3.30E+01;6.07E-11;;;0.00001372;6.0691E-11
8.40E+04;1.00E+00;1.40E-05;3.35E+01;6.08E-11;;;0.000014009;6.0779E-11
8.45E+04;1.00E+00;1.43E-05;3.40E+01;6.09E-11;;;0.00001428;6.0946E-11
8.50E+04;1.00E+00;1.46E-05;3.45E+01;6.11E-11;;;0.00001456;6.1147E-11
8.55E+04;1.00E+00;1.48E-05;3.50E+01;6.12E-11;;;0.000014837;6.1209E-11
8.60E+04;1.00E+00;1.51E-05;3.55E+01;6.12E-11;;;0.000015127;6.1245E-11
8.65E+04;1.00E+00;1.54E-05;3.60E+01;6.15E-11;;;0.000015389;6.148E-11
8.70E+04;1.00E+00;1.57E-05;3.65E+01;6.15E-11;;;0.000015674;6.1482E-11
8.75E+04;1.00E+00;1.59E-05;3.70E+01;6.17E-11;;;0.00001594;6.169E-11
8.80E+04;1.00E+00;1.62E-05;3.75E+01;6.19E-11;;;0.000016225;6.1879E-11
8.85E+04;1.00E+00;1.65E-05;3.80E+01;6.26E-11;;;0.000016499;6.2639E-11
8.90E+04;1.00E+00;1.68E-05;3.85E+01;6.27E-11;;;0.000016783;6.2718E-11
8.95E+04;1.00E+00;1.71E-05;3.90E+01;6.36E-11;;;0.000017082;6.3578E-11
9.00E+04;1.00E+00;1.74E-05;3.95E+01;6.48E-11;;;0.000017367;6.4765E-11
9.05E+04;1.00E+00;1.77E-05;4.00E+01;6.51E-11;;;0.00001766;6.5144E-11
9.10E+04;1.00E+00;1.79E-05;4.05E+01;5.51E-11;;;0.00001793;5.5146E-11
9.15E+04;1.00E+00;1.82E-05;4.10E+01;2.07E-10;;;0.000018216;2.0667E-10
9.20E+04;1.00E+00;1.85E-05;4.15E+01;6.60E-11;;;0.000018515;6.5968E-11
9.25E+04;1.00E+00;1.88E-05;4.20E+01;6.65E-11;;;0.000018804;6.6475E-11
9.30E+04;1.00E+00;1.91E-05;4.25E+01;6.58E-11;;;0.000019083;6.58E-11
9.35E+04;1.00E+00;1.94E-05;4.30E+01;6.57E-11;;;0.000019374;6.5696E-11
9.40E+04;1.00E+00;1.97E-05;4.35E+01;6.52E-11;;;0.000019677;6.5187E-11
9.45E+04;1.00E+00;2.00E-05;4.40E+01;6.47E-11;;;0.000019968;6.4692E-11
9.50E+04;1.00E+00;2.02E-05;4.45E+01;6.49E-11;;;0.000020247;6.4873E-11
9.55E+04;1.00E+00;2.05E-05;4.50E+01;6.49E-11;;;0.000020539;6.4858E-11
9.60E+04;1.00E+00;2.08E-05;4.55E+01;6.48E-11;;;0.000020825;6.4766E-11
9.65E+04;1.00E+00;2.11E-05;4.60E+01;6.57E-11;;;0.000021125;6.5741E-11
9.70E+04;1.00E+00;2.14E-05;4.65E+01;6.62E-11;;;0.000021402;6.6163E-11
9.75E+04;1.00E+00;2.17E-05;4.70E+01;6.58E-11;;;0.000021695;6.5827E-11
9.80E+04;1.00E+00;2.20E-05;4.75E+01;6.60E-11;;;0.000021987;6.6038E-11
9.85E+04;1.00E+00;2.23E-05;4.80E+01;6.69E-11;;;0.000022266;6.6889E-11
9.90E+04;1.00E+00;2.26E-05;4.85E+01;6.78E-11;;;0.000022571;6.7842E-11
9.95E+04;1.00E+00;2.29E-05;4.90E+01;6.89E-11;;;0.000022857;6.8853E-11
1.00E+05;1.00E+00;2.32E-05;4.95E+01;6.94E-11;;;0.000023155;6.9364E-11
1.01E+05;1.00E+00;2.34E-05;5.00E+01;7.05E-11;;;0.000023435;7.0467E-11
1.01E+05;1.00E+00;2.37E-05;5.05E+01;7.05E-11;;;0.000023732;7.0536E-11
1.02E+05;1.00E+00;2.34E-05;5.00E+01;-8.14E-11;;;0.000023415;8.1352E-11
1.02E+05;1.00E+00;2.31E-05;4.95E+01;-8.24E-11;;;0.000023085;8.24E-11
1.03E+05;1.00E+00;2.28E-05;4.90E+01;-8.30E-11;;;0.00002279;8.2976E-11
1.03E+05;1.00E+00;2.25E-05;4.85E+01;-8.29E-11;;;0.000022485;8.2882E-11
1.04E+05;1.00E+00;2.22E-05;4.80E+01;-8.31E-11;;;0.000022179;8.314E-11
1.04E+05;1.00E+00;2.19E-05;4.75E+01;-8.29E-11;;;0.000021859;8.2902E-11
1.05E+05;1.00E+00;2.16E-05;4.70E+01;-8.31E-11;;;0.000021562;8.3073E-11
1.05E+05;1.00E+00;2.13E-05;4.65E+01;-8.31E-11;;;0.000021258;8.3071E-11
1.06E+05;1.00E+00;2.10E-05;4.60E+01;-8.32E-11;;;0.000020952;8.3185E-11
1.06E+05;1.00E+00;2.07E-05;4.55E+01;-7.44E-11;;;0.000020658;7.4357E-11
1.07E+05;1.00E+00;2.04E-05;4.50E+01;-2.26E-10;;;0.000020359;2.2569E-10
1.07E+05;1.00E+00;2.01E-05;4.45E+01;-8.45E-11;;;0.000020061;8.4454E-11
1.08E+05;1.00E+00;1.98E-05;4.40E+01;-8.54E-11;;;0.000019763;8.5362E-11
1.08E+05;1.00E+00;1.95E-05;4.35E+01;-8.54E-11;;;0.000019465;8.5409E-11
1.09E+05;1.00E+00;1.92E-05;4.30E+01;-8.61E-11;;;0.000019165;8.6113E-11
1.09E+05;1.00E+00;1.89E-05;4.25E+01;-8.66E-11;;;0.000018874;8.6594E-11
1.10E+05;1.00E+00;1.86E-05;4.20E+01;-8.73E-11;;;0.000018577;8.7304E-11
1.10E+05;1.00E+00;1.83E-05;4.15E+01;-8.79E-11;;;0.000018283;8.7857E-11
1.11E+05;1.00E+00;1.80E-05;4.10E+01;-8.87E-11;;;0.000017979;8.8695E-11
1.11E+05;1.00E+00;1.77E-05;4.05E+01;-8.87E-11;;;0.000017675;8.8746E-11
1.12E+05;1.00E+00;1.74E-05;4.00E+01;-8.95E-11;;;0.000017368;8.9484E-11
1.12E+05;1.00E+00;1.71E-05;3.95E+01;-8.90E-11;;;0.000017077;8.8996E-11
1.13E+05;1.00E+00;1.68E-05;3.90E+01;-8.83E-11;;;0.000016794;8.833E-11
1.13E+05;1.00E+00;1.65E-05;3.85E+01;-8.77E-11;;;0.000016502;8.7746E-11
1.14E+05;1.00E+00;1.62E-05;3.80E+01;-8.77E-11;;;0.000016223;8.7693E-11
1.14E+05;1.00E+00;1.59E-05;3.75E+01;-8.76E-11;;;0.000015933;8.7569E-11
1.15E+05;1.00E+00;1.56E-05;3.70E+01;-8.76E-11;;;0.000015647;8.7641E-11
1.15E+05;1.00E+00;1.54E-05;3.65E+01;-8.77E-11;;;0.000015359;8.7661E-11
