File Name: 10_Sample14_device3_trfSat_dark_beginl.dat;;;;;;;;
File Data: 22/11/2023;13:15:21;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;2.10E-10;-5.00E+01;-1.19E-10;;;2.1039E-10;1.1892E-10
1.00E+03;1.00E+00;1.94E-10;-4.95E+01;-3.19E-11;;;1.944E-10;3.1898E-11
1.50E+03;1.00E+00;1.75E-10;-4.90E+01;2.41E-11;;;1.7453E-10;2.4115E-11
2.00E+03;1.00E+00;1.70E-10;-4.85E+01;2.76E-11;;;1.6951E-10;2.7573E-11
2.50E+03;1.00E+00;1.64E-10;-4.80E+01;3.03E-11;;;1.644E-10;3.0316E-11
3.00E+03;1.00E+00;1.60E-10;-4.75E+01;3.24E-11;;;1.5977E-10;3.2376E-11
3.50E+03;1.00E+00;1.58E-10;-4.70E+01;3.44E-11;;;1.5766E-10;3.436E-11
4.00E+03;1.00E+00;1.54E-10;-4.65E+01;3.53E-11;;;1.5414E-10;3.5297E-11
4.50E+03;1.00E+00;1.51E-10;-4.60E+01;3.64E-11;;;1.5134E-10;3.6353E-11
5.00E+03;1.00E+00;1.50E-10;-4.55E+01;3.74E-11;;;1.4981E-10;3.7419E-11
5.50E+03;1.00E+00;1.48E-10;-4.50E+01;3.82E-11;;;1.483E-10;3.8181E-11
6.00E+03;1.00E+00;1.45E-10;-4.45E+01;3.92E-11;;;1.4493E-10;3.9157E-11
6.50E+03;1.00E+00;1.44E-10;-4.40E+01;3.97E-11;;;1.4391E-10;3.9725E-11
7.00E+03;1.00E+00;1.42E-10;-4.35E+01;4.03E-11;;;1.4233E-10;4.0256E-11
7.50E+03;1.00E+00;1.40E-10;-4.30E+01;4.11E-11;;;1.404E-10;4.1085E-11
8.00E+03;1.00E+00;1.38E-10;-4.25E+01;4.17E-11;;;1.3793E-10;4.172E-11
8.50E+03;1.00E+00;1.36E-10;-4.20E+01;4.23E-11;;;1.3646E-10;4.2262E-11
9.00E+03;1.00E+00;1.35E-10;-4.15E+01;4.28E-11;;;1.3541E-10;4.2753E-11
9.50E+03;1.00E+00;1.34E-10;-4.10E+01;4.33E-11;;;1.335E-10;4.3343E-11
1.00E+04;1.00E+00;1.32E-10;-4.05E+01;4.34E-11;;;1.3226E-10;4.344E-11
1.05E+04;1.00E+00;1.32E-10;-4.00E+01;4.40E-11;;;1.3165E-10;4.4031E-11
1.10E+04;1.00E+00;1.31E-10;-3.95E+01;4.45E-11;;;1.3105E-10;4.4534E-11
1.15E+04;1.00E+00;1.30E-10;-3.90E+01;4.47E-11;;;1.3001E-10;4.4667E-11
1.20E+04;1.00E+00;1.28E-10;-3.85E+01;4.53E-11;;;1.2758E-10;4.5345E-11
1.25E+04;1.00E+00;1.27E-10;-3.80E+01;4.50E-11;;;1.2695E-10;4.4968E-11
1.30E+04;1.00E+00;1.26E-10;-3.75E+01;4.56E-11;;;1.2566E-10;4.5623E-11
1.35E+04;1.00E+00;1.25E-10;-3.70E+01;4.60E-11;;;1.2519E-10;4.5996E-11
1.40E+04;1.00E+00;1.24E-10;-3.65E+01;4.62E-11;;;1.2408E-10;4.621E-11
1.45E+04;1.00E+00;1.22E-10;-3.60E+01;4.62E-11;;;1.2247E-10;4.6182E-11
1.50E+04;1.00E+00;1.27E-10;-3.55E+01;4.25E-11;;;1.2722E-10;4.2502E-11
1.55E+04;1.00E+00;1.03E-10;-3.50E+01;1.83E-10;;;1.0266E-10;1.8302E-10
1.60E+04;1.00E+00;1.19E-10;-3.45E+01;4.68E-11;;;1.1938E-10;4.6791E-11
1.65E+04;1.00E+00;1.19E-10;-3.40E+01;4.70E-11;;;1.1906E-10;4.7016E-11
1.70E+04;1.00E+00;1.18E-10;-3.35E+01;4.71E-11;;;1.1839E-10;4.7138E-11
1.75E+04;1.00E+00;1.18E-10;-3.30E+01;4.77E-11;;;1.1793E-10;4.7727E-11
1.80E+04;1.00E+00;1.18E-10;-3.25E+01;4.80E-11;;;1.175E-10;4.7987E-11
1.85E+04;1.00E+00;1.17E-10;-3.20E+01;4.82E-11;;;1.1704E-10;4.817E-11
1.90E+04;1.00E+00;1.16E-10;-3.15E+01;4.80E-11;;;1.1566E-10;4.8016E-11
1.95E+04;1.00E+00;1.14E-10;-3.10E+01;4.85E-11;;;1.1396E-10;4.8462E-11
2.00E+04;1.00E+00;1.13E-10;-3.05E+01;4.85E-11;;;1.1316E-10;4.8523E-11
2.05E+04;1.00E+00;1.12E-10;-3.00E+01;4.87E-11;;;1.1244E-10;4.8687E-11
2.10E+04;1.00E+00;1.12E-10;-2.95E+01;4.88E-11;;;1.1235E-10;4.877E-11
2.15E+04;1.00E+00;1.12E-10;-2.90E+01;4.94E-11;;;1.1153E-10;4.9398E-11
2.20E+04;1.00E+00;1.11E-10;-2.85E+01;4.94E-11;;;1.1125E-10;4.9387E-11
2.25E+04;1.00E+00;1.10E-10;-2.80E+01;4.98E-11;;;1.0985E-10;4.9783E-11
2.30E+04;1.00E+00;1.09E-10;-2.75E+01;5.00E-11;;;1.0948E-10;5.0001E-11
2.35E+04;1.00E+00;1.09E-10;-2.70E+01;4.99E-11;;;1.0851E-10;4.9918E-11
2.40E+04;1.00E+00;1.09E-10;-2.65E+01;4.99E-11;;;1.0859E-10;4.985E-11
2.45E+04;1.00E+00;1.08E-10;-2.60E+01;5.02E-11;;;1.0763E-10;5.0204E-11
2.50E+04;1.00E+00;1.07E-10;-2.55E+01;5.04E-11;;;1.0664E-10;5.0366E-11
2.55E+04;1.00E+00;1.06E-10;-2.50E+01;5.07E-11;;;1.0601E-10;5.065E-11
2.60E+04;1.00E+00;1.05E-10;-2.45E+01;5.10E-11;;;1.0509E-10;5.0986E-11
2.65E+04;1.00E+00;1.06E-10;-2.40E+01;5.07E-11;;;1.057E-10;5.0721E-11
2.70E+04;1.00E+00;1.05E-10;-2.35E+01;5.08E-11;;;1.0521E-10;5.0772E-11
2.75E+04;1.00E+00;1.04E-10;-2.30E+01;5.13E-11;;;1.0437E-10;5.1348E-11
2.80E+04;1.00E+00;1.04E-10;-2.25E+01;5.12E-11;;;1.0371E-10;5.1173E-11
2.85E+04;1.00E+00;1.04E-10;-2.20E+01;5.10E-11;;;1.0369E-10;5.1006E-11
2.90E+04;1.00E+00;1.03E-10;-2.15E+01;5.15E-11;;;1.0307E-10;5.1458E-11
2.95E+04;1.00E+00;1.02E-10;-2.10E+01;5.14E-11;;;1.0233E-10;5.1439E-11
3.00E+04;1.00E+00;1.08E-10;-2.05E+01;5.10E-11;;;1.0765E-10;5.1038E-11
3.05E+04;1.00E+00;1.00E-10;-2.00E+01;7.26E-11;;;1.0016E-10;7.2588E-11
3.10E+04;1.00E+00;9.34E-11;-1.95E+01;7.33E-11;;;9.3367E-11;7.3348E-11
3.15E+04;1.00E+00;1.01E-10;-1.90E+01;5.19E-11;;;1.006E-10;5.1901E-11
3.20E+04;1.00E+00;1.01E-10;-1.85E+01;5.20E-11;;;1.0133E-10;5.1955E-11
3.25E+04;1.00E+00;1.01E-10;-1.80E+01;5.22E-11;;;1.0146E-10;5.2247E-11
3.30E+04;1.00E+00;1.01E-10;-1.75E+01;5.23E-11;;;1.0149E-10;5.2254E-11
3.35E+04;1.00E+00;1.02E-10;-1.70E+01;5.24E-11;;;1.0231E-10;5.2364E-11
3.40E+04;1.00E+00;1.04E-10;-1.65E+01;5.24E-11;;;1.0425E-10;5.2419E-11
3.45E+04;1.00E+00;1.08E-10;-1.60E+01;5.26E-11;;;1.0795E-10;5.2614E-11
3.50E+04;1.00E+00;1.13E-10;-1.55E+01;5.26E-11;;;1.1342E-10;5.2607E-11
3.55E+04;1.00E+00;1.20E-10;-1.50E+01;5.26E-11;;;1.1997E-10;5.2632E-11
3.60E+04;1.00E+00;1.32E-10;-1.45E+01;5.29E-11;;;1.3162E-10;5.2878E-11
3.65E+04;1.00E+00;1.45E-10;-1.40E+01;5.30E-11;;;1.453E-10;5.3019E-11
3.70E+04;1.00E+00;1.62E-10;-1.35E+01;5.30E-11;;;1.6214E-10;5.2965E-11
3.75E+04;1.00E+00;1.89E-10;-1.30E+01;5.32E-11;;;1.887E-10;5.3238E-11
3.80E+04;1.00E+00;2.20E-10;-1.25E+01;5.32E-11;;;2.2014E-10;5.3238E-11
3.85E+04;1.00E+00;2.44E-10;-1.20E+01;5.34E-11;;;2.4367E-10;5.3371E-11
3.90E+04;1.00E+00;2.87E-10;-1.15E+01;5.34E-11;;;2.873E-10;5.3372E-11
3.95E+04;1.00E+00;3.50E-10;-1.10E+01;5.35E-11;;;3.4952E-10;5.3517E-11
4.00E+04;1.00E+00;3.86E-10;-1.05E+01;5.35E-11;;;3.861E-10;5.3533E-11
4.05E+04;1.00E+00;4.43E-10;-1.00E+01;5.38E-11;;;4.426E-10;5.3793E-11
4.10E+04;1.00E+00;5.05E-10;-9.50E+00;5.38E-11;;;5.051E-10;5.3799E-11
4.15E+04;1.00E+00;6.10E-10;-9.00E+00;5.40E-11;;;6.104E-10;5.3958E-11
4.20E+04;1.00E+00;6.96E-10;-8.50E+00;5.39E-11;;;6.9645E-10;5.3885E-11
4.25E+04;1.00E+00;8.41E-10;-8.00E+00;5.40E-11;;;8.4085E-10;5.4039E-11
4.30E+04;1.00E+00;1.04E-09;-7.50E+00;5.42E-11;;;1.0353E-09;5.4151E-11
4.35E+04;1.00E+00;1.18E-09;-7.00E+00;5.45E-11;;;1.1828E-09;5.4541E-11
4.40E+04;1.00E+00;1.47E-09;-6.50E+00;5.43E-11;;;1.4656E-09;5.4269E-11
4.45E+04;1.00E+00;1.71E-09;-6.00E+00;5.43E-11;;;1.71E-09;5.4346E-11
4.50E+04;1.00E+00;2.16E-09;-5.50E+00;5.44E-11;;;2.1573E-09;5.4351E-11
4.55E+04;1.00E+00;2.39E-09;-5.00E+00;4.45E-11;;;2.3919E-09;4.4478E-11
4.60E+04;1.00E+00;2.83E-09;-4.50E+00;1.88E-10;;;2.8324E-09;1.8768E-10
4.65E+04;1.00E+00;2.98E-09;-4.00E+00;5.47E-11;;;2.9824E-09;5.4697E-11
4.70E+04;1.00E+00;3.66E-09;-3.50E+00;5.47E-11;;;3.6583E-09;5.4741E-11
4.75E+04;1.00E+00;4.11E-09;-3.00E+00;5.48E-11;;;4.1134E-09;5.4849E-11
4.80E+04;1.00E+00;4.38E-09;-2.50E+00;5.51E-11;;;4.3765E-09;5.5052E-11
4.85E+04;1.00E+00;5.08E-09;-2.00E+00;5.51E-11;;;5.0847E-09;5.5068E-11
4.90E+04;1.00E+00;5.51E-09;-1.50E+00;5.52E-11;;;5.5063E-09;5.5222E-11
4.95E+04;1.00E+00;6.58E-09;-1.00E+00;5.53E-11;;;6.5759E-09;5.527E-11
5.00E+04;1.00E+00;6.82E-09;-5.00E-01;5.52E-11;;;6.8246E-09;5.5168E-11
5.05E+04;1.00E+00;7.78E-09;0.00E+00;5.55E-11;;;7.7829E-09;5.5461E-11
5.10E+04;1.00E+00;8.66E-09;5.00E-01;5.55E-11;;;8.6553E-09;5.5544E-11
5.15E+04;1.00E+00;9.54E-09;1.00E+00;5.56E-11;;;9.5384E-09;5.5598E-11
5.20E+04;1.00E+00;1.02E-08;1.50E+00;5.56E-11;;;1.016E-08;5.556E-11
5.25E+04;1.00E+00;1.11E-08;2.00E+00;5.57E-11;;;1.113E-08;5.569E-11
5.30E+04;1.00E+00;1.22E-08;2.50E+00;5.63E-11;;;1.2249E-08;5.6297E-11
5.35E+04;1.00E+00;1.38E-08;3.00E+00;5.58E-11;;;1.3817E-08;5.5848E-11
5.40E+04;1.00E+00;1.53E-08;3.50E+00;5.60E-11;;;1.5339E-08;5.5987E-11
5.45E+04;1.00E+00;1.61E-08;4.00E+00;5.61E-11;;;1.6087E-08;5.6076E-11
5.50E+04;1.00E+00;1.82E-08;4.50E+00;5.60E-11;;;1.8224E-08;5.5984E-11
5.55E+04;1.00E+00;1.97E-08;5.00E+00;5.61E-11;;;1.9667E-08;5.6139E-11
5.60E+04;1.00E+00;2.10E-08;5.50E+00;5.61E-11;;;2.1027E-08;5.6093E-11
5.65E+04;1.00E+00;2.36E-08;6.00E+00;5.63E-11;;;2.3633E-08;5.632E-11
5.70E+04;1.00E+00;2.58E-08;6.50E+00;5.63E-11;;;2.5792E-08;5.6304E-11
5.75E+04;1.00E+00;2.78E-08;7.00E+00;5.64E-11;;;2.7781E-08;5.6442E-11
5.80E+04;1.00E+00;2.91E-08;7.50E+00;5.65E-11;;;2.9083E-08;5.6515E-11
5.85E+04;1.00E+00;3.19E-08;8.00E+00;5.66E-11;;;3.1866E-08;5.6583E-11
5.90E+04;1.00E+00;3.35E-08;8.50E+00;5.67E-11;;;3.3501E-08;5.6692E-11
5.95E+04;1.00E+00;3.43E-08;9.00E+00;5.66E-11;;;3.428E-08;5.6642E-11
6.00E+04;1.00E+00;3.62E-08;9.50E+00;5.67E-11;;;3.617E-08;5.6738E-11
6.05E+04;1.00E+00;3.88E-08;1.00E+01;5.20E-11;;;3.8819E-08;5.1953E-11
6.10E+04;1.00E+00;4.14E-08;1.05E+01;2.03E-10;;;4.1447E-08;2.0312E-10
6.15E+04;1.00E+00;4.42E-08;1.10E+01;5.71E-11;;;4.4151E-08;5.7149E-11
6.20E+04;1.00E+00;4.73E-08;1.15E+01;5.70E-11;;;4.7308E-08;5.7011E-11
6.25E+04;1.00E+00;5.13E-08;1.20E+01;5.73E-11;;;5.1298E-08;5.7309E-11
6.30E+04;1.00E+00;5.44E-08;1.25E+01;5.73E-11;;;5.441E-08;5.7297E-11
6.35E+04;1.00E+00;5.74E-08;1.30E+01;5.72E-11;;;5.7364E-08;5.7219E-11
6.40E+04;1.00E+00;6.06E-08;1.35E+01;5.73E-11;;;6.0575E-08;5.7272E-11
6.45E+04;1.00E+00;6.42E-08;1.40E+01;5.75E-11;;;6.4203E-08;5.7541E-11
6.50E+04;1.00E+00;6.81E-08;1.45E+01;5.75E-11;;;6.8054E-08;5.7474E-11
6.55E+04;1.00E+00;7.30E-08;1.50E+01;5.75E-11;;;7.2997E-08;5.7521E-11
6.60E+04;1.00E+00;7.55E-08;1.55E+01;5.76E-11;;;7.5544E-08;5.7619E-11
6.65E+04;1.00E+00;8.00E-08;1.60E+01;5.76E-11;;;8.0005E-08;5.7608E-11
6.70E+04;1.00E+00;8.64E-08;1.65E+01;5.77E-11;;;8.6425E-08;5.7679E-11
6.75E+04;1.00E+00;9.26E-08;1.70E+01;5.80E-11;;;9.2583E-08;5.8014E-11
6.80E+04;1.00E+00;9.82E-08;1.75E+01;5.79E-11;;;9.8176E-08;5.7877E-11
6.85E+04;1.00E+00;1.05E-07;1.80E+01;2.85E-10;;;1.051E-07;2.8472E-10
6.90E+04;1.00E+00;1.10E-07;1.85E+01;6.69E-11;;;1.1038E-07;6.6943E-11
6.95E+04;1.00E+00;1.17E-07;1.90E+01;5.81E-11;;;1.1728E-07;5.8086E-11
7.00E+04;1.00E+00;1.25E-07;1.95E+01;5.80E-11;;;1.2495E-07;5.7973E-11
7.05E+04;1.00E+00;1.30E-07;2.00E+01;5.83E-11;;;1.3036E-07;5.8252E-11
7.10E+04;1.00E+00;1.39E-07;2.05E+01;5.99E-11;;;1.3949E-07;5.9918E-11
