File Name: 02_Sample14_device3_Itsweep_150kV_100uA_VDrain1V_VGateUpTo30V.dat
File Data: 10/11/2023	15:27:35
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.0226E-11	-5.0000E+1	-1.9282E-8
1.0000E+3	1.0000E+0	4.0281E-12	-5.0000E+1	-1.7841E-8
1.5000E+3	1.0000E+0	3.1889E-12	-5.0000E+1	-1.7410E-8
2.0000E+3	1.0000E+0	2.6047E-12	-5.0000E+1	-1.7085E-8
2.5000E+3	1.0000E+0	2.4223E-12	-5.0000E+1	-1.6562E-8
3.0000E+3	1.0000E+0	2.0623E-12	-5.0000E+1	-1.6367E-8
3.5000E+3	1.0000E+0	1.9562E-12	-5.0000E+1	-1.6044E-8
4.0000E+3	1.0000E+0	1.7476E-12	-5.0000E+1	-1.5917E-8
4.5000E+3	1.0000E+0	2.2431E-10	-5.0000E+1	-2.0934E-8
5.0000E+3	1.0000E+0	2.2276E-10	-5.0000E+1	-2.0521E-8
5.5000E+3	1.0000E+0	2.2303E-10	-5.0000E+1	-2.0348E-8
6.0000E+3	1.0000E+0	2.2289E-10	-5.0000E+1	-2.0261E-8
6.5000E+3	1.0000E+0	2.2325E-10	-5.0000E+1	-2.0036E-8
7.0000E+3	1.0000E+0	2.2097E-10	-5.0000E+1	-1.9833E-8
7.5000E+3	1.0000E+0	2.2266E-10	-5.0000E+1	-1.9831E-8
8.0000E+3	1.0000E+0	2.2339E-10	-5.0000E+1	-1.9662E-8
8.5000E+3	1.0000E+0	2.2351E-10	-5.0000E+1	-1.9518E-8
9.0000E+3	1.0000E+0	2.2385E-10	-5.0000E+1	-1.9422E-8
9.5000E+3	1.0000E+0	2.2345E-10	-5.0000E+1	-1.9659E-8
1.0000E+4	1.0000E+0	2.2360E-10	-5.0000E+1	-1.9971E-8
1.0500E+4	1.0000E+0	2.2366E-10	-5.0000E+1	-1.9883E-8
1.1000E+4	1.0000E+0	2.2374E-10	-5.0000E+1	-1.9843E-8
1.1500E+4	1.0000E+0	2.2384E-10	-5.0000E+1	-1.9532E-8
1.2000E+4	1.0000E+0	2.2374E-10	-5.0000E+1	-1.9328E-8
1.2500E+4	1.0000E+0	2.2298E-10	-5.0000E+1	-1.9239E-8
1.3000E+4	1.0000E+0	2.1700E-10	-5.0000E+1	-1.9171E-8
1.3500E+4	1.0000E+0	2.1577E-10	-5.0000E+1	-1.9134E-8
1.4000E+4	1.0000E+0	2.1279E-10	-5.0000E+1	-1.8661E-8
1.4500E+4	1.0000E+0	2.9248E-11	-5.0000E+1	-1.5113E-8
1.5000E+4	1.0000E+0	2.8169E-12	-5.0000E+1	-1.3755E-8
1.5500E+4	1.0000E+0	9.0003E-13	-5.0000E+1	-1.3541E-8
1.6000E+4	1.0000E+0	4.1246E-13	-5.0000E+1	-1.3433E-8
1.6500E+4	1.0000E+0	6.0916E-13	-5.0000E+1	-1.3332E-8
1.7000E+4	1.0000E+0	5.6028E-13	-5.0000E+1	-1.3514E-8
1.7500E+4	1.0000E+0	5.3287E-13	-5.0000E+1	-1.4219E-8
1.8000E+4	1.0000E+0	5.3883E-13	-5.0000E+1	-1.4092E-8
1.8500E+4	1.0000E+0	3.9101E-13	-5.0000E+1	-1.4158E-8
1.9000E+4	1.0000E+0	2.6464E-13	-5.0000E+1	-1.4213E-8
1.9500E+4	1.0000E+0	2.0385E-13	-5.0000E+1	-1.4166E-8
2.0000E+4	1.0000E+0	4.3273E-13	-5.0000E+1	-1.4014E-8
2.0500E+4	1.0000E+0	3.1352E-13	-5.0000E+1	-1.4053E-8
2.1000E+4	1.0000E+0	2.7180E-13	-5.0000E+1	-1.4092E-8
2.1500E+4	1.0000E+0	1.8597E-13	-5.0000E+1	-1.4066E-8
2.2000E+4	1.0000E+0	2.9564E-13	-5.0000E+1	-1.4017E-8
2.2500E+4	1.0000E+0	2.3484E-13	-5.0000E+1	-1.3851E-8
2.3000E+4	1.0000E+0	3.3498E-13	-5.0000E+1	-1.3759E-8
2.3500E+4	1.0000E+0	3.0756E-13	-5.0000E+1	-1.3760E-8
2.4000E+4	1.0000E+0	2.4676E-13	-5.0000E+1	-1.3726E-8
2.4500E+4	1.0000E+0	2.0083E-10	-5.0000E+1	-1.8592E-8
2.5000E+4	1.0000E+0	2.1364E-10	-5.0000E+1	-1.8707E-8
2.5500E+4	1.0000E+0	2.1116E-10	-5.0000E+1	-1.8828E-8
2.6000E+4	1.0000E+0	2.1336E-10	-5.0000E+1	-1.8725E-8
2.6500E+4	1.0000E+0	2.1748E-10	-5.0000E+1	-1.8575E-8
2.7000E+4	1.0000E+0	2.1902E-10	-5.0000E+1	-1.8557E-8
2.7500E+4	1.0000E+0	2.0577E-10	-5.0000E+1	-1.8373E-8
2.8000E+4	1.0000E+0	2.0892E-10	-5.0000E+1	-1.8296E-8
2.8500E+4	1.0000E+0	2.0467E-10	-5.0000E+1	-1.8268E-8
2.9000E+4	1.0000E+0	2.1480E-10	-5.0000E+1	-1.8178E-8
2.9500E+4	1.0000E+0	2.0285E-10	-5.0000E+1	-1.8338E-8
3.0000E+4	1.0000E+0	2.0701E-10	-5.0000E+1	-1.8177E-8
3.0500E+4	1.0000E+0	2.1993E-10	-5.0000E+1	-1.8175E-8
3.1000E+4	1.0000E+0	2.0262E-10	-5.0000E+1	-1.8204E-8
3.1500E+4	1.0000E+0	2.0817E-10	-5.0000E+1	-1.8197E-8
3.2000E+4	1.0000E+0	2.1210E-10	-5.0000E+1	-1.8230E-8
3.2500E+4	1.0000E+0	2.0667E-10	-5.0000E+1	-1.8223E-8
3.3000E+4	1.0000E+0	2.0182E-10	-5.0000E+1	-1.8164E-8
3.3500E+4	1.0000E+0	2.0217E-10	-5.0000E+1	-1.8212E-8
3.4000E+4	1.0000E+0	2.1631E-10	-5.0000E+1	-1.8269E-8
3.4500E+4	1.0000E+0	3.3414E-11	-5.0000E+1	-1.5627E-8
3.5000E+4	1.0000E+0	2.6822E-12	-5.0000E+1	-1.3111E-8
3.5500E+4	1.0000E+0	4.6372E-13	-5.0000E+1	-1.3208E-8
3.6000E+4	1.0000E+0	1.5020E-13	-5.0000E+1	-1.3079E-8
3.6500E+4	1.0000E+0	-3.8147E-14	-5.0000E+1	-1.3195E-8
3.7000E+4	1.0000E+0	-1.1563E-13	-5.0000E+1	-1.3229E-8
3.7500E+4	1.0000E+0	-1.1921E-13	-5.0000E+1	-1.3079E-8
3.8000E+4	1.0000E+0	2.0266E-14	-5.0000E+1	-1.2962E-8
3.8500E+4	1.0000E+0	-1.7881E-13	-5.0000E+1	-1.2943E-8
3.9000E+4	1.0000E+0	-2.3842E-14	-5.0000E+1	-1.3181E-8
3.9500E+4	1.0000E+0	7.0334E-14	-5.0000E+1	-1.3248E-8
4.0000E+4	1.0000E+0	-1.7881E-13	-5.0000E+1	-1.3278E-8
4.0500E+4	1.0000E+0	-1.2159E-13	-5.0000E+1	-1.3063E-8
4.1000E+4	1.0000E+0	-4.7684E-15	-5.0000E+1	-1.3342E-8
4.1500E+4	1.0000E+0	2.8610E-14	-5.0000E+1	-1.3426E-8
4.2000E+4	1.0000E+0	-5.9605E-15	-5.0000E+1	-1.3403E-8
4.2500E+4	1.0000E+0	-1.5616E-13	-5.0000E+1	-1.3389E-8
4.3000E+4	1.0000E+0	9.5367E-15	-5.0000E+1	-1.3568E-8
4.3500E+4	1.0000E+0	5.9605E-15	-5.0000E+1	-1.3712E-8
4.4000E+4	1.0000E+0	1.5497E-14	-5.0000E+1	-1.3494E-8
4.4500E+4	1.0000E+0	1.9394E-10	-5.0000E+1	-1.7378E-8
4.5000E+4	1.0000E+0	2.0274E-10	-5.0000E+1	-1.8260E-8
4.5500E+4	1.0000E+0	2.0206E-10	-5.0000E+1	-1.8171E-8
4.6000E+4	1.0000E+0	2.0231E-10	-5.0000E+1	-1.8065E-8
4.6500E+4	1.0000E+0	2.0220E-10	-5.0000E+1	-1.8322E-8
4.7000E+4	1.0000E+0	2.0230E-10	-5.0000E+1	-1.8237E-8
4.7500E+4	1.0000E+0	2.0303E-10	-5.0000E+1	-1.8182E-8
4.8000E+4	1.0000E+0	2.0580E-10	-5.0000E+1	-1.8130E-8
4.8500E+4	1.0000E+0	2.1409E-10	-5.0000E+1	-1.8222E-8
4.9000E+4	1.0000E+0	2.1281E-10	-5.0000E+1	-1.8146E-8
4.9500E+4	1.0000E+0	2.0711E-10	-5.0000E+1	-1.8209E-8
5.0000E+4	1.0000E+0	2.0571E-10	-5.0000E+1	-1.8006E-8
5.0500E+4	1.0000E+0	2.0731E-10	-5.0000E+1	-1.8078E-8
5.1000E+4	1.0000E+0	2.1554E-10	-5.0000E+1	-1.8151E-8
5.1500E+4	1.0000E+0	2.0781E-10	-5.0000E+1	-1.8116E-8
5.2000E+4	1.0000E+0	2.0962E-10	-5.0000E+1	-1.7979E-8
5.2500E+4	1.0000E+0	2.1374E-10	-5.0000E+1	-1.7973E-8
5.3000E+4	1.0000E+0	2.1186E-10	-5.0000E+1	-1.8042E-8
5.3500E+4	1.0000E+0	2.0811E-10	-5.0000E+1	-1.8174E-8
5.4000E+4	1.0000E+0	2.1111E-10	-5.0000E+1	-1.8087E-8
5.4500E+4	1.0000E+0	3.9709E-11	-5.0000E+1	-1.6370E-8
5.5000E+4	1.0000E+0	3.0434E-12	-5.0000E+1	-1.3176E-8
5.5500E+4	1.0000E+0	4.0293E-13	-5.0000E+1	-1.3485E-8
5.6000E+4	1.0000E+0	1.5140E-13	-5.0000E+1	-1.3495E-8
5.6500E+4	1.0000E+0	-2.6226E-14	-5.0000E+1	-1.3508E-8
5.7000E+4	1.0000E+0	2.9802E-14	-5.0000E+1	-1.3559E-8
5.7500E+4	1.0000E+0	-1.4305E-13	-5.0000E+1	-1.3369E-8
5.8000E+4	1.0000E+0	-2.0146E-13	-5.0000E+1	-1.3453E-8
5.8500E+4	1.0000E+0	-1.7643E-13	-5.0000E+1	-1.3348E-8
5.9000E+4	1.0000E+0	-2.1935E-13	-5.0000E+1	-1.3331E-8
5.9500E+4	1.0000E+0	-2.5868E-13	-5.0000E+1	-1.3418E-8
6.0000E+4	1.0000E+0	-4.8876E-14	-5.0000E+1	-1.3368E-8
6.0500E+4	1.0000E+0	-5.3644E-14	-5.0000E+1	-1.3354E-8
6.1000E+4	1.0000E+0	-6.9141E-14	-5.0000E+1	-1.3273E-8
6.1500E+4	1.0000E+0	-3.3259E-13	-5.0000E+1	-1.3231E-8
6.2000E+4	1.0000E+0	-2.0981E-13	-5.0000E+1	-1.3108E-8
6.2500E+4	1.0000E+0	-2.8014E-13	-5.0000E+1	-1.3224E-8
6.3000E+4	1.0000E+0	-1.4305E-13	-5.0000E+1	-1.3248E-8
6.3500E+4	1.0000E+0	-3.2187E-13	-5.0000E+1	-1.3144E-8
6.4000E+4	1.0000E+0	-3.3140E-13	-5.0000E+1	-1.3355E-8
6.4500E+4	1.0000E+0	1.9436E-10	-5.0000E+1	-1.6553E-8
6.5000E+4	1.0000E+0	2.1875E-10	-5.0000E+1	-1.7951E-8
6.5500E+4	1.0000E+0	2.1912E-10	-5.0000E+1	-1.8016E-8
