File Name: 01_Sample14_device4_trfSat_dark_vertical.dat;;;;;;;;;
File Data: 15/11/2023;10:08:28;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;1.50E-09;-5.00E+01;-9.72E-10;;;;1.5032E-09;9.7244E-10
1.00E+03;1.00E+00;1.76E-09;-4.95E+01;-3.15E-11;;;;1.7619E-09;3.1459E-11
1.50E+03;1.00E+00;1.99E-09;-4.90E+01;1.90E-10;;;;1.9855E-09;1.8963E-10
2.00E+03;1.00E+00;2.65E-09;-4.85E+01;2.45E-10;;;;2.651E-09;2.4529E-10
2.50E+03;1.00E+00;3.47E-09;-4.80E+01;2.62E-10;;;;3.4688E-09;2.6249E-10
3.00E+03;1.00E+00;4.96E-09;-4.75E+01;2.74E-10;;;;4.9583E-09;2.7355E-10
3.50E+03;1.00E+00;6.91E-09;-4.70E+01;2.73E-10;;;;6.9144E-09;2.7317E-10
4.00E+03;1.00E+00;9.56E-09;-4.65E+01;2.77E-10;;;;9.5611E-09;2.7681E-10
4.50E+03;1.00E+00;1.27E-08;-4.60E+01;2.80E-10;;;;1.2674E-08;2.8035E-10
5.00E+03;1.00E+00;1.55E-08;-4.55E+01;2.84E-10;;;;1.5548E-08;2.8435E-10
5.50E+03;1.00E+00;1.86E-08;-4.50E+01;2.88E-10;;;;1.8571E-08;2.8818E-10
6.00E+03;1.00E+00;2.16E-08;-4.45E+01;2.92E-10;;;;2.158E-08;2.9201E-10
6.50E+03;1.00E+00;2.46E-08;-4.40E+01;2.93E-10;;;;2.4648E-08;2.9295E-10
7.00E+03;1.00E+00;2.81E-08;-4.35E+01;2.96E-10;;;;2.809E-08;2.955E-10
7.50E+03;1.00E+00;3.15E-08;-4.30E+01;2.99E-10;;;;3.1538E-08;2.9905E-10
8.00E+03;1.00E+00;3.54E-08;-4.25E+01;3.01E-10;;;;3.5414E-08;3.0104E-10
8.50E+03;1.00E+00;3.99E-08;-4.20E+01;3.05E-10;;;;3.9884E-08;3.0535E-10
9.00E+03;1.00E+00;4.43E-08;-4.15E+01;3.05E-10;;;;4.4319E-08;3.0458E-10
9.50E+03;1.00E+00;4.93E-08;-4.10E+01;3.06E-10;;;;4.9277E-08;3.0592E-10
1.00E+04;1.00E+00;5.49E-08;-4.05E+01;3.06E-10;;;;5.4858E-08;3.0641E-10
1.05E+04;1.00E+00;6.12E-08;-4.00E+01;3.07E-10;;;;6.1154E-08;3.0722E-10
1.10E+04;1.00E+00;6.80E-08;-3.95E+01;3.06E-10;;;;6.796E-08;3.0594E-10
1.15E+04;1.00E+00;7.40E-08;-3.90E+01;3.06E-10;;;;7.4003E-08;3.0617E-10
1.20E+04;1.00E+00;8.26E-08;-3.85E+01;3.09E-10;;;;8.2559E-08;3.0867E-10
1.25E+04;1.00E+00;9.02E-08;-3.80E+01;3.10E-10;;;;9.023E-08;3.0953E-10
1.30E+04;1.00E+00;1.01E-07;-3.75E+01;3.11E-10;;;;1.0097E-07;3.1053E-10
1.35E+04;1.00E+00;1.11E-07;-3.70E+01;3.36E-10;;;;1.1061E-07;3.3623E-10
1.40E+04;1.00E+00;1.23E-07;-3.65E+01;3.14E-10;;;;1.2266E-07;3.1356E-10
1.45E+04;1.00E+00;1.33E-07;-3.60E+01;3.14E-10;;;;1.3294E-07;3.1445E-10
1.50E+04;1.00E+00;1.48E-07;-3.55E+01;2.96E-10;;;;1.4812E-07;2.9631E-10
1.55E+04;1.00E+00;1.61E-07;-3.50E+01;4.85E-10;;;;1.611E-07;4.8518E-10
1.60E+04;1.00E+00;1.79E-07;-3.45E+01;3.24E-10;;;;1.7943E-07;3.2421E-10
1.65E+04;1.00E+00;1.98E-07;-3.40E+01;3.14E-10;;;;1.978E-07;3.144E-10
1.70E+04;1.00E+00;2.17E-07;-3.35E+01;3.15E-10;;;;2.1692E-07;3.1456E-10
1.75E+04;1.00E+00;2.41E-07;-3.30E+01;3.14E-10;;;;2.4092E-07;3.1413E-10
1.80E+04;1.00E+00;2.66E-07;-3.25E+01;3.16E-10;;;;2.659E-07;3.1626E-10
1.85E+04;1.00E+00;2.94E-07;-3.20E+01;3.14E-10;;;;2.9445E-07;3.1393E-10
1.90E+04;1.00E+00;3.23E-07;-3.15E+01;3.15E-10;;;;3.2317E-07;3.149E-10
1.95E+04;1.00E+00;3.55E-07;-3.10E+01;3.16E-10;;;;3.5456E-07;3.1644E-10
2.00E+04;1.00E+00;3.88E-07;-3.05E+01;3.16E-10;;;;3.882E-07;3.1622E-10
2.05E+04;1.00E+00;4.20E-07;-3.00E+01;3.16E-10;;;;4.2002E-07;3.155E-10
2.10E+04;1.00E+00;4.59E-07;-2.95E+01;3.14E-10;;;;4.5891E-07;3.1379E-10
2.15E+04;1.00E+00;5.04E-07;-2.90E+01;3.16E-10;;;;5.0425E-07;3.1552E-10
2.20E+04;1.00E+00;5.44E-07;-2.85E+01;3.16E-10;;;;5.4445E-07;3.1582E-10
2.25E+04;1.00E+00;5.97E-07;-2.80E+01;3.17E-10;;;;5.9698E-07;3.1658E-10
2.30E+04;1.00E+00;6.50E-07;-2.75E+01;3.15E-10;;;;6.4994E-07;3.1543E-10
2.35E+04;1.00E+00;7.09E-07;-2.70E+01;3.18E-10;;;;7.0943E-07;3.1777E-10
2.40E+04;1.00E+00;7.62E-07;-2.65E+01;3.20E-10;;;;7.6231E-07;3.1999E-10
2.45E+04;1.00E+00;8.24E-07;-2.60E+01;3.19E-10;;;;8.2418E-07;3.1905E-10
2.50E+04;1.00E+00;8.94E-07;-2.55E+01;3.22E-10;;;;8.9371E-07;3.2158E-10
2.55E+04;1.00E+00;9.58E-07;-2.50E+01;3.21E-10;;;;9.5799E-07;3.2092E-10
2.60E+04;1.00E+00;1.03E-06;-2.45E+01;3.21E-10;;;;1.0315E-06;3.2103E-10
2.65E+04;1.00E+00;1.10E-06;-2.40E+01;3.47E-10;;;;1.1034E-06;3.4737E-10
2.70E+04;1.00E+00;1.18E-06;-2.35E+01;3.25E-10;;;;1.1844E-06;3.2456E-10
2.75E+04;1.00E+00;1.27E-06;-2.30E+01;3.23E-10;;;;0.00000127;3.2267E-10
2.80E+04;1.00E+00;1.35E-06;-2.25E+01;3.20E-10;;;;0.000001353;3.2036E-10
2.85E+04;1.00E+00;1.45E-06;-2.20E+01;3.21E-10;;;;1.4455E-06;3.2108E-10
2.90E+04;1.00E+00;1.54E-06;-2.15E+01;3.23E-10;;;;1.5421E-06;3.2262E-10
