File Name: 07_Sample14_device4_trfsat_dark_final.dat;;;;;;;;;
File Data: 15/11/2023;13:00:03;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;1.74E-09;-5.00E+01;-1.12E-09;;;;1.7388E-09;1.1244E-09
1.00E+03;1.00E+00;2.89E-09;-4.95E+01;-6.30E-11;;;;2.8922E-09;6.3016E-11
1.50E+03;1.00E+00;3.87E-09;-4.90E+01;1.75E-10;;;;3.8743E-09;1.7513E-10
2.00E+03;1.00E+00;5.79E-09;-4.85E+01;2.12E-10;;;;5.791E-09;2.1169E-10
2.50E+03;1.00E+00;8.24E-09;-4.80E+01;2.19E-10;;;;8.2352E-09;2.188E-10
3.00E+03;1.00E+00;1.13E-08;-4.75E+01;2.30E-10;;;;1.1335E-08;2.3005E-10
3.50E+03;1.00E+00;1.44E-08;-4.70E+01;2.37E-10;;;;1.4407E-08;2.3693E-10
4.00E+03;1.00E+00;1.79E-08;-4.65E+01;2.39E-10;;;;1.7914E-08;2.3877E-10
4.50E+03;1.00E+00;2.14E-08;-4.60E+01;2.43E-10;;;;2.1374E-08;2.4349E-10
5.00E+03;1.00E+00;2.49E-08;-4.55E+01;2.53E-10;;;;2.4877E-08;2.5334E-10
5.50E+03;1.00E+00;2.81E-08;-4.50E+01;2.50E-10;;;;2.8072E-08;2.5045E-10
6.00E+03;1.00E+00;3.22E-08;-4.45E+01;2.53E-10;;;;3.2194E-08;2.5304E-10
6.50E+03;1.00E+00;3.70E-08;-4.40E+01;2.57E-10;;;;3.7021E-08;2.5688E-10
7.00E+03;1.00E+00;4.13E-08;-4.35E+01;2.61E-10;;;;4.1319E-08;2.6064E-10
