File Name: 12_Sample14_device4_It_150kV_VDrain1V_VGate1V.dat
File Data: 22/11/2023	14:14:12
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	7.2586E-6	1.0000E+0	9.4151E-12
1.0000E+3	1.0000E+0	7.2446E-6	1.0000E+0	1.1576E-11
1.5000E+3	1.0000E+0	7.2400E-6	1.0000E+0	1.1080E-11
2.0000E+3	1.0000E+0	7.2379E-6	1.0000E+0	1.0458E-11
2.5000E+3	1.0000E+0	7.2344E-6	1.0000E+0	1.0278E-11
3.0000E+3	1.0000E+0	7.2259E-6	1.0000E+0	9.9587E-12
3.5000E+3	1.0000E+0	7.2216E-6	1.0000E+0	9.4867E-12
4.0000E+3	1.0000E+0	7.2222E-6	1.0000E+0	9.8038E-12
4.5000E+3	1.0000E+0	7.2162E-6	1.0000E+0	9.4521E-12
5.0000E+3	1.0000E+0	7.2150E-6	1.0000E+0	9.4271E-12
5.5000E+3	1.0000E+0	7.2111E-6	1.0000E+0	9.4771E-12
6.0000E+3	1.0000E+0	7.2072E-6	1.0000E+0	9.6071E-12
6.5000E+3	1.0000E+0	7.2025E-6	1.0000E+0	8.7643E-12
7.0000E+3	1.0000E+0	7.1997E-6	1.0000E+0	8.7547E-12
7.5000E+3	1.0000E+0	7.2008E-6	1.0000E+0	8.9228E-12
8.0000E+3	1.0000E+0	7.1976E-6	1.0000E+0	8.9323E-12
8.5000E+3	1.0000E+0	7.1975E-6	1.0000E+0	8.9908E-12
9.0000E+3	1.0000E+0	7.1921E-6	1.0000E+0	8.9574E-12
9.5000E+3	1.0000E+0	7.1928E-6	1.0000E+0	8.5521E-12
1.0000E+4	1.0000E+0	7.1948E-6	1.0000E+0	8.6677E-12
1.0500E+4	1.0000E+0	7.1903E-6	1.0000E+0	8.7070E-12
1.1000E+4	1.0000E+0	7.1904E-6	1.0000E+0	8.5807E-12
1.1500E+4	1.0000E+0	7.1885E-6	1.0000E+0	8.3983E-12
1.2000E+4	1.0000E+0	7.1894E-6	1.0000E+0	8.6045E-12
1.2500E+4	1.0000E+0	7.1862E-6	1.0000E+0	8.3661E-12
1.3000E+4	1.0000E+0	7.1829E-6	1.0000E+0	8.4531E-12
1.3500E+4	1.0000E+0	7.1838E-6	1.0000E+0	8.3268E-12
1.4000E+4	1.0000E+0	7.1802E-6	1.0000E+0	8.0252E-12
1.4500E+4	1.0000E+0	7.1769E-6	1.0000E+0	8.2004E-12
1.5000E+4	1.0000E+0	7.1787E-6	1.0000E+0	7.9930E-12
1.5500E+4	1.0000E+0	7.1740E-6	1.0000E+0	7.8368E-12
1.6000E+4	1.0000E+0	7.1751E-6	1.0000E+0	7.9429E-12
1.6500E+4	1.0000E+0	7.1770E-6	1.0000E+0	7.9977E-12
1.7000E+4	1.0000E+0	7.1740E-6	1.0000E+0	8.3792E-12
1.7500E+4	1.0000E+0	7.1697E-6	1.0000E+0	8.3542E-12
1.8000E+4	1.0000E+0	7.1683E-6	1.0000E+0	8.0133E-12
1.8500E+4	1.0000E+0	7.1677E-6	1.0000E+0	7.9906E-12
1.9000E+4	1.0000E+0	7.1632E-6	1.0000E+0	8.2302E-12
1.9500E+4	1.0000E+0	7.1654E-6	1.0000E+0	8.3518E-12
2.0000E+4	1.0000E+0	7.1596E-6	1.0000E+0	7.9536E-12
2.0500E+4	1.0000E+0	7.1587E-6	1.0000E+0	8.2016E-12
2.1000E+4	1.0000E+0	7.1555E-6	1.0000E+0	8.0395E-12
2.1500E+4	1.0000E+0	7.1557E-6	1.0000E+0	8.1253E-12
2.2000E+4	1.0000E+0	7.1540E-6	1.0000E+0	8.0121E-12
2.2500E+4	1.0000E+0	7.1503E-6	1.0000E+0	7.7772E-12
2.3000E+4	1.0000E+0	7.1516E-6	1.0000E+0	8.0872E-12
2.3500E+4	1.0000E+0	7.1543E-6	1.0000E+0	7.9751E-12
2.4000E+4	1.0000E+0	7.1536E-6	1.0000E+0	8.0073E-12
2.4500E+4	1.0000E+0	7.1508E-6	1.0000E+0	7.8118E-12
2.5000E+4	1.0000E+0	7.1493E-6	1.0000E+0	7.8416E-12
2.5500E+4	1.0000E+0	7.1486E-6	1.0000E+0	8.0478E-12
2.6000E+4	1.0000E+0	7.1442E-6	1.0000E+0	8.1825E-12
2.6500E+4	1.0000E+0	7.1439E-6	1.0000E+0	7.6020E-12
2.7000E+4	1.0000E+0	7.1375E-6	1.0000E+0	7.7689E-12
2.7500E+4	1.0000E+0	7.1383E-6	1.0000E+0	7.6985E-12
2.8000E+4	1.0000E+0	7.1360E-6	1.0000E+0	7.5841E-12
2.8500E+4	1.0000E+0	7.1388E-6	1.0000E+0	7.4339E-12
2.9000E+4	1.0000E+0	7.1364E-6	1.0000E+0	7.8857E-12
2.9500E+4	1.0000E+0	7.1391E-6	1.0000E+0	7.8166E-12
3.0000E+4	1.0000E+0	7.1373E-6	1.0000E+0	7.5948E-12
3.0500E+4	1.0000E+0	7.1374E-6	1.0000E+0	7.9095E-12
3.1000E+4	1.0000E+0	7.1324E-6	1.0000E+0	7.9334E-12
3.1500E+4	1.0000E+0	7.1289E-6	1.0000E+0	7.8607E-12
3.2000E+4	1.0000E+0	7.1293E-6	1.0000E+0	7.8952E-12
3.2500E+4	1.0000E+0	7.1279E-6	1.0000E+0	7.7426E-12
3.3000E+4	1.0000E+0	7.1311E-6	1.0000E+0	8.1408E-12
3.3500E+4	1.0000E+0	7.1240E-6	1.0000E+0	7.7748E-12
3.4000E+4	1.0000E+0	7.1230E-6	1.0000E+0	7.6413E-12
3.4500E+4	1.0000E+0	7.1235E-6	1.0000E+0	7.6997E-12
3.5000E+4	1.0000E+0	7.1267E-6	1.0000E+0	7.9048E-12
3.5500E+4	1.0000E+0	7.1213E-6	1.0000E+0	7.7462E-12
3.6000E+4	1.0000E+0	7.1184E-6	1.0000E+0	7.9155E-12
3.6500E+4	1.0000E+0	7.1184E-6	1.0000E+0	7.6950E-12
3.7000E+4	1.0000E+0	7.1133E-6	1.0000E+0	7.6520E-12
3.7500E+4	1.0000E+0	7.1117E-6	1.0000E+0	7.7701E-12
3.8000E+4	1.0000E+0	7.1126E-6	1.0000E+0	7.8225E-12
3.8500E+4	1.0000E+0	7.1124E-6	1.0000E+0	7.5579E-12
3.9000E+4	1.0000E+0	7.1080E-6	1.0000E+0	7.8595E-12
3.9500E+4	1.0000E+0	7.1129E-6	1.0000E+0	7.7307E-12
4.0000E+4	1.0000E+0	7.1141E-6	1.0000E+0	7.7879E-12
4.0500E+4	1.0000E+0	7.1115E-6	1.0000E+0	7.7939E-12
4.1000E+4	1.0000E+0	7.1096E-6	1.0000E+0	7.6568E-12
4.1500E+4	1.0000E+0	7.1069E-6	1.0000E+0	7.8404E-12
4.2000E+4	1.0000E+0	7.1069E-6	1.0000E+0	7.5650E-12
4.2500E+4	1.0000E+0	7.1122E-6	1.0000E+0	7.4589E-12
4.3000E+4	1.0000E+0	7.1097E-6	1.0000E+0	7.3326E-12
4.3500E+4	1.0000E+0	7.1065E-6	1.0000E+0	7.6723E-12
4.4000E+4	1.0000E+0	7.1094E-6	1.0000E+0	7.4577E-12
4.4500E+4	1.0000E+0	7.1045E-6	1.0000E+0	7.3528E-12
4.5000E+4	1.0000E+0	7.1041E-6	1.0000E+0	7.3552E-12
4.5500E+4	1.0000E+0	7.1020E-6	1.0000E+0	7.4339E-12
4.6000E+4	1.0000E+0	7.0975E-6	1.0000E+0	7.5090E-12
4.6500E+4	1.0000E+0	7.0960E-6	1.0000E+0	7.7009E-12
4.7000E+4	1.0000E+0	7.0953E-6	1.0000E+0	7.4673E-12
4.7500E+4	1.0000E+0	7.0949E-6	1.0000E+0	7.5018E-12
4.8000E+4	1.0000E+0	7.0948E-6	1.0000E+0	7.2825E-12
4.8500E+4	1.0000E+0	7.0932E-6	1.0000E+0	7.5042E-12
4.9000E+4	1.0000E+0	7.0927E-6	1.0000E+0	7.7009E-12
4.9500E+4	1.0000E+0	7.0933E-6	1.0000E+0	7.6711E-12
5.0000E+4	1.0000E+0	7.0928E-6	1.0000E+0	7.5436E-12
5.0500E+4	1.0000E+0	7.0932E-6	1.0000E+0	7.4863E-12
5.1000E+4	1.0000E+0	7.0952E-6	1.0000E+0	7.4542E-12
5.1500E+4	1.0000E+0	7.0895E-6	1.0000E+0	7.3457E-12
5.2000E+4	1.0000E+0	7.0855E-6	1.0000E+0	7.3194E-12
5.2500E+4	1.0000E+0	7.0873E-6	1.0000E+0	7.3695E-12
5.3000E+4	1.0000E+0	7.0855E-6	1.0000E+0	7.3755E-12
5.3500E+4	1.0000E+0	7.0834E-6	1.0000E+0	7.4792E-12
5.4000E+4	1.0000E+0	7.0810E-6	1.0000E+0	7.0310E-12
5.4500E+4	1.0000E+0	7.0856E-6	1.0000E+0	7.3016E-12
5.5000E+4	1.0000E+0	7.0848E-6	1.0000E+0	7.6020E-12
5.5500E+4	1.0000E+0	7.0815E-6	1.0000E+0	7.3755E-12
5.6000E+4	1.0000E+0	7.0772E-6	1.0000E+0	7.4565E-12
5.6500E+4	1.0000E+0	7.0797E-6	1.0000E+0	7.3516E-12
5.7000E+4	1.0000E+0	7.0771E-6	1.0000E+0	7.3040E-12
5.7500E+4	1.0000E+0	7.0789E-6	1.0000E+0	7.4410E-12
5.8000E+4	1.0000E+0	7.0714E-6	1.0000E+0	7.3731E-12
5.8500E+4	1.0000E+0	7.0742E-6	1.0000E+0	7.4017E-12
5.9000E+4	1.0000E+0	7.0737E-6	1.0000E+0	7.1180E-12
5.9500E+4	1.0000E+0	7.0742E-6	1.0000E+0	7.4291E-12
6.0000E+4	1.0000E+0	7.0710E-6	1.0000E+0	7.4577E-12
6.0500E+4	1.0000E+0	7.0724E-6	1.0000E+0	7.3516E-12
6.1000E+4	1.0000E+0	7.0754E-6	1.0000E+0	7.4279E-12
6.1500E+4	1.0000E+0	7.0740E-6	1.0000E+0	7.1168E-12
6.2000E+4	1.0000E+0	7.0718E-6	1.0000E+0	7.3135E-12
6.2500E+4	1.0000E+0	7.0694E-6	1.0000E+0	7.3814E-12
6.3000E+4	1.0000E+0	7.0697E-6	1.0000E+0	7.3183E-12
6.3500E+4	1.0000E+0	7.0696E-6	1.0000E+0	7.5519E-12
6.4000E+4	1.0000E+0	7.0648E-6	1.0000E+0	7.5245E-12
6.4500E+4	1.0000E+0	7.0628E-6	1.0000E+0	7.3171E-12
6.5000E+4	1.0000E+0	7.0638E-6	1.0000E+0	7.4196E-12
6.5500E+4	1.0000E+0	7.0654E-6	1.0000E+0	7.4744E-12
6.6000E+4	1.0000E+0	7.0649E-6	1.0000E+0	7.4649E-12
6.6500E+4	1.0000E+0	7.0656E-6	1.0000E+0	7.2801E-12
6.7000E+4	1.0000E+0	7.0689E-6	1.0000E+0	7.2360E-12
6.7500E+4	1.0000E+0	7.0696E-6	1.0000E+0	7.1835E-12
6.8000E+4	1.0000E+0	7.0646E-6	1.0000E+0	7.3767E-12
6.8500E+4	1.0000E+0	7.0642E-6	1.0000E+0	7.2956E-12
6.9000E+4	1.0000E+0	7.0629E-6	1.0000E+0	7.2718E-12
6.9500E+4	1.0000E+0	7.0610E-6	1.0000E+0	7.0155E-12
7.0000E+4	1.0000E+0	7.0621E-6	1.0000E+0	7.1764E-12
7.0500E+4	1.0000E+0	7.0586E-6	1.0000E+0	7.3194E-12
7.1000E+4	1.0000E+0	7.0607E-6	1.0000E+0	7.4053E-12
7.1500E+4	1.0000E+0	7.0607E-6	1.0000E+0	7.4172E-12
7.2000E+4	1.0000E+0	7.0542E-6	1.0000E+0	7.3457E-12
7.2500E+4	1.0000E+0	7.0565E-6	1.0000E+0	7.1442E-12
7.3000E+4	1.0000E+0	7.0570E-6	1.0000E+0	7.4649E-12
7.3500E+4	1.0000E+0	7.0591E-6	1.0000E+0	7.1943E-12
7.4000E+4	1.0000E+0	7.0591E-6	1.0000E+0	7.2610E-12
7.4500E+4	1.0000E+0	7.0595E-6	1.0000E+0	7.1764E-12
7.5000E+4	1.0000E+0	7.0538E-6	1.0000E+0	7.1847E-12
7.5500E+4	1.0000E+0	7.0513E-6	1.0000E+0	7.2002E-12
7.6000E+4	1.0000E+0	7.0504E-6	1.0000E+0	7.1204E-12
7.6500E+4	1.0000E+0	7.0499E-6	1.0000E+0	7.1478E-12
7.7000E+4	1.0000E+0	7.0533E-6	1.0000E+0	7.0071E-12
7.7500E+4	1.0000E+0	7.0494E-6	1.0000E+0	7.0810E-12
7.8000E+4	1.0000E+0	7.0516E-6	1.0000E+0	7.2718E-12
7.8500E+4	1.0000E+0	7.0459E-6	1.0000E+0	7.0476E-12
7.9000E+4	1.0000E+0	7.0484E-6	1.0000E+0	7.0834E-12
7.9500E+4	1.0000E+0	7.0468E-6	1.0000E+0	6.9702E-12
8.0000E+4	1.0000E+0	7.0450E-6	1.0000E+0	7.4744E-12
8.0500E+4	1.0000E+0	7.0403E-6	1.0000E+0	7.5197E-12
8.1000E+4	1.0000E+0	7.0481E-6	1.0000E+0	7.2300E-12
8.1500E+4	1.0000E+0	7.0453E-6	1.0000E+0	7.2360E-12
8.2000E+4	1.0000E+0	7.0454E-6	1.0000E+0	7.3659E-12
8.2500E+4	1.0000E+0	7.0458E-6	1.0000E+0	7.1037E-12
8.3000E+4	1.0000E+0	7.0416E-6	1.0000E+0	6.9940E-12
8.3500E+4	1.0000E+0	7.0406E-6	1.0000E+0	7.1835E-12
8.4000E+4	1.0000E+0	7.0370E-6	1.0000E+0	7.2634E-12
8.4500E+4	1.0000E+0	7.0358E-6	1.0000E+0	7.0751E-12
8.5000E+4	1.0000E+0	7.0365E-6	1.0000E+0	6.9201E-12
8.5500E+4	1.0000E+0	7.0375E-6	1.0000E+0	6.9535E-12
8.6000E+4	1.0000E+0	7.0354E-6	1.0000E+0	7.1979E-12
8.6500E+4	1.0000E+0	7.0353E-6	1.0000E+0	6.7866E-12
8.7000E+4	1.0000E+0	7.0362E-6	1.0000E+0	7.1359E-12
8.7500E+4	1.0000E+0	7.0352E-6	1.0000E+0	7.0655E-12
8.8000E+4	1.0000E+0	7.0345E-6	1.0000E+0	6.9797E-12
8.8500E+4	1.0000E+0	7.0371E-6	1.0000E+0	7.2408E-12
8.9000E+4	1.0000E+0	7.0325E-6	1.0000E+0	7.0274E-12
8.9500E+4	1.0000E+0	7.0333E-6	1.0000E+0	7.5960E-12
9.0000E+4	1.0000E+0	7.0295E-6	1.0000E+0	7.4124E-12
9.0500E+4	1.0000E+0	7.0298E-6	1.0000E+0	7.0155E-12
9.1000E+4	1.0000E+0	7.0318E-6	1.0000E+0	7.2980E-12
9.1500E+4	1.0000E+0	7.0281E-6	1.0000E+0	7.1025E-12
9.2000E+4	1.0000E+0	7.0303E-6	1.0000E+0	7.4804E-12
9.2500E+4	1.0000E+0	7.0256E-6	1.0000E+0	7.3183E-12
9.3000E+4	1.0000E+0	7.0234E-6	1.0000E+0	7.2265E-12
9.3500E+4	1.0000E+0	7.0253E-6	1.0000E+0	7.2491E-12
9.4000E+4	1.0000E+0	7.0248E-6	1.0000E+0	7.1776E-12
9.4500E+4	1.0000E+0	7.0237E-6	1.0000E+0	7.1418E-12
9.5000E+4	1.0000E+0	7.0228E-6	1.0000E+0	6.9547E-12
9.5500E+4	1.0000E+0	7.0224E-6	1.0000E+0	7.3099E-12
9.6000E+4	1.0000E+0	7.0193E-6	1.0000E+0	6.9582E-12
9.6500E+4	1.0000E+0	7.0228E-6	1.0000E+0	7.0310E-12
9.7000E+4	1.0000E+0	7.0194E-6	1.0000E+0	6.9249E-12
9.7500E+4	1.0000E+0	7.0199E-6	1.0000E+0	7.0095E-12
9.8000E+4	1.0000E+0	7.0182E-6	1.0000E+0	7.3063E-12
9.8500E+4	1.0000E+0	7.0227E-6	1.0000E+0	7.1251E-12
9.9000E+4	1.0000E+0	7.0158E-6	1.0000E+0	7.0977E-12
9.9500E+4	1.0000E+0	7.0133E-6	1.0000E+0	7.2587E-12
1.0000E+5	1.0000E+0	7.0188E-6	1.0000E+0	7.0596E-12
1.0050E+5	1.0000E+0	7.0162E-6	1.0000E+0	7.0119E-12
1.0100E+5	1.0000E+0	7.0137E-6	1.0000E+0	7.2539E-12
1.0150E+5	1.0000E+0	7.0161E-6	1.0000E+0	7.2539E-12
1.0200E+5	1.0000E+0	7.0158E-6	1.0000E+0	7.2563E-12
1.0250E+5	1.0000E+0	7.0160E-6	1.0000E+0	7.2753E-12
1.0300E+5	1.0000E+0	7.0130E-6	1.0000E+0	7.3254E-12
1.0350E+5	1.0000E+0	7.0116E-6	1.0000E+0	7.1919E-12
