File Name: 1611_00_Sample14_device4_trfSat_dark_hor_np_foil.dat
File Data: 16/11/2023	12:40:46
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.1184E-12	-5.0000E+1	-3.9023E-11
1.0000E+3	1.0000E+0	-7.4625E-13	-4.9500E+1	-1.1718E-12
1.5000E+3	1.0000E+0	-1.0860E-12	-4.9000E+1	-6.2823E-13
2.0000E+3	1.0000E+0	-1.0240E-12	-4.8500E+1	-9.0837E-13
2.5000E+3	1.0000E+0	-1.1337E-12	-4.8000E+1	-6.2704E-13
3.0000E+3	1.0000E+0	-1.3959E-12	-4.7500E+1	-5.9128E-13
3.5000E+3	1.0000E+0	-1.3769E-12	-4.7000E+1	-4.7326E-13
4.0000E+3	1.0000E+0	-1.3375E-12	-4.6500E+1	-5.9009E-13
4.5000E+3	1.0000E+0	-1.3220E-12	-4.6000E+1	-6.8665E-13
5.0000E+3	1.0000E+0	-1.3459E-12	-4.5500E+1	-6.4611E-13
5.5000E+3	1.0000E+0	-1.3637E-12	-4.5000E+1	-5.2094E-13
6.0000E+3	1.0000E+0	-1.3399E-12	-4.4500E+1	-5.5313E-13
6.5000E+3	1.0000E+0	-1.3912E-12	-4.4000E+1	-6.0201E-13
7.0000E+3	1.0000E+0	-1.3793E-12	-4.3500E+1	-2.7060E-13
7.5000E+3	1.0000E+0	-1.5449E-12	-4.3000E+1	-5.3167E-13
8.0000E+3	1.0000E+0	-1.4746E-12	-4.2500E+1	-2.5034E-13
8.5000E+3	1.0000E+0	-1.3399E-12	-4.2000E+1	-5.8770E-13
9.0000E+3	1.0000E+0	-1.4389E-12	-4.1500E+1	-1.5378E-13
9.5000E+3	1.0000E+0	-1.7393E-12	-4.1000E+1	-4.7326E-13
1.0000E+4	1.0000E+0	-1.4770E-12	-4.0500E+1	-5.1618E-13
1.0500E+4	1.0000E+0	-1.3649E-12	-4.0000E+1	-6.5565E-13
1.1000E+4	1.0000E+0	-1.5593E-12	-3.9500E+1	-3.8266E-13
1.1500E+4	1.0000E+0	-1.6105E-12	-3.9000E+1	-2.9206E-13
1.2000E+4	1.0000E+0	-1.7750E-12	-3.8500E+1	-6.5684E-13
1.2500E+4	1.0000E+0	-1.4281E-12	-3.8000E+1	-3.7193E-13
