File Name: p.dat
File Data: 22/11/2023	14:25:50
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	6.1506E-6	1.0000E+0	-3.7042E-11
1.0000E+3	1.0000E+0	6.1384E-6	1.0000E+0	3.8850E-12
1.5000E+3	1.0000E+0	6.1338E-6	1.0000E+0	3.6895E-12
2.0000E+3	1.0000E+0	6.1288E-6	1.0000E+0	3.5858E-12
2.5000E+3	1.0000E+0	6.1272E-6	1.0000E+0	3.3855E-12
3.0000E+3	1.0000E+0	6.1214E-6	1.0000E+0	3.2186E-12
3.5000E+3	1.0000E+0	6.1207E-6	1.0000E+0	3.0136E-12
4.0000E+3	1.0000E+0	6.1223E-6	1.0000E+0	2.9314E-12
4.5000E+3	1.0000E+0	6.1244E-6	1.0000E+0	2.8634E-12
5.0000E+3	1.0000E+0	6.1195E-6	1.0000E+0	2.8360E-12
5.5000E+3	1.0000E+0	6.1203E-6	1.0000E+0	2.7049E-12
6.0000E+3	1.0000E+0	6.1168E-6	1.0000E+0	2.7215E-12
6.5000E+3	1.0000E+0	6.1156E-6	1.0000E+0	2.7335E-12
7.0000E+3	1.0000E+0	6.1140E-6	1.0000E+0	2.6452E-12
7.5000E+3	1.0000E+0	6.1119E-6	1.0000E+0	2.5654E-12
8.0000E+3	1.0000E+0	6.1107E-6	1.0000E+0	2.4891E-12
8.5000E+3	1.0000E+0	6.1075E-6	1.0000E+0	2.6023E-12
9.0000E+3	1.0000E+0	6.1080E-6	1.0000E+0	2.5821E-12
9.5000E+3	1.0000E+0	6.1090E-6	1.0000E+0	2.5868E-12
1.0000E+4	1.0000E+0	6.1101E-6	1.0000E+0	2.5260E-12
1.0500E+4	1.0000E+0	6.1060E-6	1.0000E+0	2.3413E-12
1.1000E+4	1.0000E+0	6.1047E-6	1.0000E+0	2.3925E-12
1.1500E+4	1.0000E+0	6.1067E-6	1.0000E+0	2.2340E-12
1.2000E+4	1.0000E+0	6.1041E-6	1.0000E+0	2.2674E-12
1.2500E+4	1.0000E+0	6.1046E-6	1.0000E+0	2.3699E-12
1.3000E+4	1.0000E+0	6.1045E-6	1.0000E+0	2.3329E-12
1.3500E+4	1.0000E+0	6.1017E-6	1.0000E+0	2.2423E-12
1.4000E+4	1.0000E+0	6.0981E-6	1.0000E+0	2.2686E-12
1.4500E+4	1.0000E+0	6.0988E-6	1.0000E+0	2.3007E-12
1.5000E+4	1.0000E+0	6.0992E-6	1.0000E+0	2.0587E-12
1.5500E+4	1.0000E+0	6.0980E-6	1.0000E+0	2.2733E-12
1.6000E+4	1.0000E+0	6.0990E-6	1.0000E+0	2.1172E-12
1.6500E+4	1.0000E+0	6.0944E-6	1.0000E+0	2.1648E-12
1.7000E+4	1.0000E+0	6.0955E-6	1.0000E+0	2.0647E-12
1.7500E+4	1.0000E+0	6.0953E-6	1.0000E+0	2.0099E-12
1.8000E+4	1.0000E+0	6.0907E-6	1.0000E+0	2.0087E-12
1.8500E+4	1.0000E+0	6.0905E-6	1.0000E+0	2.0242E-12
1.9000E+4	1.0000E+0	6.0932E-6	1.0000E+0	1.9789E-12
1.9500E+4	1.0000E+0	6.0925E-6	1.0000E+0	5.0503E-11
2.0000E+4	1.0000E+0	6.0947E-6	1.0000E+0	6.5154E-11
2.0500E+4	1.0000E+0	6.0909E-6	1.0000E+0	6.4197E-11
2.1000E+4	1.0000E+0	6.0928E-6	1.0000E+0	6.3361E-11
2.1500E+4	1.0000E+0	6.0900E-6	1.0000E+0	6.2916E-11
2.2000E+4	1.0000E+0	6.0897E-6	1.0000E+0	6.2714E-11
2.2500E+4	1.0000E+0	6.0901E-6	1.0000E+0	6.2751E-11
2.3000E+4	1.0000E+0	6.0873E-6	1.0000E+0	6.2450E-11
2.3500E+4	1.0000E+0	6.0849E-6	1.0000E+0	6.2360E-11
2.4000E+4	1.0000E+0	6.0873E-6	1.0000E+0	6.2125E-11
2.4500E+4	1.0000E+0	6.0821E-6	1.0000E+0	6.2285E-11
2.5000E+4	1.0000E+0	6.0832E-6	1.0000E+0	6.2214E-11
2.5500E+4	1.0000E+0	6.0844E-6	1.0000E+0	6.2166E-11
2.6000E+4	1.0000E+0	6.0807E-6	1.0000E+0	6.2276E-11
2.6500E+4	1.0000E+0	6.0819E-6	1.0000E+0	7.4089E-12
2.7000E+4	1.0000E+0	6.0801E-6	1.0000E+0	2.2829E-12
2.7500E+4	1.0000E+0	6.0762E-6	1.0000E+0	1.9527E-12
2.8000E+4	1.0000E+0	6.0796E-6	1.0000E+0	1.9014E-12
2.8500E+4	1.0000E+0	6.0844E-6	1.0000E+0	1.9574E-12
2.9000E+4	1.0000E+0	6.0806E-6	1.0000E+0	2.0158E-12
2.9500E+4	1.0000E+0	6.0804E-6	1.0000E+0	2.0313E-12
3.0000E+4	1.0000E+0	6.0786E-6	1.0000E+0	1.8787E-12
3.0500E+4	1.0000E+0	6.0778E-6	1.0000E+0	1.8764E-12
3.1000E+4	1.0000E+0	6.0729E-6	1.0000E+0	2.0289E-12
3.1500E+4	1.0000E+0	6.0710E-6	1.0000E+0	1.9598E-12
3.2000E+4	1.0000E+0	6.0735E-6	1.0000E+0	2.1052E-12
3.2500E+4	1.0000E+0	6.0738E-6	1.0000E+0	1.8418E-12
3.3000E+4	1.0000E+0	6.0735E-6	1.0000E+0	1.8668E-12
3.3500E+4	1.0000E+0	6.0744E-6	1.0000E+0	6.9022E-12
3.4000E+4	1.0000E+0	6.0729E-6	1.0000E+0	5.9496E-11
3.4500E+4	1.0000E+0	6.0734E-6	1.0000E+0	6.1351E-11
3.5000E+4	1.0000E+0	6.0733E-6	1.0000E+0	6.1204E-11
3.5500E+4	1.0000E+0	6.0714E-6	1.0000E+0	6.1253E-11
3.6000E+4	1.0000E+0	6.0731E-6	1.0000E+0	6.1075E-11
3.6500E+4	1.0000E+0	6.0702E-6	1.0000E+0	6.1091E-11
3.7000E+4	1.0000E+0	6.0722E-6	1.0000E+0	6.1312E-11
3.7500E+4	1.0000E+0	6.0725E-6	1.0000E+0	6.1153E-11
3.8000E+4	1.0000E+0	6.0705E-6	1.0000E+0	6.1278E-11
3.8500E+4	1.0000E+0	6.0709E-6	1.0000E+0	6.1270E-11
3.9000E+4	1.0000E+0	6.0703E-6	1.0000E+0	6.1439E-11
3.9500E+4	1.0000E+0	6.0666E-6	1.0000E+0	5.5562E-11
4.0000E+4	1.0000E+0	6.0669E-6	1.0000E+0	5.2571E-12
4.0500E+4	1.0000E+0	6.0651E-6	1.0000E+0	2.0850E-12
4.1000E+4	1.0000E+0	6.0653E-6	1.0000E+0	1.9562E-12
4.1500E+4	1.0000E+0	6.0649E-6	1.0000E+0	1.9193E-12
4.2000E+4	1.0000E+0	6.0676E-6	1.0000E+0	1.8966E-12
4.2500E+4	1.0000E+0	6.0696E-6	1.0000E+0	2.0111E-12
4.3000E+4	1.0000E+0	6.0704E-6	1.0000E+0	1.8918E-12
4.3500E+4	1.0000E+0	6.0664E-6	1.0000E+0	1.9527E-12
4.4000E+4	1.0000E+0	6.0675E-6	1.0000E+0	1.8823E-12
4.4500E+4	1.0000E+0	6.0648E-6	1.0000E+0	1.9109E-12
4.5000E+4	1.0000E+0	6.0635E-6	1.0000E+0	2.0361E-12
4.5500E+4	1.0000E+0	6.0654E-6	1.0000E+0	1.9562E-12
4.6000E+4	1.0000E+0	6.0647E-6	1.0000E+0	1.9133E-12
4.6500E+4	1.0000E+0	6.0628E-6	1.0000E+0	1.9658E-12
4.7000E+4	1.0000E+0	6.0654E-6	1.0000E+0	1.9717E-12
4.7500E+4	1.0000E+0	6.0651E-6	1.0000E+0	1.9383E-12
4.8000E+4	1.0000E+0	6.0619E-6	1.0000E+0	2.0957E-12
4.8500E+4	1.0000E+0	6.0609E-6	1.0000E+0	2.1565E-12
4.9000E+4	1.0000E+0	6.0640E-6	1.0000E+0	2.0969E-12
4.9500E+4	1.0000E+0	6.0641E-6	1.0000E+0	2.0111E-12
5.0000E+4	1.0000E+0	6.0630E-6	1.0000E+0	2.0432E-12
5.0500E+4	1.0000E+0	6.0587E-6	1.0000E+0	1.8251E-12
