File Name: 10_Sample1_device1_trfSat_dark_vert_foil.dat
File Data: 17/11/2023	13:28:09
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.9916E-10	-5.0000E+1	-7.7174E-10
1.0000E+3	1.0000E+0	2.5094E-10	-4.9500E+1	-3.4177E-10
1.5000E+3	1.0000E+0	2.2069E-10	-4.9000E+1	-1.6374E-10
2.0000E+3	1.0000E+0	2.0464E-10	-4.8500E+1	-1.4614E-10
2.5000E+3	1.0000E+0	1.7890E-10	-4.8000E+1	-1.2276E-10
3.0000E+3	1.0000E+0	1.6520E-10	-4.7500E+1	-1.0705E-10
3.5000E+3	1.0000E+0	1.5372E-10	-4.7000E+1	-9.5718E-11
4.0000E+3	1.0000E+0	1.4548E-10	-4.6500E+1	-8.6900E-11
4.5000E+3	1.0000E+0	1.3914E-10	-4.6000E+1	-8.1112E-11
5.0000E+3	1.0000E+0	1.2928E-10	-4.5500E+1	-7.0874E-11
5.5000E+3	1.0000E+0	1.2561E-10	-4.5000E+1	-6.6472E-11
6.0000E+3	1.0000E+0	1.1198E-10	-4.4500E+1	-5.6565E-11
6.5000E+3	1.0000E+0	9.8813E-11	-4.4000E+1	-4.6321E-11
7.0000E+3	1.0000E+0	9.2112E-11	-4.3500E+1	-4.2701E-11
7.5000E+3	1.0000E+0	8.2585E-11	-4.3000E+1	-3.2724E-11
8.0000E+3	1.0000E+0	7.9591E-11	-4.2500E+1	-2.6624E-11
8.5000E+3	1.0000E+0	7.5250E-11	-4.2000E+1	-2.3770E-11
9.0000E+3	1.0000E+0	7.1204E-11	-4.1500E+1	-2.1817E-11
9.5000E+3	1.0000E+0	6.7023E-11	-4.1000E+1	-1.6311E-11
1.0000E+4	1.0000E+0	6.4559E-11	-4.0500E+1	-1.3998E-11
1.0500E+4	1.0000E+0	6.3164E-11	-4.0000E+1	-1.3565E-11
1.1000E+4	1.0000E+0	6.0521E-11	-3.9500E+1	-1.0259E-11
1.1500E+4	1.0000E+0	5.8926E-11	-3.9000E+1	-7.2050E-12
1.2000E+4	1.0000E+0	5.6205E-11	-3.8500E+1	-6.5207E-12
1.2500E+4	1.0000E+0	4.9809E-11	-3.8000E+1	-1.3173E-12
1.3000E+4	1.0000E+0	4.4769E-11	-3.7500E+1	3.5822E-12
1.3500E+4	1.0000E+0	4.0045E-11	-3.7000E+1	7.4303E-12
1.4000E+4	1.0000E+0	3.3879E-11	-3.6500E+1	1.2784E-11
1.4500E+4	1.0000E+0	2.4763E-11	-3.6000E+1	2.1186E-11
1.5000E+4	1.0000E+0	2.2918E-11	-3.5500E+1	2.2031E-11
1.5500E+4	1.0000E+0	-1.6123E-11	-3.5000E+1	3.8816E-10
1.6000E+4	1.0000E+0	-6.8593E-12	-3.4500E+1	5.0354E-11
1.6500E+4	1.0000E+0	-5.9617E-12	-3.4000E+1	5.6425E-11
1.7000E+4	1.0000E+0	1.3189E-11	-3.3500E+1	4.5544E-11
1.7500E+4	1.0000E+0	2.0511E-11	-3.3000E+1	3.7078E-11
1.8000E+4	1.0000E+0	2.1917E-11	-3.2500E+1	3.5557E-11
1.8500E+4	1.0000E+0	1.9382E-11	-3.2000E+1	3.7863E-11
1.9000E+4	1.0000E+0	1.9531E-11	-3.1500E+1	3.7794E-11
1.9500E+4	1.0000E+0	1.9652E-11	-3.1000E+1	3.7003E-11
2.0000E+4	1.0000E+0	1.9623E-11	-3.0500E+1	3.5958E-11
2.0500E+4	1.0000E+0	1.8262E-11	-3.0000E+1	3.5377E-11
2.1000E+4	1.0000E+0	1.7593E-11	-2.9500E+1	3.5611E-11
2.1500E+4	1.0000E+0	1.7036E-11	-2.9000E+1	3.6006E-11
2.2000E+4	1.0000E+0	1.4975E-11	-2.8500E+1	3.7032E-11
2.2500E+4	1.0000E+0	1.2587E-11	-2.8000E+1	3.9249E-11
2.3000E+4	1.0000E+0	1.1347E-11	-2.7500E+1	4.0461E-11
2.3500E+4	1.0000E+0	1.0787E-11	-2.7000E+1	4.1506E-11
2.4000E+4	1.0000E+0	9.2745E-12	-2.6500E+1	4.3128E-11
2.4500E+4	1.0000E+0	7.5960E-12	-2.6000E+1	4.4867E-11
2.5000E+4	1.0000E+0	6.4266E-12	-2.5500E+1	4.6387E-11
2.5500E+4	1.0000E+0	4.8864E-12	-2.5000E+1	4.8931E-11
2.6000E+4	1.0000E+0	5.0569E-12	-2.4500E+1	4.9438E-11
2.6500E+4	1.0000E+0	4.9043E-12	-2.4000E+1	4.9757E-11
2.7000E+4	1.0000E+0	3.5119E-12	-2.3500E+1	5.1746E-11
2.7500E+4	1.0000E+0	2.8777E-12	-2.3000E+1	5.2303E-11
2.8000E+4	1.0000E+0	1.6475E-12	-2.2500E+1	5.3600E-11
2.8500E+4	1.0000E+0	-1.5616E-13	-2.2000E+1	5.5357E-11
2.9000E+4	1.0000E+0	-1.2517E-13	-2.1500E+1	5.5888E-11
2.9500E+4	1.0000E+0	-2.0838E-12	-2.1000E+1	5.8031E-11
3.0000E+4	1.0000E+0	2.6858E-12	-2.0500E+1	5.8508E-11
3.0500E+4	1.0000E+0	-7.1323E-12	-2.0000E+1	1.0444E-10
3.1000E+4	1.0000E+0	-1.5417E-11	-1.9500E+1	1.0523E-10
3.1500E+4	1.0000E+0	-7.1967E-12	-1.9000E+1	6.3106E-11
3.2000E+4	1.0000E+0	-7.8917E-12	-1.8500E+1	6.3142E-11
3.2500E+4	1.0000E+0	-9.1112E-12	-1.8000E+1	6.4088E-11
3.3000E+4	1.0000E+0	-1.1360E-11	-1.7500E+1	6.5823E-11
3.3500E+4	1.0000E+0	-1.3028E-11	-1.7000E+1	6.7891E-11
3.4000E+4	1.0000E+0	-1.4848E-11	-1.6500E+1	6.9534E-11
3.4500E+4	1.0000E+0	-1.6607E-11	-1.6000E+1	7.1522E-11
3.5000E+4	1.0000E+0	-1.8139E-11	-1.5500E+1	7.2004E-11
3.5500E+4	1.0000E+0	-2.0509E-11	-1.5000E+1	7.4691E-11
3.6000E+4	1.0000E+0	-2.2365E-11	-1.4500E+1	7.6408E-11
3.6500E+4	1.0000E+0	-2.3733E-11	-1.4000E+1	7.7790E-11
3.7000E+4	1.0000E+0	-2.4412E-11	-1.3500E+1	7.8141E-11
3.7500E+4	1.0000E+0	-2.5575E-11	-1.3000E+1	7.9038E-11
3.8000E+4	1.0000E+0	-2.6355E-11	-1.2500E+1	7.9459E-11
3.8500E+4	1.0000E+0	-2.6749E-11	-1.2000E+1	8.0154E-11
3.9000E+4	1.0000E+0	-2.7684E-11	-1.1500E+1	8.1339E-11
3.9500E+4	1.0000E+0	-2.9548E-11	-1.1000E+1	8.2945E-11
4.0000E+4	1.0000E+0	-3.0109E-11	-1.0500E+1	8.3404E-11
4.0500E+4	1.0000E+0	-3.1056E-11	-1.0000E+1	8.4417E-11
4.1000E+4	1.0000E+0	-3.2476E-11	-9.5000E+0	8.5957E-11
4.1500E+4	1.0000E+0	-3.5133E-11	-9.0000E+0	8.7575E-11
4.2000E+4	1.0000E+0	-4.0705E-11	-8.5000E+0	9.2554E-11
4.2500E+4	1.0000E+0	-4.5180E-11	-8.0000E+0	9.6543E-11
4.3000E+4	1.0000E+0	-5.3037E-11	-7.5000E+0	1.0313E-10
4.3500E+4	1.0000E+0	-6.2130E-11	-7.0000E+0	1.1146E-10
4.4000E+4	1.0000E+0	-7.4875E-11	-6.5000E+0	1.2087E-10
4.4500E+4	1.0000E+0	-9.0803E-11	-6.0000E+0	1.3516E-10
4.5000E+4	1.0000E+0	-1.0558E-10	-5.5000E+0	1.4869E-10
4.5500E+4	1.0000E+0	-1.2122E-10	-5.0000E+0	1.5724E-10
4.6000E+4	1.0000E+0	-1.5609E-10	-4.5000E+0	5.5968E-10
4.6500E+4	1.0000E+0	-1.6498E-10	-4.0000E+0	2.0489E-10
4.7000E+4	1.0000E+0	-1.8905E-10	-3.5000E+0	2.2729E-10
4.7500E+4	1.0000E+0	-2.1389E-10	-3.0000E+0	2.5340E-10
4.8000E+4	1.0000E+0	-2.3536E-10	-2.5000E+0	2.8039E-10
4.8500E+4	1.0000E+0	-2.6067E-10	-2.0000E+0	3.0602E-10
