File Name: 20_Sample1_device3_trfSat_dark.dat;;;;;;;;
File Data: 17/11/2023;12:40:13;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;7.43E-10;-5.00E+01;-1.14E-09;;;7.4271E-10;1.1367E-09
1.00E+03;1.00E+00;5.83E-10;-4.95E+01;-6.03E-10;;;5.8309E-10;6.0251E-10
1.50E+03;1.00E+00;4.50E-10;-4.90E+01;-3.27E-10;;;4.5029E-10;3.2656E-10
2.00E+03;1.00E+00;4.26E-10;-4.85E+01;-2.66E-10;;;4.262E-10;2.6565E-10
2.50E+03;1.00E+00;3.52E-10;-4.80E+01;-2.24E-10;;;3.5183E-10;2.2419E-10
3.00E+03;1.00E+00;2.59E-10;-4.75E+01;-1.90E-10;;;2.5888E-10;1.9003E-10
3.50E+03;1.00E+00;2.03E-10;-4.70E+01;-1.64E-10;;;2.0324E-10;1.6446E-10
4.00E+03;1.00E+00;1.57E-10;-4.65E+01;-1.40E-10;;;1.5703E-10;1.4043E-10
4.50E+03;1.00E+00;1.20E-10;-4.60E+01;-1.20E-10;;;1.2013E-10;1.1993E-10
5.00E+03;1.00E+00;1.00E-10;-4.55E+01;-1.04E-10;;;1.0012E-10;1.0394E-10
5.50E+03;1.00E+00;7.83E-11;-4.50E+01;-9.08E-11;;;7.8262E-11;9.0767E-11
6.00E+03;1.00E+00;6.93E-11;-4.45E+01;-7.77E-11;;;6.9312E-11;7.7739E-11
6.50E+03;1.00E+00;6.25E-11;-4.40E+01;-6.84E-11;;;6.2536E-11;6.8384E-11
7.00E+03;1.00E+00;5.70E-11;-4.35E+01;-5.92E-11;;;5.7021E-11;5.9174E-11
7.50E+03;1.00E+00;6.26E-11;-4.30E+01;-5.14E-11;;;6.2575E-11;5.1355E-11
8.00E+03;1.00E+00;7.61E-11;-4.25E+01;-4.48E-11;;;7.6052E-11;4.4817E-11
8.50E+03;1.00E+00;9.27E-11;-4.20E+01;-3.80E-11;;;9.2658E-11;3.7991E-11
9.00E+03;1.00E+00;1.21E-10;-4.15E+01;-3.28E-11;;;1.2145E-10;3.2819E-11
9.50E+03;1.00E+00;1.53E-10;-4.10E+01;-2.79E-11;;;1.5291E-10;2.79E-11
1.00E+04;1.00E+00;2.08E-10;-4.05E+01;-2.38E-11;;;2.0765E-10;2.3771E-11
1.05E+04;1.00E+00;2.58E-10;-4.00E+01;-1.94E-11;;;2.5818E-10;1.941E-11
1.10E+04;1.00E+00;3.15E-10;-3.95E+01;-1.59E-11;;;3.1522E-10;1.5949E-11
1.15E+04;1.00E+00;4.02E-10;-3.90E+01;-1.25E-11;;;4.0156E-10;1.2468E-11
1.20E+04;1.00E+00;4.96E-10;-3.85E+01;-9.49E-12;;;4.9646E-10;9.4879E-12
1.25E+04;1.00E+00;6.52E-10;-3.80E+01;-6.85E-12;;;6.5167E-10;6.8462E-12
1.30E+04;1.00E+00;8.06E-10;-3.75E+01;-4.58E-12;;;8.0596E-10;4.5812E-12
1.35E+04;1.00E+00;1.02E-09;-3.70E+01;-2.42E-12;;;1.0179E-09;2.4176E-12
1.40E+04;1.00E+00;1.26E-09;-3.65E+01;-6.09E-13;;;1.2577E-09;6.0916E-13
1.45E+04;1.00E+00;1.57E-09;-3.60E+01;2.71E-12;;;1.5737E-09;2.712E-12
1.50E+04;1.00E+00;2.02E-09;-3.55E+01;1.44E-12;;;2.0245E-09;1.4436E-12
1.55E+04;1.00E+00;2.59E-09;-3.50E+01;1.46E-10;;;2.5924E-09;1.4564E-10
1.60E+04;1.00E+00;3.36E-09;-3.45E+01;1.65E-11;;;3.3566E-09;1.6533E-11
1.65E+04;1.00E+00;4.24E-09;-3.40E+01;2.16E-11;;;4.2365E-09;2.1597E-11
1.70E+04;1.00E+00;5.23E-09;-3.35E+01;2.63E-11;;;5.2326E-09;2.6275E-11
1.75E+04;1.00E+00;6.99E-09;-3.30E+01;3.00E-11;;;6.9911E-09;2.9979E-11
1.80E+04;1.00E+00;8.79E-09;-3.25E+01;3.41E-11;;;8.7921E-09;3.4136E-11
1.85E+04;1.00E+00;1.14E-08;-3.20E+01;3.51E-11;;;1.1398E-08;3.5143E-11
1.90E+04;1.00E+00;1.44E-08;-3.15E+01;3.57E-11;;;1.4441E-08;3.569E-11
1.95E+04;1.00E+00;1.85E-08;-3.10E+01;3.81E-11;;;1.8505E-08;3.8068E-11
2.00E+04;1.00E+00;2.37E-08;-3.05E+01;4.02E-11;;;2.3652E-08;4.0203E-11
2.05E+04;1.00E+00;3.01E-08;-3.00E+01;4.06E-11;;;3.0099E-08;4.0605E-11
2.10E+04;1.00E+00;3.88E-08;-2.95E+01;4.15E-11;;;3.8826E-08;4.1462E-11
2.15E+04;1.00E+00;4.80E-08;-2.90E+01;4.23E-11;;;4.8041E-08;4.2295E-11
2.20E+04;1.00E+00;5.99E-08;-2.85E+01;4.32E-11;;;5.9928E-08;4.3184E-11
2.25E+04;1.00E+00;7.36E-08;-2.80E+01;4.42E-11;;;7.357E-08;4.4241E-11
2.30E+04;1.00E+00;9.02E-08;-2.75E+01;4.51E-11;;;9.0207E-08;4.5139E-11
2.35E+04;1.00E+00;1.10E-07;-2.70E+01;4.64E-11;;;1.1024E-07;4.643E-11
2.40E+04;1.00E+00;1.32E-07;-2.65E+01;5.67E-11;;;1.3247E-07;5.6677E-11
2.45E+04;1.00E+00;1.58E-07;-2.60E+01;4.84E-11;;;1.5821E-07;4.8402E-11
2.50E+04;1.00E+00;1.88E-07;-2.55E+01;4.96E-11;;;1.8827E-07;4.9642E-11
2.55E+04;1.00E+00;2.22E-07;-2.50E+01;5.07E-11;;;2.2155E-07;5.0702E-11
2.60E+04;1.00E+00;2.58E-07;-2.45E+01;5.17E-11;;;2.5823E-07;5.1686E-11
2.65E+04;1.00E+00;2.99E-07;-2.40E+01;5.26E-11;;;2.9866E-07;5.2604E-11
2.70E+04;1.00E+00;3.43E-07;-2.35E+01;5.35E-11;;;3.4307E-07;5.3515E-11
2.75E+04;1.00E+00;3.91E-07;-2.30E+01;5.41E-11;;;3.9087E-07;5.4116E-11
2.80E+04;1.00E+00;4.45E-07;-2.25E+01;5.56E-11;;;4.4535E-07;5.5631E-11
2.85E+04;1.00E+00;5.03E-07;-2.20E+01;5.66E-11;;;5.0256E-07;5.6614E-11
2.90E+04;1.00E+00;5.63E-07;-2.15E+01;5.74E-11;;;5.6279E-07;5.7437E-11
2.95E+04;1.00E+00;6.27E-07;-2.10E+01;5.91E-11;;;6.2743E-07;5.9116E-11
3.00E+04;1.00E+00;6.97E-07;-2.05E+01;5.90E-11;;;6.9666E-07;5.9041E-11
3.05E+04;1.00E+00;7.71E-07;-2.00E+01;8.18E-11;;;7.7075E-07;8.1764E-11
3.10E+04;1.00E+00;8.51E-07;-1.95E+01;8.29E-11;;;8.5075E-07;8.2867E-11
3.15E+04;1.00E+00;9.33E-07;-1.90E+01;6.27E-11;;;9.3346E-07;6.274E-11
3.20E+04;1.00E+00;1.02E-06;-1.85E+01;6.36E-11;;;1.0203E-06;6.3562E-11
3.25E+04;1.00E+00;1.11E-06;-1.80E+01;7.31E-11;;;1.1104E-06;7.3072E-11
3.30E+04;1.00E+00;1.21E-06;-1.75E+01;6.51E-11;;;1.2063E-06;6.5082E-11
3.35E+04;1.00E+00;1.31E-06;-1.70E+01;6.62E-11;;;1.3118E-06;6.6224E-11
3.40E+04;1.00E+00;1.42E-06;-1.65E+01;6.73E-11;;;1.4189E-06;6.729E-11
3.45E+04;1.00E+00;1.53E-06;-1.60E+01;6.77E-11;;;1.5308E-06;6.7655E-11
3.50E+04;1.00E+00;1.65E-06;-1.55E+01;6.89E-11;;;1.6514E-06;6.891E-11
3.55E+04;1.00E+00;1.78E-06;-1.50E+01;7.02E-11;;;1.7758E-06;7.0159E-11
3.60E+04;1.00E+00;1.91E-06;-1.45E+01;7.20E-11;;;1.9055E-06;7.1987E-11
3.65E+04;1.00E+00;2.04E-06;-1.40E+01;7.43E-11;;;2.0404E-06;7.4311E-11
3.70E+04;1.00E+00;2.18E-06;-1.35E+01;7.65E-11;;;0.000002184;7.646E-11
3.75E+04;1.00E+00;2.33E-06;-1.30E+01;7.89E-11;;;2.3324E-06;7.8901E-11
3.80E+04;1.00E+00;2.49E-06;-1.25E+01;8.21E-11;;;0.000002485;8.2138E-11
3.85E+04;1.00E+00;2.65E-06;-1.20E+01;8.56E-11;;;2.6453E-06;8.555E-11
3.90E+04;1.00E+00;2.82E-06;-1.15E+01;8.88E-11;;;2.8168E-06;8.8803E-11
3.95E+04;1.00E+00;2.99E-06;-1.10E+01;9.33E-11;;;2.9905E-06;9.3336E-11
4.00E+04;1.00E+00;3.18E-06;-1.05E+01;9.89E-11;;;3.1767E-06;9.8938E-11
4.05E+04;1.00E+00;3.36E-06;-1.00E+01;1.05E-10;;;3.3625E-06;1.0498E-10
4.10E+04;1.00E+00;3.56E-06;-9.50E+00;1.12E-10;;;3.5573E-06;1.1243E-10
