File Name: 27_Sample1_device3_trfSat_dark_final.dat;;;;;;;;;
File Data: 17/11/2023;13:17:35;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;3.72E-10;-5.00E+01;-8.56E-10;;;;3.7163E-10;8.564E-10
1.00E+03;1.00E+00;3.00E-10;-4.95E+01;-5.21E-10;;;;2.9988E-10;5.2121E-10
1.50E+03;1.00E+00;2.59E-10;-4.90E+01;-2.76E-10;;;;2.5922E-10;2.7576E-10
2.00E+03;1.00E+00;2.20E-10;-4.85E+01;-2.30E-10;;;;2.1977E-10;2.302E-10
2.50E+03;1.00E+00;1.91E-10;-4.80E+01;-1.94E-10;;;;1.909E-10;1.9396E-10
3.00E+03;1.00E+00;1.48E-10;-4.75E+01;-1.65E-10;;;;1.4771E-10;1.6487E-10
3.50E+03;1.00E+00;1.11E-10;-4.70E+01;-1.40E-10;;;;1.1054E-10;1.3984E-10
4.00E+03;1.00E+00;8.85E-11;-4.65E+01;-1.21E-10;;;;8.8503E-11;1.2064E-10
4.50E+03;1.00E+00;6.47E-11;-4.60E+01;-1.05E-10;;;;6.4726E-11;1.0486E-10
5.00E+03;1.00E+00;4.93E-11;-4.55E+01;-9.25E-11;;;;4.9274E-11;9.2453E-11
5.50E+03;1.00E+00;4.04E-11;-4.50E+01;-8.19E-11;;;;4.039E-11;8.1918E-11
6.00E+03;1.00E+00;3.31E-11;-4.45E+01;-7.16E-11;;;;3.3094E-11;7.1599E-11
6.50E+03;1.00E+00;2.79E-11;-4.40E+01;-6.65E-11;;;;2.7939E-11;6.6496E-11
7.00E+03;1.00E+00;3.08E-11;-4.35E+01;-5.86E-09;;;;3.0838E-11;5.8558E-09
7.50E+03;1.00E+00;4.22E-11;-4.30E+01;-1.22E-08;;;;4.2167E-11;1.2201E-08
8.00E+03;1.00E+00;5.34E-11;-4.25E+01;-8.52E-09;;;;5.3375E-11;8.5222E-09
8.50E+03;1.00E+00;6.64E-11;-4.20E+01;-8.89E-09;;;;6.6433E-11;8.8896E-09
9.00E+03;1.00E+00;1.15E-10;-4.15E+01;-2.87E-08;;;;1.1505E-10;2.872E-08
9.50E+03;1.00E+00;1.10E-10;-4.10E+01;-2.93E-09;;;;1.095E-10;2.9251E-09
1.00E+04;1.00E+00;1.41E-10;-4.05E+01;-1.19E-08;;;;1.4144E-10;1.1913E-08
1.05E+04;1.00E+00;2.14E-10;-4.00E+01;-5.00E-08;;;;2.1443E-10;4.9993E-08
1.10E+04;1.00E+00;2.67E-10;-3.95E+01;-6.59E-08;;;;2.6708E-10;6.5947E-08
1.20E+04;1.00E+00;3.88E-10;-3.90E+01;-8.97E-08;;;;3.8783E-10;8.9731E-08
1.30E+04;1.00E+00;2.56E-10;-3.85E+01;-4.05E-08;;;;2.5595E-10;4.0478E-08
1.35E+04;1.00E+00;4.48E-10;-3.80E+01;-4.47E-08;;;;4.4809E-10;4.4742E-08
1.40E+04;1.00E+00;6.07E-10;-3.75E+01;-2.14E-08;;;;6.0653E-10;2.144E-08
1.45E+04;1.00E+00;1.01E-09;-3.70E+01;-1.29E-07;;;;1.0081E-09;1.2925E-07
1.55E+04;1.00E+00;1.69E-09;-3.65E+01;-3.50E-07;;;;1.6931E-09;3.5035E-07
1.60E+04;1.00E+00;1.76E-09;-3.60E+01;-2.18E-07;;;;1.7645E-09;2.1846E-07
1.65E+04;1.00E+00;1.58E-09;-3.55E+01;-1.56E-07;;;;1.5842E-09;1.5592E-07
1.75E+04;1.00E+00;2.44E-09;-3.50E+01;-3.03E-07;;;;2.4361E-09;3.0316E-07
1.80E+04;1.00E+00;2.99E-09;-3.45E+01;-1.95E-07;;;;2.9861E-09;1.9547E-07
1.85E+04;1.00E+00;3.30E-09;-3.40E+01;-1.56E-07;;;;3.298E-09;1.5633E-07
1.90E+04;1.00E+00;4.76E-09;-3.35E+01;-2.41E-07;;;;4.7575E-09;2.4137E-07
2.00E+04;1.00E+00;8.59E-09;-3.30E+01;-4.68E-07;;;;8.5944E-09;4.6753E-07
2.05E+04;1.00E+00;1.05E-08;-3.25E+01;-5.91E-07;;;;1.0482E-08;5.9065E-07
2.10E+04;1.00E+00;1.02E-08;-3.20E+01;-3.91E-07;;;;1.0244E-08;3.9065E-07
2.15E+04;1.00E+00;1.33E-08;-3.15E+01;-4.21E-07;;;;1.331E-08;4.2066E-07
2.20E+04;1.00E+00;2.09E-08;-3.10E+01;-3.53E-07;;;;2.086E-08;3.5335E-07
2.25E+04;1.00E+00;2.79E-08;-3.05E+01;-5.81E-07;;;;2.7883E-08;5.809E-07
2.30E+04;1.00E+00;3.29E-08;-3.00E+01;-4.94E-07;;;;3.2853E-08;4.9382E-07
2.35E+04;1.00E+00;4.02E-08;-2.95E+01;-4.63E-07;;;;4.0163E-08;4.6307E-07
2.40E+04;1.00E+00;4.46E-08;-2.90E+01;-3.62E-07;;;;4.457E-08;3.6177E-07
2.45E+04;1.00E+00;6.22E-08;-2.85E+01;-3.07E-07;;;;6.2243E-08;3.0715E-07
2.50E+04;1.00E+00;5.96E-08;-2.80E+01;-3.68E-07;;;;5.961E-08;3.6842E-07
2.55E+04;1.00E+00;8.35E-08;-2.75E+01;-3.98E-07;;;;8.3512E-08;3.9775E-07
2.60E+04;1.00E+00;1.01E-07;-2.70E+01;-3.94E-07;;;;1.0063E-07;3.9357E-07
2.70E+04;1.00E+00;1.40E-07;-2.65E+01;-5.56E-07;;;;1.4008E-07;5.5565E-07
2.75E+04;1.00E+00;1.57E-07;-2.60E+01;-5.51E-07;;;;1.574E-07;5.5067E-07
2.80E+04;1.00E+00;1.73E-07;-2.55E+01;-6.10E-07;;;;1.7343E-07;6.0973E-07
2.85E+04;1.00E+00;2.16E-07;-2.50E+01;-4.08E-07;;;;2.1607E-07;4.0768E-07
2.90E+04;1.00E+00;2.62E-07;-2.45E+01;-5.67E-07;;;;2.6218E-07;5.6672E-07
2.95E+04;1.00E+00;2.85E-07;-2.40E+01;-6.11E-07;;;;2.8532E-07;6.1062E-07
3.00E+04;1.00E+00;3.27E-07;-2.35E+01;-3.91E-07;;;;3.2665E-07;3.9113E-07
3.05E+04;1.00E+00;3.63E-07;-2.30E+01;-3.69E-07;;;;3.6287E-07;3.6882E-07
3.10E+04;1.00E+00;4.17E-07;-2.25E+01;-5.18E-07;;;;4.1651E-07;5.1839E-07
3.15E+04;1.00E+00;5.16E-07;-2.20E+01;-6.43E-07;;;;5.163E-07;6.4316E-07
3.20E+04;1.00E+00;5.25E-07;-2.15E+01;-6.08E-07;;;;5.2486E-07;6.0846E-07
3.25E+04;1.00E+00;5.71E-07;-2.10E+01;-4.27E-07;;;;5.7139E-07;4.2703E-07
3.30E+04;1.00E+00;6.15E-07;-2.05E+01;-3.69E-07;;;;6.1477E-07;3.6867E-07
3.35E+04;1.00E+00;7.42E-07;-2.00E+01;-4.93E-07;;;;7.4194E-07;4.9341E-07
3.40E+04;1.00E+00;7.66E-07;-1.95E+01;-5.10E-07;;;;7.6646E-07;5.1037E-07
3.45E+04;1.00E+00;9.34E-07;-1.90E+01;-5.11E-07;;;;9.3423E-07;5.1088E-07
3.50E+04;1.00E+00;8.64E-07;-1.85E+01;-4.16E-07;;;;8.6394E-07;4.1625E-07
3.55E+04;1.00E+00;9.84E-07;-1.80E+01;-2.40E-07;;;;9.8399E-07;2.4013E-07
3.60E+04;1.00E+00;1.10E-06;-1.75E+01;-3.87E-07;;;;1.0976E-06;3.8716E-07
3.65E+04;1.00E+00;1.11E-06;-1.70E+01;-5.44E-07;;;;1.1085E-06;5.4426E-07
3.70E+04;1.00E+00;1.11E-06;-1.65E+01;-1.03E-07;;;;0.000001109;1.0322E-07
3.80E+04;1.00E+00;1.22E-06;-1.60E+01;-1.77E-07;;;;0.000001221;1.7652E-07
3.85E+04;1.00E+00;1.35E-06;-1.55E+01;-1.84E-07;;;;1.3528E-06;1.8395E-07
3.90E+04;1.00E+00;1.43E-06;-1.50E+01;-2.08E-07;;;;1.4309E-06;2.0846E-07
3.95E+04;1.00E+00;1.71E-06;-1.45E+01;-1.12E-07;;;;1.7129E-06;1.1223E-07
4.00E+04;1.00E+00;1.64E-06;-1.40E+01;-1.05E-06;;;;1.6387E-06;1.0532E-06
4.05E+04;1.00E+00;1.70E-06;-1.35E+01;-7.85E-08;;;;1.6955E-06;7.8466E-08
4.10E+04;1.00E+00;1.82E-06;-1.30E+01;-6.15E-08;;;;1.8191E-06;6.1508E-08
4.15E+04;1.00E+00;1.94E-06;-1.25E+01;-6.07E-08;;;;1.9362E-06;6.0704E-08
4.20E+04;1.00E+00;2.07E-06;-1.20E+01;-6.27E-08;;;;2.0744E-06;6.2748E-08
4.25E+04;1.00E+00;2.23E-06;-1.15E+01;-6.69E-08;;;;2.2313E-06;6.6942E-08
4.30E+04;1.00E+00;2.38E-06;-1.10E+01;-7.31E-08;;;;2.3756E-06;7.3064E-08
4.35E+04;1.00E+00;2.51E-06;-1.05E+01;-6.48E-08;;;;2.5126E-06;6.4832E-08
4.40E+04;1.00E+00;2.65E-06;-1.00E+01;-4.22E-08;;;;2.6467E-06;4.2164E-08
4.45E+04;1.00E+00;2.81E-06;-9.50E+00;-3.71E-08;;;;2.8094E-06;3.7117E-08
4.50E+04;1.00E+00;2.98E-06;-9.00E+00;-3.23E-08;;;;2.9824E-06;3.2337E-08
4.55E+04;1.00E+00;3.15E-06;-8.50E+00;-3.05E-08;;;;3.1538E-06;3.0519E-08
4.60E+04;1.00E+00;3.34E-06;-8.00E+00;-2.32E-08;;;;3.3355E-06;2.3195E-08
4.65E+04;1.00E+00;3.52E-06;-7.50E+00;-2.01E-08;;;;3.5212E-06;2.0094E-08
4.70E+04;1.00E+00;3.71E-06;-7.00E+00;-1.88E-08;;;;3.7134E-06;1.8836E-08
4.75E+04;1.00E+00;3.92E-06;-6.50E+00;-1.27E-08;;;;0.000003918;1.2663E-08
4.80E+04;1.00E+00;4.13E-06;-6.00E+00;-9.37E-09;;;;4.1294E-06;9.3663E-09
4.85E+04;1.00E+00;4.35E-06;-5.50E+00;-8.55E-09;;;;4.3513E-06;8.5473E-09
4.90E+04;1.00E+00;4.57E-06;-5.00E+00;-4.43E-09;;;;4.5734E-06;4.4321E-09
4.95E+04;1.00E+00;4.82E-06;-4.50E+00;-3.48E-09;;;;4.8161E-06;3.4791E-09
5.00E+04;1.00E+00;5.05E-06;-4.00E+00;-1.03E-09;;;;5.0512E-06;1.0332E-09
