File Name: 02_Sample4_device1_trfSat_dark_hor_connector.dat
File Data: 16/11/2023	14:25:11
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.3430E-5	-5.0000E+1	-8.1050E-12
1.0000E+3	1.0000E+0	1.3439E-5	-4.9500E+1	-5.1618E-13
1.5000E+3	1.0000E+0	1.3439E-5	-4.9000E+1	-4.5419E-13
2.0000E+3	1.0000E+0	1.3426E-5	-4.8500E+1	-8.2493E-13
2.5000E+3	1.0000E+0	1.3444E-5	-4.8000E+1	-7.5340E-13
3.0000E+3	1.0000E+0	1.3445E-5	-4.7500E+1	-7.6055E-13
3.5000E+3	1.0000E+0	1.3427E-5	-4.7000E+1	-5.5432E-13
4.0000E+3	1.0000E+0	1.3444E-5	-4.6500E+1	-9.0122E-13
4.5000E+3	1.0000E+0	1.3424E-5	-4.6000E+1	-7.6771E-13
5.0000E+3	1.0000E+0	1.3408E-5	-4.5500E+1	-6.9261E-13
5.5000E+3	1.0000E+0	1.3381E-5	-4.5000E+1	-2.2769E-13
6.0000E+3	1.0000E+0	1.3409E-5	-4.4500E+1	-6.2943E-13
6.5000E+3	1.0000E+0	1.3408E-5	-4.4000E+1	-8.4519E-13
7.0000E+3	1.0000E+0	1.3401E-5	-4.3500E+1	-6.3658E-13
7.5000E+3	1.0000E+0	1.3416E-5	-4.3000E+1	-7.4148E-13
8.0000E+3	1.0000E+0	1.3414E-5	-4.2500E+1	-5.2690E-13
8.5000E+3	1.0000E+0	1.3411E-5	-4.2000E+1	-4.2677E-13
9.0000E+3	1.0000E+0	1.3381E-5	-4.1500E+1	-1.0943E-12
9.5000E+3	1.0000E+0	1.3404E-5	-4.1000E+1	-6.6042E-13
1.0000E+4	1.0000E+0	1.3395E-5	-4.0500E+1	-5.3287E-13
1.0500E+4	1.0000E+0	1.3408E-5	-4.0000E+1	-4.5061E-13
1.1000E+4	1.0000E+0	1.3410E-5	-3.9500E+1	-7.0929E-13
1.1500E+4	1.0000E+0	1.3433E-5	-3.9000E+1	-9.9778E-13
1.2000E+4	1.0000E+0	1.3451E-5	-3.8500E+1	-6.6400E-13
1.2500E+4	1.0000E+0	1.3426E-5	-3.8000E+1	-4.7803E-13
1.3000E+4	1.0000E+0	1.3439E-5	-3.7500E+1	-4.4107E-14
1.3500E+4	1.0000E+0	1.3429E-5	-3.7000E+1	-4.3631E-13
1.4000E+4	1.0000E+0	1.3442E-5	-3.6500E+1	6.7353E-13
1.4500E+4	1.0000E+0	1.3436E-5	-3.6000E+1	-2.9552E-12
1.5000E+4	1.0000E+0	1.3433E-5	-3.5500E+1	-3.5286E-13
1.5500E+4	1.0000E+0	1.3429E-5	-3.5000E+1	-9.3579E-13
1.6000E+4	1.0000E+0	0.0000E+0	-3.4500E+1	0.0000E+0
