File Name: 03_Samplòe4_device1_trfSat_dark_hor.dat
File Data: 16/11/2023	15:33:45
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.1247E-11	-5.0000E+1	-1.0931E-10
1.0000E+3	1.0000E+0	3.7015E-12	-4.9500E+1	-4.3348E-11
1.5000E+3	1.0000E+0	-1.7805E-11	-4.9000E+1	2.0895E-11
2.0000E+3	1.0000E+0	-1.7567E-11	-4.8500E+1	2.5561E-11
2.5000E+3	1.0000E+0	-1.6338E-11	-4.8000E+1	2.8677E-11
3.0000E+3	1.0000E+0	-1.2682E-11	-4.7500E+1	3.2125E-11
3.5000E+3	1.0000E+0	-6.4206E-12	-4.7000E+1	3.3863E-11
4.0000E+3	1.0000E+0	6.5708E-12	-4.6500E+1	3.5962E-11
4.5000E+3	1.0000E+0	2.9644E-11	-4.6000E+1	3.7621E-11
5.0000E+3	1.0000E+0	7.4635E-11	-4.5500E+1	3.8621E-11
5.5000E+3	1.0000E+0	1.6027E-10	-4.5000E+1	4.0115E-11
6.0000E+3	1.0000E+0	3.1035E-10	-4.4500E+1	4.1368E-11
6.5000E+3	1.0000E+0	5.4275E-10	-4.4000E+1	4.2295E-11
7.0000E+3	1.0000E+0	9.0994E-10	-4.3500E+1	4.3403E-11
7.5000E+3	1.0000E+0	1.4972E-9	-4.3000E+1	4.4304E-11
8.0000E+3	1.0000E+0	2.4144E-9	-4.2500E+1	4.4656E-11
8.5000E+3	1.0000E+0	3.7341E-9	-4.2000E+1	4.5376E-11
9.0000E+3	1.0000E+0	5.5920E-9	-4.1500E+1	4.6392E-11
9.5000E+3	1.0000E+0	8.0155E-9	-4.1000E+1	4.6738E-11
1.0000E+4	1.0000E+0	1.1461E-8	-4.0500E+1	4.7276E-11
1.0500E+4	1.0000E+0	1.5901E-8	-4.0000E+1	4.8267E-11
1.1000E+4	1.0000E+0	2.1734E-8	-3.9500E+1	4.8658E-11
1.1500E+4	1.0000E+0	3.0328E-8	-3.9000E+1	4.9070E-11
1.2000E+4	1.0000E+0	4.0841E-8	-3.8500E+1	4.9337E-11
1.2500E+4	1.0000E+0	5.4664E-8	-3.8000E+1	5.0143E-11
1.3000E+4	1.0000E+0	7.0864E-8	-3.7500E+1	5.0572E-11
1.3500E+4	1.0000E+0	9.3000E-8	-3.7000E+1	5.1035E-11
1.4000E+4	1.0000E+0	1.1718E-7	-3.6500E+1	5.1334E-11
1.4500E+4	1.0000E+0	1.4499E-7	-3.6000E+1	6.3038E-11
1.5000E+4	1.0000E+0	1.7855E-7	-3.5500E+1	4.6325E-11
1.5500E+4	1.0000E+0	2.1691E-7	-3.5000E+1	4.2133E-10
1.6000E+4	1.0000E+0	2.5691E-7	-3.4500E+1	5.3133E-11
1.6500E+4	1.0000E+0	3.0783E-7	-3.4000E+1	5.3388E-11
1.7000E+4	1.0000E+0	3.6570E-7	-3.3500E+1	5.3330E-11
1.7500E+4	1.0000E+0	4.2587E-7	-3.3000E+1	5.3588E-11
1.8000E+4	1.0000E+0	4.9651E-7	-3.2500E+1	5.3370E-11
1.8500E+4	1.0000E+0	5.7414E-7	-3.2000E+1	5.3811E-11
1.9000E+4	1.0000E+0	6.6252E-7	-3.1500E+1	5.4106E-11
1.9500E+4	1.0000E+0	7.5837E-7	-3.1000E+1	5.4556E-11
2.0000E+4	1.0000E+0	8.5753E-7	-3.0500E+1	5.4842E-11
2.0500E+4	1.0000E+0	9.6722E-7	-3.0000E+1	5.4721E-11
2.1000E+4	1.0000E+0	1.0897E-6	-2.9500E+1	5.5158E-11
2.1500E+4	1.0000E+0	1.2091E-6	-2.9000E+1	6.6467E-11
2.2000E+4	1.0000E+0	1.3471E-6	-2.8500E+1	5.5292E-11
2.2500E+4	1.0000E+0	1.4878E-6	-2.8000E+1	5.5581E-11
2.3000E+4	1.0000E+0	1.6496E-6	-2.7500E+1	5.5727E-11
2.3500E+4	1.0000E+0	1.8137E-6	-2.7000E+1	5.6042E-11
2.4000E+4	1.0000E+0	1.9836E-6	-2.6500E+1	5.7150E-11
2.4500E+4	1.0000E+0	2.1834E-6	-2.6000E+1	5.8744E-11
2.5000E+4	1.0000E+0	2.3764E-6	-2.5500E+1	5.5931E-11
