File Name: 04_Sample4_device1_It_150kV_VDrain1V_VGate1V_foil.dat
File Data: 16/11/2023	15:41:31
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.5718E-5	1.0000E+0	6.7127E-12
1.0000E+3	1.0000E+0	1.5641E-5	1.0000E+0	5.2810E-12
1.5000E+3	1.0000E+0	1.5604E-5	1.0000E+0	5.0390E-12
2.0000E+3	1.0000E+0	1.5598E-5	1.0000E+0	4.7803E-12
2.5000E+3	1.0000E+0	1.5573E-5	1.0000E+0	4.5490E-12
3.0000E+3	1.0000E+0	1.5567E-5	1.0000E+0	4.4203E-12
3.5000E+3	1.0000E+0	1.5505E-5	1.0000E+0	4.3035E-12
4.0000E+3	1.0000E+0	1.5475E-5	1.0000E+0	4.2009E-12
4.5000E+3	1.0000E+0	1.5476E-5	1.0000E+0	4.2117E-12
5.0000E+3	1.0000E+0	1.5445E-5	1.0000E+0	4.0686E-12
5.5000E+3	1.0000E+0	1.5432E-5	1.0000E+0	3.9446E-12
6.0000E+3	1.0000E+0	1.5405E-5	1.0000E+0	3.8791E-12
6.5000E+3	1.0000E+0	1.5351E-5	1.0000E+0	3.7909E-12
7.0000E+3	1.0000E+0	1.5333E-5	1.0000E+0	3.8397E-12
7.5000E+3	1.0000E+0	1.5310E-5	1.0000E+0	3.8195E-12
8.0000E+3	1.0000E+0	1.5302E-5	1.0000E+0	3.7909E-12
8.5000E+3	1.0000E+0	1.5250E-5	1.0000E+0	3.8123E-12
9.0000E+3	1.0000E+0	1.5220E-5	1.0000E+0	3.6633E-12
9.5000E+3	1.0000E+0	1.5209E-5	1.0000E+0	3.6800E-12
1.0000E+4	1.0000E+0	1.5179E-5	1.0000E+0	3.6645E-12
1.0500E+4	1.0000E+0	1.5145E-5	1.0000E+0	3.7551E-12
1.1000E+4	1.0000E+0	1.5130E-5	1.0000E+0	3.5465E-12
1.1500E+4	1.0000E+0	1.5101E-5	1.0000E+0	3.4916E-12
1.2000E+4	1.0000E+0	1.5094E-5	1.0000E+0	3.4320E-12
1.2500E+4	1.0000E+0	1.5074E-5	1.0000E+0	3.5119E-12
1.3000E+4	1.0000E+0	1.5074E-5	1.0000E+0	3.4368E-12
1.3500E+4	1.0000E+0	1.5039E-5	1.0000E+0	3.4463E-12
1.4000E+4	1.0000E+0	1.4987E-5	1.0000E+0	3.6502E-12
1.4500E+4	1.0000E+0	1.4969E-5	1.0000E+0	3.4141E-12
1.5000E+4	1.0000E+0	1.4975E-5	1.0000E+0	3.3140E-12
1.5500E+4	1.0000E+0	1.4958E-5	1.0000E+0	3.3772E-12
1.6000E+4	1.0000E+0	1.4959E-5	1.0000E+0	3.3677E-12
1.6500E+4	1.0000E+0	1.4925E-5	1.0000E+0	3.3903E-12
1.7000E+4	1.0000E+0	1.4917E-5	1.0000E+0	3.3546E-12
1.7500E+4	1.0000E+0	1.4932E-5	1.0000E+0	3.2532E-12
1.8000E+4	1.0000E+0	1.4914E-5	1.0000E+0	3.3009E-12
1.8500E+4	1.0000E+0	1.4916E-5	1.0000E+0	3.2735E-12
1.9000E+4	1.0000E+0	1.4897E-5	1.0000E+0	3.3009E-12
1.9500E+4	1.0000E+0	1.4870E-5	1.0000E+0	3.2198E-12
2.0000E+4	1.0000E+0	1.4845E-5	1.0000E+0	3.2234E-12
2.0500E+4	1.0000E+0	1.4835E-5	1.0000E+0	3.3021E-12
2.1000E+4	1.0000E+0	1.4805E-5	1.0000E+0	3.2568E-12
2.1500E+4	1.0000E+0	1.4777E-5	1.0000E+0	3.4833E-12
2.2000E+4	1.0000E+0	1.4739E-5	1.0000E+0	3.4201E-12
