File Name: 10_Sample4_device1_trfSat_dark_hor.dat;;;;;;;
File Data: 17/11/2023;9:56:54;;;;;;
Start V: 0;;;;;;;
Step V: 0;;;;;;;
Stop V: 0;;;;;;;
Range V: 200;;;;;;;
Delay(ms): 0;;;;;;;
Auorange: yes;;;;;;;
Sweep type: log;;;;;;;
Instrument Meter: SM2614;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;1.02E-10;-5.00E+01;-2.48E-10;;1.0154E-10;2.4805E-10
1.00E+03;1.00E+00;8.42E-13;-4.95E+01;-8.13E-11;;8.4162E-13;8.1266E-11
1.50E+03;1.00E+00;-2.42E-11;-4.90E+01;8.70E-12;;2.4155E-11;8.6999E-12
2.00E+03;1.00E+00;-2.51E-11;-4.85E+01;1.63E-11;;2.5145E-11;1.6283E-11
2.50E+03;1.00E+00;-2.59E-11;-4.80E+01;2.19E-11;;2.5916E-11;2.1872E-11
3.00E+03;1.00E+00;-2.64E-11;-4.75E+01;2.60E-11;;2.6442E-11;2.6029E-11
3.50E+03;1.00E+00;-2.70E-11;-4.70E+01;3.07E-11;;2.6981E-11;3.0667E-11
4.00E+03;1.00E+00;-2.72E-11;-4.65E+01;3.33E-11;;2.7205E-11;3.3283E-11
4.50E+03;1.00E+00;-2.75E-11;-4.60E+01;3.47E-11;;2.753E-11;3.4749E-11
5.00E+03;1.00E+00;-2.77E-11;-4.55E+01;3.79E-11;;2.7663E-11;3.7949E-11
5.50E+03;1.00E+00;-2.78E-11;-4.50E+01;4.01E-11;;2.7835E-11;4.0051E-11
6.00E+03;1.00E+00;-2.81E-11;-4.45E+01;4.23E-11;;2.8145E-11;4.2267E-11
6.50E+03;1.00E+00;-2.81E-11;-4.40E+01;4.36E-11;;2.8149E-11;4.3591E-11
7.00E+03;1.00E+00;-2.84E-11;-4.35E+01;4.55E-11;;2.8427E-11;4.5534E-11
