File Name: 23_Sample6_device1_It_150kV_500uA_VDrain1V_VGate-1V.dat
File Data: 17/11/2023	14:41:59
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.3543E-8	-5.0000E+0	-6.5223E-11
1.0000E+3	1.0000E+0	1.4204E-8	-5.0000E+0	-5.3445E-11
1.5000E+3	1.0000E+0	1.4607E-8	-5.0000E+0	-5.0579E-11
2.0000E+3	1.0000E+0	1.5012E-8	-5.0000E+0	-4.8605E-11
2.5000E+3	1.0000E+0	1.5272E-8	-5.0000E+0	-4.7268E-11
3.0000E+3	1.0000E+0	1.5398E-8	-5.0000E+0	-4.5572E-11
3.5000E+3	1.0000E+0	1.5700E-8	-5.0000E+0	-4.4362E-11
4.0000E+3	1.0000E+0	1.5746E-8	-5.0000E+0	-4.3420E-11
4.5000E+3	1.0000E+0	1.6002E-8	-5.0000E+0	-4.2330E-11
5.0000E+3	1.0000E+0	1.6195E-8	-5.0000E+0	-4.2506E-11
5.5000E+3	1.0000E+0	1.6369E-8	-5.0000E+0	-4.2422E-11
6.0000E+3	1.0000E+0	1.6726E-8	-5.0000E+0	-4.1488E-11
6.5000E+3	1.0000E+0	1.6827E-8	-5.0000E+0	-4.1122E-11
7.0000E+3	1.0000E+0	1.7035E-8	-5.0000E+0	-4.0797E-11
7.5000E+3	1.0000E+0	1.7086E-8	-5.0000E+0	-4.0629E-11
8.0000E+3	1.0000E+0	1.7033E-8	-5.0000E+0	-4.0685E-11
8.5000E+3	1.0000E+0	1.7314E-8	-5.0000E+0	-4.1009E-11
9.0000E+3	1.0000E+0	1.7472E-8	-5.0000E+0	-4.0057E-11
9.5000E+3	1.0000E+0	1.7610E-8	-5.0000E+0	-4.0116E-11
1.0000E+4	1.0000E+0	1.7736E-8	-5.0000E+0	-3.9251E-11
1.0500E+4	1.0000E+0	1.8038E-8	-5.0000E+0	-3.9421E-11
1.1000E+4	1.0000E+0	1.8029E-8	-5.0000E+0	-3.9671E-11
