File Name: 36_Sample6_device1_trfSat_dark_finish.dat;;;;;;;;
File Data: 21/11/2023;11:07:10;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;1.63E-10;-5.00E+01;-3.75E-10;;;1.6313E-10;3.7494E-10
1.00E+03;1.00E+00;9.18E-11;-4.95E+01;-2.65E-10;;;9.1766E-11;2.6461E-10
1.50E+03;1.00E+00;4.70E-11;-4.90E+01;-1.76E-10;;;4.6979E-11;1.7584E-10
2.00E+03;1.00E+00;3.24E-11;-4.85E+01;-2.40E-10;;;3.2448E-11;2.3954E-10
2.50E+03;1.00E+00;2.21E-11;-4.80E+01;-3.10E-10;;;2.2147E-11;3.1023E-10
3.00E+03;1.00E+00;1.56E-11;-4.75E+01;-3.18E-10;;;1.5608E-11;3.1781E-10
3.50E+03;1.00E+00;9.57E-12;-4.70E+01;-3.18E-10;;;9.5689E-12;3.1825E-10
4.00E+03;1.00E+00;5.60E-12;-4.65E+01;-3.20E-10;;;5.604E-12;3.1997E-10
4.50E+03;1.00E+00;1.76E-12;-4.60E+01;-3.24E-10;;;1.7619E-12;3.2366E-10
5.00E+03;1.00E+00;4.36E-12;-4.55E+01;-2.81E-10;;;4.3559E-12;2.8098E-10
5.50E+03;1.00E+00;-1.93E-11;-4.50E+01;-1.15E-10;;;1.9267E-11;1.1509E-10
6.00E+03;1.00E+00;-6.32E-12;-4.45E+01;-2.73E-10;;;6.3217E-12;2.7324E-10
6.50E+03;1.00E+00;-8.08E-12;-4.40E+01;-2.59E-10;;;8.0752E-12;2.5895E-10
7.00E+03;1.00E+00;-9.39E-12;-4.35E+01;-2.46E-10;;;9.3854E-12;2.4615E-10
7.50E+03;1.00E+00;-1.11E-11;-4.30E+01;-2.18E-10;;;1.1137E-11;2.1788E-10
8.00E+03;1.00E+00;-1.21E-11;-4.25E+01;-2.15E-10;;;1.2127E-11;2.1501E-10
8.50E+03;1.00E+00;-1.33E-11;-4.20E+01;-2.14E-10;;;1.3307E-11;2.1386E-10
9.00E+03;1.00E+00;-1.45E-11;-4.15E+01;-2.05E-10;;;1.4541E-11;2.0543E-10
9.50E+03;1.00E+00;-1.52E-11;-4.10E+01;-1.91E-10;;;1.5191E-11;1.9096E-10
1.00E+04;1.00E+00;-1.60E-11;-4.05E+01;-1.95E-10;;;1.5999E-11;1.9519E-10
1.05E+04;1.00E+00;-1.66E-11;-4.00E+01;-1.75E-10;;;1.6612E-11;1.752E-10
1.10E+04;1.00E+00;-1.70E-11;-3.95E+01;-1.66E-10;;;1.6959E-11;1.6611E-10
1.15E+04;1.00E+00;-1.75E-11;-3.90E+01;-1.61E-10;;;1.7533E-11;1.6056E-10
1.20E+04;1.00E+00;-1.78E-11;-3.85E+01;-1.59E-10;;;1.7765E-11;1.59E-10
1.25E+04;1.00E+00;-1.81E-11;-3.80E+01;-1.54E-10;;;1.809E-11;1.5421E-10
1.30E+04;1.00E+00;-1.82E-11;-3.75E+01;-1.49E-10;;;1.8214E-11;1.4904E-10
1.35E+04;1.00E+00;-1.80E-11;-3.70E+01;-1.37E-10;;;1.8033E-11;1.3731E-10
1.40E+04;1.00E+00;-1.80E-11;-3.65E+01;-1.35E-10;;;1.7983E-11;1.3537E-10
1.45E+04;1.00E+00;-1.76E-11;-3.60E+01;-1.38E-10;;;1.7552E-11;1.3776E-10
1.50E+04;1.00E+00;-1.69E-11;-3.55E+01;-1.27E-10;;;1.6919E-11;1.2702E-10
1.55E+04;1.00E+00;-1.60E-11;-3.50E+01;-1.28E-10;;;1.598E-11;1.2807E-10
1.60E+04;1.00E+00;-1.47E-11;-3.45E+01;-1.23E-10;;;1.4696E-11;1.2317E-10
1.65E+04;1.00E+00;-1.28E-11;-3.40E+01;-8.40E-11;;;1.2792E-11;8.3969E-11
1.70E+04;1.00E+00;-1.04E-11;-3.35E+01;-3.88E-11;;;1.037E-11;3.8838E-11
1.75E+04;1.00E+00;-7.27E-12;-3.30E+01;-3.30E-11;;;7.2658E-12;3.2982E-11
1.80E+04;1.00E+00;-3.36E-12;-3.25E+01;-3.03E-11;;;3.3605E-12;3.0295E-11
1.85E+04;1.00E+00;1.78E-12;-3.20E+01;-2.62E-11;;;1.7798E-12;2.6243E-11
1.90E+04;1.00E+00;7.92E-12;-3.15E+01;-2.39E-11;;;7.9179E-12;2.3863E-11
1.95E+04;1.00E+00;1.55E-11;-3.10E+01;-2.06E-11;;;1.5479E-11;2.057E-11
2.00E+04;1.00E+00;3.02E-11;-3.05E+01;-1.88E-11;;;3.0184E-11;1.8758E-11
2.05E+04;1.00E+00;3.41E-11;-3.00E+01;1.10E-11;;;3.4077E-11;1.0984E-11
2.10E+04;1.00E+00;4.12E-11;-2.95E+01;1.32E-11;;;4.117E-11;1.323E-11
2.15E+04;1.00E+00;6.54E-11;-2.90E+01;-9.94E-12;;;6.5402E-11;9.9373E-12
