File Name: 03_Sample6_device5_It_150kV_300uA_VDrain1V_VGate20V.dat
File Data: 21/11/2023	11:49:00
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	7.4486E-7	2.0000E+1	7.0270E-11
1.0000E+3	1.0000E+0	6.8929E-7	2.0000E+1	7.9886E-11
1.5000E+3	1.0000E+0	6.6713E-7	2.0000E+1	7.6138E-11
2.0000E+3	1.0000E+0	6.4554E-7	2.0000E+1	7.3320E-11
2.5000E+3	1.0000E+0	6.5180E-7	2.0000E+1	7.2290E-11
3.0000E+3	1.0000E+0	6.3625E-7	2.0000E+1	7.0474E-11
3.5000E+3	1.0000E+0	6.2206E-7	2.0000E+1	6.9865E-11
4.0000E+3	1.0000E+0	6.1312E-7	2.0000E+1	6.9208E-11
4.5000E+3	1.0000E+0	5.9793E-7	2.0000E+1	6.8578E-11
5.0000E+3	1.0000E+0	5.8640E-7	2.0000E+1	6.7326E-11
5.5000E+3	1.0000E+0	5.8802E-7	2.0000E+1	6.6822E-11
6.0000E+3	1.0000E+0	5.8546E-7	2.0000E+1	6.6214E-11
6.5000E+3	1.0000E+0	5.8158E-7	2.0000E+1	6.4842E-11
7.0000E+3	1.0000E+0	5.7447E-7	2.0000E+1	6.4793E-11
7.5000E+3	1.0000E+0	5.7422E-7	2.0000E+1	6.4726E-11
8.0000E+3	1.0000E+0	5.7222E-7	2.0000E+1	6.4608E-11
8.5000E+3	1.0000E+0	5.6592E-7	2.0000E+1	6.3634E-11
9.0000E+3	1.0000E+0	5.6103E-7	2.0000E+1	6.3430E-11
9.5000E+3	1.0000E+0	5.6316E-7	2.0000E+1	6.3342E-11
1.0000E+4	1.0000E+0	5.6241E-7	2.0000E+1	6.2925E-11
1.0500E+4	1.0000E+0	5.6357E-7	2.0000E+1	6.2591E-11
1.1000E+4	1.0000E+0	5.5647E-7	2.0000E+1	6.2041E-11
1.1500E+4	1.0000E+0	5.4081E-7	2.0000E+1	6.1728E-11
1.2000E+4	1.0000E+0	5.5400E-7	2.0000E+1	6.1411E-11
1.2500E+4	1.0000E+0	5.4886E-7	2.0000E+1	6.0868E-11
1.3000E+4	1.0000E+0	5.5043E-7	2.0000E+1	6.1091E-11
1.3500E+4	1.0000E+0	5.4756E-7	2.0000E+1	6.0370E-11
1.4000E+4	1.0000E+0	5.4746E-7	2.0000E+1	6.0116E-11
1.4500E+4	1.0000E+0	5.3387E-7	2.0000E+1	6.0418E-11
1.5000E+4	1.0000E+0	5.2857E-7	2.0000E+1	5.9609E-11
1.5500E+4	1.0000E+0	5.2952E-7	2.0000E+1	5.9226E-11
1.6000E+4	1.0000E+0	5.2722E-7	2.0000E+1	5.9084E-11
1.6500E+4	1.0000E+0	5.2037E-7	2.0000E+1	5.8871E-11
1.7000E+4	1.0000E+0	5.2317E-7	2.0000E+1	5.8601E-11
1.7500E+4	1.0000E+0	5.1683E-7	2.0000E+1	5.8309E-11
1.8000E+4	1.0000E+0	5.0852E-7	2.0000E+1	5.8502E-11
1.8500E+4	1.0000E+0	5.0728E-7	2.0000E+1	5.8533E-11
1.9000E+4	1.0000E+0	5.0779E-7	2.0000E+1	5.8047E-11
1.9500E+4	1.0000E+0	4.9820E-7	2.0000E+1	5.7992E-11
2.0000E+4	1.0000E+0	5.0010E-7	2.0000E+1	5.7939E-11
2.0500E+4	1.0000E+0	4.9631E-7	2.0000E+1	5.7749E-11
2.1000E+4	1.0000E+0	5.0337E-7	2.0000E+1	5.7274E-11
2.1500E+4	1.0000E+0	5.0875E-7	2.0000E+1	5.7045E-11
2.2000E+4	1.0000E+0	5.0350E-7	2.0000E+1	5.7242E-11
2.2500E+4	1.0000E+0	4.8845E-7	2.0000E+1	5.7254E-11
2.3000E+4	1.0000E+0	5.0568E-7	2.0000E+1	5.7679E-11
2.3500E+4	1.0000E+0	4.8448E-7	2.0000E+1	5.7142E-11
2.4000E+4	1.0000E+0	4.7761E-7	2.0000E+1	5.6889E-11
2.4500E+4	1.0000E+0	4.7932E-7	2.0000E+1	5.6814E-11
2.5000E+4	1.0000E+0	4.8101E-7	2.0000E+1	5.6754E-11
2.5500E+4	1.0000E+0	4.7482E-7	2.0000E+1	5.6531E-11
2.6000E+4	1.0000E+0	4.7725E-7	2.0000E+1	5.7102E-11
2.6500E+4	1.0000E+0	4.7709E-7	2.0000E+1	5.6820E-11
2.7000E+4	1.0000E+0	4.7659E-7	2.0000E+1	5.6921E-11
2.7500E+4	1.0000E+0	4.7433E-7	2.0000E+1	5.6858E-11
2.8000E+4	1.0000E+0	4.8221E-7	2.0000E+1	5.6410E-11
2.8500E+4	1.0000E+0	4.7592E-7	2.0000E+1	5.6856E-11
2.9000E+4	1.0000E+0	4.7769E-7	2.0000E+1	5.6745E-11
2.9500E+4	1.0000E+0	4.8342E-7	2.0000E+1	5.6472E-11
3.0000E+4	1.0000E+0	4.8320E-7	2.0000E+1	5.6961E-11
3.0500E+4	1.0000E+0	4.8837E-7	2.0000E+1	5.6782E-11
3.1000E+4	1.0000E+0	4.7990E-7	2.0000E+1	5.7164E-11
3.1500E+4	1.0000E+0	4.8166E-7	2.0000E+1	5.6586E-11
3.2000E+4	1.0000E+0	4.7761E-7	2.0000E+1	5.6583E-11
3.2500E+4	1.0000E+0	4.7513E-7	2.0000E+1	5.6456E-11
3.3000E+4	1.0000E+0	4.7377E-7	2.0000E+1	5.6574E-11
3.3500E+4	1.0000E+0	4.7500E-7	2.0000E+1	5.6218E-11
3.4000E+4	1.0000E+0	4.6868E-7	2.0000E+1	5.6062E-11
3.4500E+4	1.0000E+0	4.6287E-7	2.0000E+1	5.6644E-11
3.5000E+4	1.0000E+0	4.6269E-7	2.0000E+1	5.6726E-11
3.5500E+4	1.0000E+0	4.6150E-7	2.0000E+1	5.5959E-11
3.6000E+4	1.0000E+0	4.5894E-7	2.0000E+1	5.6367E-11
3.6500E+4	1.0000E+0	4.6898E-7	2.0000E+1	5.6763E-11
3.7000E+4	1.0000E+0	4.5837E-7	2.0000E+1	5.6338E-11
3.7500E+4	1.0000E+0	4.6047E-7	2.0000E+1	5.6254E-11
3.8000E+4	1.0000E+0	4.5702E-7	2.0000E+1	5.6384E-11
3.8500E+4	1.0000E+0	4.5823E-7	2.0000E+1	5.6057E-11
3.9000E+4	1.0000E+0	4.5320E-7	2.0000E+1	5.6070E-11
3.9500E+4	1.0000E+0	4.6027E-7	2.0000E+1	5.6566E-11
4.0000E+4	1.0000E+0	4.5793E-7	2.0000E+1	5.6685E-11
4.0500E+4	1.0000E+0	4.5658E-7	2.0000E+1	5.6037E-11
4.1000E+4	1.0000E+0	4.6041E-7	2.0000E+1	5.5873E-11
4.1500E+4	1.0000E+0	4.6357E-7	2.0000E+1	5.5833E-11
4.2000E+4	1.0000E+0	4.6177E-7	2.0000E+1	5.5975E-11
4.2500E+4	1.0000E+0	4.5884E-7	2.0000E+1	5.6297E-11
4.3000E+4	1.0000E+0	4.5105E-7	2.0000E+1	5.5978E-11
4.3500E+4	1.0000E+0	4.6108E-7	2.0000E+1	5.5604E-11
4.4000E+4	1.0000E+0	4.5435E-7	2.0000E+1	5.6227E-11
4.4500E+4	1.0000E+0	4.5599E-7	2.0000E+1	5.6664E-11
4.5000E+4	1.0000E+0	4.5491E-7	2.0000E+1	5.6708E-11
4.5500E+4	1.0000E+0	4.6112E-7	2.0000E+1	5.6193E-11
4.6000E+4	1.0000E+0	4.4878E-7	2.0000E+1	5.5884E-11
4.6500E+4	1.0000E+0	4.5137E-7	2.0000E+1	5.5913E-11
4.7000E+4	1.0000E+0	4.5753E-7	2.0000E+1	5.5957E-11
4.7500E+4	1.0000E+0	4.5450E-7	2.0000E+1	5.6132E-11
4.8000E+4	1.0000E+0	4.5509E-7	2.0000E+1	5.5970E-11
4.8500E+4	1.0000E+0	4.4849E-7	2.0000E+1	5.5367E-11
4.9000E+4	1.0000E+0	4.4880E-7	2.0000E+1	5.5646E-11
4.9500E+4	1.0000E+0	4.4455E-7	2.0000E+1	5.5423E-11
5.0000E+4	1.0000E+0	4.4930E-7	2.0000E+1	5.5555E-11
5.0500E+4	1.0000E+0	4.5875E-7	2.0000E+1	5.5660E-11
5.1000E+4	1.0000E+0	4.6144E-7	2.0000E+1	5.5778E-11
5.1500E+4	1.0000E+0	4.5736E-7	2.0000E+1	5.5072E-11
5.2000E+4	1.0000E+0	4.6014E-7	2.0000E+1	5.5133E-11
5.2500E+4	1.0000E+0	4.5165E-7	2.0000E+1	5.5661E-11
5.3000E+4	1.0000E+0	4.4955E-7	2.0000E+1	5.5526E-11
5.3500E+4	1.0000E+0	4.4997E-7	2.0000E+1	5.5377E-11
5.4000E+4	1.0000E+0	4.5490E-7	2.0000E+1	5.5431E-11
5.4500E+4	1.0000E+0	4.5504E-7	2.0000E+1	5.5810E-11
5.5000E+4	1.0000E+0	4.6089E-7	2.0000E+1	5.5106E-11
5.5500E+4	1.0000E+0	4.6299E-7	2.0000E+1	5.6153E-11
5.6000E+4	1.0000E+0	4.5479E-7	2.0000E+1	5.6051E-11
5.6500E+4	1.0000E+0	4.5129E-7	2.0000E+1	5.5402E-11
5.7000E+4	1.0000E+0	4.4534E-7	2.0000E+1	5.5145E-11
5.7500E+4	1.0000E+0	4.3982E-7	2.0000E+1	5.5993E-11
5.8000E+4	1.0000E+0	4.4554E-7	2.0000E+1	5.6284E-11
5.8500E+4	1.0000E+0	4.4513E-7	2.0000E+1	5.5869E-11
5.9000E+4	1.0000E+0	4.4621E-7	2.0000E+1	5.6080E-11
5.9500E+4	1.0000E+0	4.4283E-7	2.0000E+1	5.5160E-11
6.0000E+4	1.0000E+0	4.4808E-7	2.0000E+1	5.5741E-11
6.0500E+4	1.0000E+0	4.5693E-7	2.0000E+1	5.5294E-11
6.1000E+4	1.0000E+0	4.5273E-7	2.0000E+1	5.6042E-11
6.1500E+4	1.0000E+0	4.4909E-7	2.0000E+1	5.6099E-11
6.2000E+4	1.0000E+0	4.4311E-7	2.0000E+1	5.5424E-11
6.2500E+4	1.0000E+0	4.4613E-7	2.0000E+1	5.5578E-11
6.3000E+4	1.0000E+0	4.3850E-7	2.0000E+1	5.5581E-11
6.3500E+4	1.0000E+0	4.4236E-7	2.0000E+1	5.5381E-11
6.4000E+4	1.0000E+0	4.4646E-7	2.0000E+1	5.5634E-11
6.4500E+4	1.0000E+0	4.4930E-7	2.0000E+1	5.5116E-11
6.5000E+4	1.0000E+0	4.4209E-7	2.0000E+1	5.6053E-11
6.5500E+4	1.0000E+0	4.4916E-7	2.0000E+1	5.5726E-11
6.6000E+4	1.0000E+0	4.3948E-7	2.0000E+1	5.5865E-11
6.6500E+4	1.0000E+0	4.3576E-7	2.0000E+1	5.5665E-11
6.7000E+4	1.0000E+0	4.4074E-7	2.0000E+1	5.5493E-11
6.7500E+4	1.0000E+0	4.4312E-7	2.0000E+1	5.5778E-11
6.8000E+4	1.0000E+0	4.4112E-7	2.0000E+1	5.6015E-11
6.8500E+4	1.0000E+0	4.4840E-7	2.0000E+1	5.5754E-11
6.9000E+4	1.0000E+0	4.4679E-7	2.0000E+1	5.6034E-11
6.9500E+4	1.0000E+0	4.4680E-7	2.0000E+1	5.5325E-11
7.0000E+4	1.0000E+0	4.4404E-7	2.0000E+1	5.5077E-11
7.0500E+4	1.0000E+0	4.3623E-7	2.0000E+1	5.5767E-11
7.1000E+4	1.0000E+0	4.3287E-7	2.0000E+1	5.4986E-11
7.1500E+4	1.0000E+0	4.3433E-7	2.0000E+1	5.5651E-11
7.2000E+4	1.0000E+0	4.3923E-7	2.0000E+1	5.5540E-11
7.2500E+4	1.0000E+0	4.3472E-7	2.0000E+1	5.5003E-11
7.3000E+4	1.0000E+0	4.3425E-7	2.0000E+1	5.5369E-11
7.3500E+4	1.0000E+0	4.3833E-7	2.0000E+1	5.5680E-11
7.4000E+4	1.0000E+0	4.4241E-7	2.0000E+1	5.5904E-11
7.4500E+4	1.0000E+0	4.3951E-7	2.0000E+1	5.6086E-11
7.5000E+4	1.0000E+0	4.3523E-7	2.0000E+1	5.6032E-11
7.5500E+4	1.0000E+0	4.3900E-7	2.0000E+1	5.5976E-11
7.6000E+4	1.0000E+0	4.4424E-7	2.0000E+1	5.6050E-11
7.6500E+4	1.0000E+0	4.4230E-7	2.0000E+1	5.6040E-11
7.7000E+4	1.0000E+0	4.4317E-7	2.0000E+1	5.5649E-11
