File Name: 00_Sample7_device1_trfSat_dark_begin.dat;;;;;;;;;
File Data: 21/11/2023;12:26:14;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;1.66E-10;-5.00E+01;-1.40E-10;;;;1.6617E-10;1.3965E-10
1.00E+03;1.00E+00;1.09E-10;-4.95E+01;-8.49E-11;;;;1.0884E-10;8.4858E-11
1.50E+03;1.00E+00;7.29E-11;-4.90E+01;-2.26E-12;;;;7.293E-11;2.2554E-12
2.00E+03;1.00E+00;6.85E-11;-4.85E+01;1.07E-11;;;;6.85E-11;1.0676E-11
2.50E+03;1.00E+00;6.47E-11;-4.80E+01;1.54E-11;;;;6.4719E-11;1.5444E-11
3.00E+03;1.00E+00;6.34E-11;-4.75E+01;2.19E-11;;;;6.335E-11;2.1858E-11
3.50E+03;1.00E+00;5.94E-11;-4.70E+01;2.58E-11;;;;5.936E-11;2.5765E-11
4.00E+03;1.00E+00;5.74E-11;-4.65E+01;2.94E-11;;;;5.7418E-11;2.9447E-11
4.50E+03;1.00E+00;5.55E-11;-4.60E+01;3.23E-11;;;;5.5503E-11;3.2299E-11
5.00E+03;1.00E+00;5.49E-11;-4.55E+01;3.42E-11;;;;5.4946E-11;3.4168E-11
5.50E+03;1.00E+00;5.26E-11;-4.50E+01;3.61E-11;;;;5.2553E-11;3.6091E-11
6.00E+03;1.00E+00;5.13E-11;-4.45E+01;3.83E-11;;;;5.1302E-11;3.8288E-11
6.50E+03;1.00E+00;5.05E-11;-4.40E+01;3.94E-11;;;;5.0459E-11;3.9383E-11
7.00E+03;1.00E+00;4.97E-11;-4.35E+01;4.09E-11;;;;4.971E-11;4.0911E-11
7.50E+03;1.00E+00;4.93E-11;-4.30E+01;4.19E-11;;;;4.9334E-11;4.1897E-11
8.00E+03;1.00E+00;4.83E-11;-4.25E+01;4.30E-11;;;;4.8305E-11;4.2994E-11
8.50E+03;1.00E+00;4.77E-11;-4.20E+01;4.36E-11;;;;4.7698E-11;4.3632E-11
9.00E+03;1.00E+00;4.72E-11;-4.15E+01;4.48E-11;;;;4.7222E-11;4.4792E-11
9.50E+03;1.00E+00;4.63E-11;-4.10E+01;4.54E-11;;;;4.6257E-11;4.5425E-11
1.00E+04;1.00E+00;4.60E-11;-4.05E+01;4.62E-11;;;;4.5987E-11;4.6206E-11
1.05E+04;1.00E+00;4.54E-11;-4.00E+01;4.67E-11;;;;4.5377E-11;4.6709E-11
1.10E+04;1.00E+00;4.51E-11;-3.95E+01;4.75E-11;;;;4.5067E-11;4.7528E-11
1.15E+04;1.00E+00;4.50E-11;-3.90E+01;4.79E-11;;;;4.5011E-11;4.794E-11
1.20E+04;1.00E+00;4.47E-11;-3.85E+01;4.86E-11;;;;4.4707E-11;4.8553E-11
1.25E+04;1.00E+00;4.47E-11;-3.80E+01;4.92E-11;;;;4.4659E-11;4.9175E-11
1.30E+04;1.00E+00;4.47E-11;-3.75E+01;4.97E-11;;;;4.47E-11;4.9669E-11
1.35E+04;1.00E+00;4.42E-11;-3.70E+01;4.99E-11;;;;4.4239E-11;4.9949E-11
1.40E+04;1.00E+00;4.41E-11;-3.65E+01;5.02E-11;;;;4.4111E-11;5.0161E-11
1.45E+04;1.00E+00;4.40E-11;-3.60E+01;5.06E-11;;;;4.3997E-11;5.0603E-11
1.50E+04;1.00E+00;4.90E-11;-3.55E+01;4.67E-11;;;;4.8963E-11;4.6749E-11
1.55E+04;1.00E+00;2.82E-11;-3.50E+01;1.87E-10;;;;2.8201E-11;1.8718E-10
1.60E+04;1.00E+00;4.24E-11;-3.45E+01;5.15E-11;;;;4.2366E-11;5.1546E-11
1.65E+04;1.00E+00;4.24E-11;-3.40E+01;5.20E-11;;;;4.2428E-11;5.2009E-11
1.70E+04;1.00E+00;4.22E-11;-3.35E+01;5.24E-11;;;;4.2157E-11;5.2377E-11
1.75E+04;1.00E+00;4.19E-11;-3.30E+01;5.25E-11;;;;4.1877E-11;5.2531E-11
1.80E+04;1.00E+00;4.20E-11;-3.25E+01;5.28E-11;;;;4.1981E-11;5.2778E-11
1.85E+04;1.00E+00;4.18E-11;-3.20E+01;5.34E-11;;;;4.1761E-11;5.3383E-11
1.90E+04;1.00E+00;4.16E-11;-3.15E+01;5.35E-11;;;;4.1553E-11;5.3544E-11
1.95E+04;1.00E+00;4.11E-11;-3.10E+01;5.36E-11;;;;4.1059E-11;5.3641E-11
2.00E+04;1.00E+00;4.10E-11;-3.05E+01;5.41E-11;;;;4.0989E-11;5.4076E-11
2.05E+04;1.00E+00;4.07E-11;-3.00E+01;5.44E-11;;;;4.0741E-11;5.4427E-11
2.10E+04;1.00E+00;4.03E-11;-2.95E+01;5.53E-11;;;;4.0305E-11;5.5327E-11
2.15E+04;1.00E+00;4.03E-11;-2.90E+01;5.50E-11;;;;4.0269E-11;5.5006E-11
2.20E+04;1.00E+00;4.02E-11;-2.85E+01;5.50E-11;;;;4.0199E-11;5.5019E-11
2.25E+04;1.00E+00;4.01E-11;-2.80E+01;5.56E-11;;;;4.0101E-11;5.5622E-11
2.30E+04;1.00E+00;4.00E-11;-2.75E+01;5.58E-11;;;;3.9965E-11;5.581E-11
2.35E+04;1.00E+00;3.98E-11;-2.70E+01;5.60E-11;;;;3.9782E-11;5.5954E-11
2.40E+04;1.00E+00;3.99E-11;-2.65E+01;5.62E-11;;;;3.9856E-11;5.6182E-11
2.45E+04;1.00E+00;3.96E-11;-2.60E+01;5.65E-11;;;;3.9617E-11;5.6534E-11
2.50E+04;1.00E+00;3.97E-11;-2.55E+01;5.68E-11;;;;3.9653E-11;5.6752E-11
2.55E+04;1.00E+00;3.97E-11;-2.50E+01;5.70E-11;;;;3.9737E-11;5.6968E-11
2.60E+04;1.00E+00;4.00E-11;-2.45E+01;5.70E-11;;;;3.9979E-11;5.7029E-11
2.65E+04;1.00E+00;4.02E-11;-2.40E+01;5.79E-11;;;;4.0234E-11;5.7898E-11
2.70E+04;1.00E+00;4.06E-11;-2.35E+01;5.83E-11;;;;4.0646E-11;5.8329E-11
2.75E+04;1.00E+00;4.17E-11;-2.30E+01;5.80E-11;;;;4.1723E-11;5.7974E-11
2.80E+04;1.00E+00;4.19E-11;-2.25E+01;5.89E-11;;;;4.1927E-11;5.8942E-11
2.85E+04;1.00E+00;4.31E-11;-2.20E+01;5.93E-11;;;;4.3145E-11;5.9316E-11
2.90E+04;1.00E+00;4.44E-11;-2.15E+01;5.98E-11;;;;4.4417E-11;5.978E-11
2.95E+04;1.00E+00;4.64E-11;-2.10E+01;5.98E-11;;;;4.6369E-11;5.984E-11
3.00E+04;1.00E+00;5.40E-11;-2.05E+01;5.98E-11;;;;5.3979E-11;5.983E-11
3.05E+04;1.00E+00;5.14E-11;-2.00E+01;8.21E-11;;;;5.1415E-11;8.2055E-11
3.10E+04;1.00E+00;5.06E-11;-1.95E+01;8.29E-11;;;;5.06E-11;8.2889E-11
3.15E+04;1.00E+00;6.18E-11;-1.90E+01;6.21E-11;;;;6.1823E-11;6.205E-11
3.20E+04;1.00E+00;7.04E-11;-1.85E+01;6.28E-11;;;;7.0382E-11;6.2772E-11
3.25E+04;1.00E+00;8.00E-11;-1.80E+01;6.36E-11;;;;8.0025E-11;6.3635E-11
3.30E+04;1.00E+00;9.24E-11;-1.75E+01;6.43E-11;;;;9.2428E-11;6.4253E-11
3.35E+04;1.00E+00;1.07E-10;-1.70E+01;6.50E-11;;;;1.0659E-10;6.5007E-11
3.40E+04;1.00E+00;1.27E-10;-1.65E+01;6.61E-11;;;;1.268E-10;6.6149E-11
3.45E+04;1.00E+00;1.53E-10;-1.60E+01;6.68E-11;;;;1.5278E-10;6.675E-11
3.50E+04;1.00E+00;1.88E-10;-1.55E+01;6.72E-11;;;;1.8788E-10;6.724E-11
3.55E+04;1.00E+00;2.33E-10;-1.50E+01;6.76E-11;;;;2.3314E-10;6.7592E-11
3.60E+04;1.00E+00;2.88E-10;-1.45E+01;6.78E-11;;;;2.8845E-10;6.7772E-11
3.65E+04;1.00E+00;3.51E-10;-1.40E+01;6.78E-11;;;;3.509E-10;6.7817E-11
3.70E+04;1.00E+00;4.22E-10;-1.35E+01;6.81E-11;;;;4.2178E-10;6.8104E-11
3.75E+04;1.00E+00;5.14E-10;-1.30E+01;6.87E-11;;;;5.1383E-10;6.8694E-11
3.80E+04;1.00E+00;6.12E-10;-1.25E+01;6.91E-11;;;;6.1193E-10;6.9097E-11
3.85E+04;1.00E+00;7.57E-10;-1.20E+01;7.02E-11;;;;7.5677E-10;7.0152E-11
3.90E+04;1.00E+00;9.14E-10;-1.15E+01;7.01E-11;;;;9.1378E-10;7.0107E-11
3.95E+04;1.00E+00;1.13E-09;-1.10E+01;7.04E-11;;;;1.1289E-09;7.0441E-11
4.00E+04;1.00E+00;1.41E-09;-1.05E+01;7.13E-11;;;;1.4055E-09;7.1334E-11
4.05E+04;1.00E+00;1.69E-09;-1.00E+01;7.14E-11;;;;1.6932E-09;7.1355E-11
4.10E+04;1.00E+00;2.02E-09;-9.50E+00;7.16E-11;;;;2.0196E-09;7.1584E-11
4.15E+04;1.00E+00;2.46E-09;-9.00E+00;7.13E-11;;;;2.4578E-09;7.1335E-11
4.20E+04;1.00E+00;2.91E-09;-8.50E+00;7.17E-11;;;;2.9142E-09;7.1663E-11
4.25E+04;1.00E+00;3.58E-09;-8.00E+00;7.20E-11;;;;3.5799E-09;7.2043E-11
4.30E+04;1.00E+00;4.26E-09;-7.50E+00;7.28E-11;;;;4.2606E-09;7.2843E-11
4.35E+04;1.00E+00;5.05E-09;-7.00E+00;7.39E-11;;;;5.0497E-09;7.3867E-11
4.40E+04;1.00E+00;5.98E-09;-6.50E+00;7.40E-11;;;;5.9794E-09;7.3965E-11
4.45E+04;1.00E+00;7.02E-09;-6.00E+00;7.43E-11;;;;7.0237E-09;7.4259E-11
4.50E+04;1.00E+00;8.20E-09;-5.50E+00;7.50E-11;;;;8.2017E-09;7.4952E-11
4.55E+04;1.00E+00;9.61E-09;-5.00E+00;6.61E-11;;;;9.6099E-09;6.6084E-11
4.60E+04;1.00E+00;1.12E-08;-4.50E+00;2.11E-10;;;;1.1197E-08;2.114E-10
4.65E+04;1.00E+00;1.28E-08;-4.00E+00;7.61E-11;;;;1.2845E-08;7.6082E-11
4.70E+04;1.00E+00;1.49E-08;-3.50E+00;7.63E-11;;;;1.4946E-08;7.6269E-11
4.75E+04;1.00E+00;1.70E-08;-3.00E+00;7.76E-11;;;;1.7026E-08;7.7589E-11
4.80E+04;1.00E+00;1.96E-08;-2.50E+00;7.84E-11;;;;1.959E-08;7.8415E-11
4.85E+04;1.00E+00;2.21E-08;-2.00E+00;7.82E-11;;;;2.2139E-08;7.8186E-11
4.90E+04;1.00E+00;2.49E-08;-1.50E+00;7.88E-11;;;;2.4923E-08;7.8806E-11
4.95E+04;1.00E+00;2.82E-08;-1.00E+00;7.86E-11;;;;2.8157E-08;7.8624E-11
5.00E+04;1.00E+00;3.20E-08;-5.00E-01;7.91E-11;;;;3.1968E-08;7.9057E-11
5.05E+04;1.00E+00;3.49E-08;0.00E+00;7.89E-11;;;;3.4905E-08;7.885E-11
5.10E+04;1.00E+00;3.85E-08;5.00E-01;7.89E-11;;;;3.8518E-08;7.8936E-11
5.15E+04;1.00E+00;4.28E-08;1.00E+00;7.86E-11;;;;4.2847E-08;7.8577E-11
5.20E+04;1.00E+00;4.69E-08;1.50E+00;7.79E-11;;;;4.6922E-08;7.7939E-11
5.25E+04;1.00E+00;5.21E-08;2.00E+00;7.81E-11;;;;5.207E-08;7.812E-11
5.30E+04;1.00E+00;5.63E-08;2.50E+00;7.89E-11;;;;5.6315E-08;7.8936E-11
5.35E+04;1.00E+00;6.19E-08;3.00E+00;7.90E-11;;;;6.1883E-08;7.8964E-11
5.40E+04;1.00E+00;6.62E-08;3.50E+00;7.81E-11;;;;6.6201E-08;7.8121E-11
5.45E+04;1.00E+00;7.33E-08;4.00E+00;7.83E-11;;;;7.3333E-08;7.8257E-11
5.50E+04;1.00E+00;8.15E-08;4.50E+00;7.96E-11;;;;8.146E-08;7.9627E-11
5.55E+04;1.00E+00;8.67E-08;5.00E+00;7.93E-11;;;;8.6703E-08;7.9342E-11
5.60E+04;1.00E+00;9.39E-08;5.50E+00;8.05E-11;;;;9.385E-08;8.0497E-11
5.65E+04;1.00E+00;9.84E-08;6.00E+00;8.10E-11;;;;9.8446E-08;8.097E-11
5.75E+04;1.00E+00;1.03E-07;6.50E+00;3.82E-11;;;;1.0256E-07;3.8192E-11
5.80E+04;1.00E+00;1.09E-07;7.00E+00;8.74E-11;;;;1.0881E-07;8.737E-11
5.85E+04;1.00E+00;1.18E-07;7.50E+00;7.87E-11;;;;1.178E-07;7.8651E-11
5.90E+04;1.00E+00;1.27E-07;8.00E+00;7.82E-11;;;;1.2681E-07;7.8175E-11
5.95E+04;1.00E+00;1.35E-07;8.50E+00;7.98E-11;;;;1.3487E-07;7.9775E-11
6.00E+04;1.00E+00;1.44E-07;9.00E+00;7.99E-11;;;;1.4374E-07;7.993E-11
6.05E+04;1.00E+00;1.54E-07;9.50E+00;7.67E-11;;;;1.5413E-07;7.6703E-11
6.10E+04;1.00E+00;1.64E-07;1.00E+01;2.15E-10;;;;1.6353E-07;2.1492E-10
6.15E+04;1.00E+00;1.76E-07;1.05E+01;8.12E-11;;;;1.7594E-07;8.1165E-11
6.20E+04;1.00E+00;1.85E-07;1.10E+01;8.08E-11;;;;1.8482E-07;8.0795E-11
6.25E+04;1.00E+00;1.92E-07;1.15E+01;8.16E-11;;;;1.9167E-07;8.1589E-11
6.30E+04;1.00E+00;2.07E-07;1.20E+01;8.18E-11;;;;2.0732E-07;8.1834E-11
6.35E+04;1.00E+00;2.18E-07;1.25E+01;8.26E-11;;;;2.1832E-07;8.2611E-11
6.40E+04;1.00E+00;2.30E-07;1.30E+01;8.26E-11;;;;2.2973E-07;8.2551E-11
6.45E+04;1.00E+00;2.41E-07;1.35E+01;8.28E-11;;;;2.4118E-07;8.2774E-11
6.50E+04;1.00E+00;2.53E-07;1.40E+01;8.25E-11;;;;2.5268E-07;8.2531E-11
6.55E+04;1.00E+00;2.65E-07;1.45E+01;8.27E-11;;;;2.6528E-07;8.27E-11
6.60E+04;1.00E+00;2.76E-07;1.50E+01;8.24E-11;;;;2.7609E-07;8.2401E-11
6.65E+04;1.00E+00;2.88E-07;1.55E+01;8.33E-11;;;;2.8768E-07;8.3286E-11
6.70E+04;1.00E+00;3.03E-07;1.60E+01;8.22E-11;;;;3.0303E-07;8.2179E-11
6.75E+04;1.00E+00;3.15E-07;1.65E+01;8.33E-11;;;;3.154E-07;8.3286E-11
6.80E+04;1.00E+00;3.32E-07;1.70E+01;8.35E-11;;;;3.3177E-07;8.3501E-11
6.85E+04;1.00E+00;3.46E-07;1.75E+01;8.28E-11;;;;3.4587E-07;8.2817E-11
6.90E+04;1.00E+00;3.58E-07;1.80E+01;8.17E-11;;;;3.5772E-07;8.1663E-11
6.95E+04;1.00E+00;3.71E-07;1.85E+01;8.19E-11;;;;3.7096E-07;8.1874E-11
7.00E+04;1.00E+00;3.87E-07;1.90E+01;8.19E-11;;;;3.8705E-07;8.1878E-11
7.05E+04;1.00E+00;4.06E-07;1.95E+01;8.13E-11;;;;4.0579E-07;8.1277E-11
7.10E+04;1.00E+00;4.23E-07;2.00E+01;8.20E-11;;;;4.2276E-07;8.2024E-11
7.15E+04;1.00E+00;4.37E-07;2.05E+01;8.31E-11;;;;4.3686E-07;8.3137E-11
7.20E+04;1.00E+00;4.54E-07;2.10E+01;8.15E-11;;;;4.5435E-07;8.1466E-11
7.25E+04;1.00E+00;4.70E-07;2.15E+01;8.00E-11;;;;4.7032E-07;7.997E-11
7.30E+04;1.00E+00;4.82E-07;2.20E+01;8.03E-11;;;;4.8159E-07;8.0262E-11
7.35E+04;1.00E+00;5.03E-07;2.25E+01;8.07E-11;;;;5.0345E-07;8.0715E-11
7.40E+04;1.00E+00;5.22E-07;2.30E+01;8.12E-11;;;;5.2229E-07;8.1198E-11
7.45E+04;1.00E+00;5.39E-07;2.35E+01;8.25E-11;;;;5.391E-07;8.2535E-11
7.50E+04;1.00E+00;5.62E-07;2.40E+01;7.99E-11;;;;5.6201E-07;7.9886E-11
7.55E+04;1.00E+00;5.75E-07;2.45E+01;8.08E-11;;;;5.7518E-07;8.0847E-11
7.60E+04;1.00E+00;5.88E-07;2.50E+01;1.01E-10;;;;5.8763E-07;1.0121E-10
7.65E+04;1.00E+00;6.07E-07;2.55E+01;1.00E-10;;;;6.0684E-07;1.0024E-10
7.70E+04;1.00E+00;6.29E-07;2.60E+01;7.91E-11;;;;6.285E-07;7.9124E-11
7.75E+04;1.00E+00;6.45E-07;2.65E+01;7.79E-11;;;;6.4479E-07;7.7931E-11
7.80E+04;1.00E+00;6.62E-07;2.70E+01;7.94E-11;;;;6.6161E-07;7.9439E-11
7.85E+04;1.00E+00;6.81E-07;2.75E+01;7.99E-11;;;;6.8058E-07;7.9899E-11
7.90E+04;1.00E+00;7.09E-07;2.80E+01;7.76E-11;;;;7.0893E-07;7.7624E-11
7.95E+04;1.00E+00;7.17E-07;2.85E+01;7.83E-11;;;;7.1747E-07;7.8292E-11
8.00E+04;1.00E+00;7.39E-07;2.90E+01;7.90E-11;;;;7.3881E-07;7.9029E-11
8.05E+04;1.00E+00;7.60E-07;2.95E+01;7.86E-11;;;;7.5999E-07;7.8558E-11
8.10E+04;1.00E+00;7.78E-07;3.00E+01;8.00E-11;;;;7.7784E-07;7.9974E-11
8.15E+04;1.00E+00;7.92E-07;3.05E+01;8.00E-11;;;;7.9173E-07;7.9994E-11
8.20E+04;1.00E+00;8.10E-07;3.10E+01;7.94E-11;;;;8.0973E-07;7.9364E-11
8.25E+04;1.00E+00;8.35E-07;3.15E+01;7.92E-11;;;;8.3455E-07;7.9172E-11
8.30E+04;1.00E+00;8.64E-07;3.20E+01;7.97E-11;;;;8.641E-07;7.969E-11
8.35E+04;1.00E+00;8.76E-07;3.25E+01;7.99E-11;;;;8.7585E-07;7.9876E-11
8.40E+04;1.00E+00;9.01E-07;3.30E+01;8.03E-11;;;;9.0149E-07;8.0305E-11
8.45E+04;1.00E+00;9.35E-07;3.35E+01;8.12E-11;;;;9.3461E-07;8.1163E-11
8.50E+04;1.00E+00;9.45E-07;3.40E+01;8.06E-11;;;;9.4502E-07;8.0616E-11
8.55E+04;1.00E+00;9.71E-07;3.45E+01;8.14E-11;;;;9.7074E-07;8.1387E-11
8.60E+04;1.00E+00;9.95E-07;3.50E+01;8.16E-11;;;;9.9492E-07;8.1623E-11
8.70E+04;1.00E+00;1.01E-06;3.55E+01;3.81E-11;;;;1.0109E-06;3.8058E-11
8.75E+04;1.00E+00;1.04E-06;3.60E+01;8.92E-11;;;;1.0358E-06;8.9211E-11
8.80E+04;1.00E+00;1.05E-06;3.65E+01;8.01E-11;;;;1.0509E-06;8.0109E-11
8.85E+04;1.00E+00;1.10E-06;3.70E+01;8.09E-11;;;;1.0962E-06;8.0899E-11
8.90E+04;1.00E+00;1.12E-06;3.75E+01;8.27E-11;;;;1.1212E-06;8.2684E-11
8.95E+04;1.00E+00;1.16E-06;3.80E+01;8.23E-11;;;;1.1571E-06;8.2283E-11
9.00E+04;1.00E+00;1.17E-06;3.85E+01;8.29E-11;;;;1.1667E-06;8.2887E-11
9.05E+04;1.00E+00;1.21E-06;3.90E+01;8.38E-11;;;;1.2077E-06;8.3814E-11
9.10E+04;1.00E+00;1.22E-06;3.95E+01;7.37E-11;;;;1.2211E-06;7.3738E-11
9.15E+04;1.00E+00;1.24E-06;4.00E+01;2.11E-10;;;;1.2442E-06;2.1122E-10
9.20E+04;1.00E+00;1.27E-06;4.05E+01;8.34E-11;;;;1.2714E-06;8.3396E-11
9.25E+04;1.00E+00;1.29E-06;4.10E+01;8.29E-11;;;;1.2894E-06;8.2916E-11
9.30E+04;1.00E+00;1.31E-06;4.15E+01;8.42E-11;;;;1.3123E-06;8.4203E-11
9.35E+04;1.00E+00;1.34E-06;4.20E+01;8.51E-11;;;;1.3365E-06;8.5111E-11
9.40E+04;1.00E+00;1.36E-06;4.25E+01;8.48E-11;;;;1.3612E-06;8.4816E-11
9.45E+04;1.00E+00;1.38E-06;4.30E+01;8.56E-11;;;;1.3789E-06;8.5577E-11
9.50E+04;1.00E+00;1.42E-06;4.35E+01;8.54E-11;;;;1.4153E-06;8.5442E-11
9.55E+04;1.00E+00;1.43E-06;4.40E+01;8.51E-11;;;;1.4317E-06;8.5063E-11
9.60E+04;1.00E+00;1.47E-06;4.45E+01;8.44E-11;;;;1.4667E-06;8.4355E-11
9.65E+04;1.00E+00;1.49E-06;4.50E+01;8.45E-11;;;;1.4938E-06;8.4468E-11
9.70E+04;1.00E+00;1.51E-06;4.55E+01;8.35E-11;;;;1.5072E-06;8.3453E-11
9.75E+04;1.00E+00;1.55E-06;4.60E+01;8.44E-11;;;;1.5501E-06;8.4352E-11
9.80E+04;1.00E+00;1.56E-06;4.65E+01;8.66E-11;;;;1.5646E-06;8.6579E-11
9.85E+04;1.00E+00;1.62E-06;4.70E+01;8.65E-11;;;;1.6245E-06;8.6477E-11
9.90E+04;1.00E+00;1.64E-06;4.75E+01;8.63E-11;;;;1.6401E-06;8.6255E-11
9.95E+04;1.00E+00;1.68E-06;4.80E+01;8.50E-11;;;;1.6801E-06;8.502E-11
1.00E+05;1.00E+00;1.70E-06;4.85E+01;8.46E-11;;;;1.7046E-06;8.463E-11
1.01E+05;1.00E+00;1.74E-06;4.90E+01;8.55E-11;;;;0.000001739;8.5472E-11
1.01E+05;1.00E+00;1.78E-06;4.95E+01;8.47E-11;;;;1.7842E-06;8.4717E-11
1.02E+05;1.00E+00;1.79E-06;5.00E+01;8.41E-11;;;;1.7854E-06;8.4126E-11
1.02E+05;1.00E+00;1.84E-06;5.05E+01;8.39E-11;;;;1.8365E-06;8.3863E-11
1.03E+05;1.00E+00;1.74E-06;5.00E+01;-6.33E-11;;;;0.000001736;6.3333E-11
1.03E+05;1.00E+00;1.63E-06;4.95E+01;-6.73E-11;;;;1.6336E-06;6.7309E-11
1.04E+05;1.00E+00;1.52E-06;4.90E+01;-6.86E-11;;;;1.5214E-06;6.8572E-11
1.04E+05;1.00E+00;1.47E-06;4.85E+01;-7.06E-11;;;;1.4737E-06;7.0596E-11
1.05E+05;1.00E+00;1.37E-06;4.80E+01;-7.28E-11;;;;1.3725E-06;7.2773E-11
1.05E+05;1.00E+00;1.29E-06;4.75E+01;-7.42E-11;;;;1.2929E-06;7.4196E-11
1.06E+05;1.00E+00;1.22E-06;4.70E+01;-7.56E-11;;;;1.2245E-06;7.5555E-11
1.06E+05;1.00E+00;1.15E-06;4.65E+01;-6.82E-11;;;;1.1513E-06;6.8245E-11
1.07E+05;1.00E+00;1.07E-06;4.60E+01;-2.14E-10;;;;0.000001074;2.1448E-10
1.07E+05;1.00E+00;1.01E-06;4.55E+01;-7.97E-11;;;;1.0107E-06;7.9708E-11
1.08E+05;1.00E+00;9.48E-07;4.50E+01;-8.11E-11;;;;9.4778E-07;8.1135E-11
1.08E+05;1.00E+00;8.73E-07;4.45E+01;-9.50E-11;;;;8.7296E-07;9.5013E-11
1.09E+05;1.00E+00;8.11E-07;4.40E+01;-8.34E-11;;;;8.1105E-07;8.3352E-11
1.09E+05;1.00E+00;7.58E-07;4.35E+01;-8.35E-11;;;;7.5759E-07;8.3493E-11
1.10E+05;1.00E+00;7.03E-07;4.30E+01;-8.44E-11;;;;7.0328E-07;8.4437E-11
1.10E+05;1.00E+00;6.55E-07;4.25E+01;-8.48E-11;;;;6.5453E-07;8.48E-11
1.11E+05;1.00E+00;6.09E-07;4.20E+01;-8.53E-11;;;;6.0925E-07;8.5254E-11
1.11E+05;1.00E+00;5.72E-07;4.15E+01;-8.59E-11;;;;5.721E-07;8.5899E-11
1.12E+05;1.00E+00;5.29E-07;4.10E+01;-8.63E-11;;;;5.2917E-07;8.6327E-11
1.12E+05;1.00E+00;4.72E-07;4.05E+01;-8.69E-11;;;;4.7174E-07;8.6945E-11
1.13E+05;1.00E+00;4.35E-07;4.00E+01;-8.74E-11;;;;4.3508E-07;8.7379E-11
1.13E+05;1.00E+00;4.10E-07;3.95E+01;-8.79E-11;;;;4.1042E-07;8.7907E-11
1.14E+05;1.00E+00;3.70E-07;3.90E+01;-8.86E-11;;;;3.6978E-07;8.8577E-11
1.14E+05;1.00E+00;3.33E-07;3.85E+01;-8.91E-11;;;;3.3332E-07;8.9067E-11
1.15E+05;1.00E+00;2.99E-07;3.80E+01;-8.98E-11;;;;2.9866E-07;8.9817E-11
1.15E+05;1.00E+00;2.70E-07;3.75E+01;-9.04E-11;;;;2.7007E-07;9.0352E-11
1.16E+05;1.00E+00;2.42E-07;3.70E+01;-9.13E-11;;;;2.4155E-07;9.1329E-11
1.16E+05;1.00E+00;2.13E-07;3.65E+01;-9.20E-11;;;;2.1332E-07;9.2E-11
1.17E+05;1.00E+00;1.86E-07;3.60E+01;-9.26E-11;;;;1.8615E-07;9.2595E-11
1.17E+05;1.00E+00;1.58E-07;3.55E+01;-9.37E-11;;;;1.5779E-07;9.3695E-11
1.18E+05;1.00E+00;1.37E-07;3.50E+01;-9.39E-11;;;;1.3746E-07;9.3938E-11
1.18E+05;1.00E+00;1.17E-07;3.45E+01;-9.34E-11;;;;1.1695E-07;9.3408E-11
