File Name: 00_Sample8_device1_trfSat_dark_begin.dat;;;;;;;;
File Data: 21/11/2023;12:47:31;;;;;;;
Start V: 0;;;;;;;;
Step V: 0;;;;;;;;
Stop V: 0;;;;;;;;
Range V: 200;;;;;;;;
Delay(ms): 0;;;;;;;;
Auorange: yes;;;;;;;;
Sweep type: log;;;;;;;;
Instrument Meter: SM2614;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;|IDrain|, |IGate| (A);|IGate| (A)
0.00E+00;1.00E+00;7.26E-11;-5.00E+01;-1.88E-09;;;7.2608E-11;1.8797E-09
1.00E+03;1.00E+00;5.80E-11;-4.95E+01;-5.29E-10;;;5.8012E-11;5.2865E-10
1.50E+03;1.00E+00;3.52E-11;-4.90E+01;-2.07E-10;;;3.522E-11;2.0733E-10
2.00E+03;1.00E+00;3.33E-11;-4.85E+01;-1.12E-10;;;3.3296E-11;1.1172E-10
2.50E+03;1.00E+00;3.06E-11;-4.80E+01;-6.81E-11;;;3.0574E-11;6.808E-11
3.00E+03;1.00E+00;3.14E-11;-4.75E+01;-4.18E-11;;;3.1381E-11;4.1812E-11
3.50E+03;1.00E+00;3.00E-11;-4.70E+01;-2.42E-11;;;3.0042E-11;2.4192E-11
4.00E+03;1.00E+00;2.93E-11;-4.65E+01;-9.91E-12;;;2.9325E-11;9.9087E-12
4.50E+03;1.00E+00;2.74E-11;-4.60E+01;2.63E-12;;;2.7436E-11;2.625E-12
5.00E+03;1.00E+00;2.69E-11;-4.55E+01;1.17E-11;;;2.6938E-11;1.1743E-11
5.50E+03;1.00E+00;2.65E-11;-4.50E+01;1.82E-11;;;2.6474E-11;1.82E-11
6.00E+03;1.00E+00;2.47E-11;-4.45E+01;2.38E-11;;;2.4717E-11;2.3783E-11
6.50E+03;1.00E+00;2.43E-11;-4.40E+01;2.83E-11;;;2.4296E-11;2.8268E-11
7.00E+03;1.00E+00;2.40E-11;-4.35E+01;3.17E-11;;;2.3955E-11;3.1652E-11
7.50E+03;1.00E+00;2.18E-11;-4.30E+01;3.42E-11;;;2.1834E-11;3.4223E-11
